official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149740257,46833174440000,1,1,0,0,0,1,1,685000.0,2023-04-06,2023-04-06,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149742111,46925148460000,1,1,0,0,0,1,1,680971.1,2023-05-08,2023-05-08,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149819817,56310155900000,1,1,0,0,0,1,1,680400.0,2022-03-31,2022-03-31,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149820352,56320608880000,1,1,0,0,0,1,1,674891.0,2025-06-04,2025-06-04,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149734515,46733185160000,1,1,0,0,0,1,1,672200.0,2025-01-29,2025-01-29,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149743420,46936565850000,1,1,0,0,0,1,1,660718.0,2024-11-05,2024-11-05,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149829347,56918821970000,1,1,0,0,0,1,1,660000.0,2024-07-15,2024-07-15,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149749658,46833029450000,1,1,0,0,0,1,1,650000.0,2024-10-25,2024-10-25,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149725711,45892860110000,1,0,1,0,0,1,1,641000.0,2025-12-08,2025-12-08,1,commercial_activity,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149756891,55079686500000,1,0,1,0,0,1,1,640500.0,2024-11-25,2024-11-25,1,commercial_activity,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149735219,46804005250000,1,1,0,0,0,1,1,639376.0,2022-03-16,2022-03-16,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149823795,56500455930000,1,1,0,0,0,1,1,631000.0,2023-10-25,2023-10-25,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149775648,55476964040000,1,1,0,0,0,1,1,629567.0,2021-05-04,2021-05-04,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149779384,55674642960000,1,1,0,0,0,1,1,625000.0,2024-10-08,2024-10-08,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149767037,55335606030000,1,1,0,0,0,1,1,625000.0,2022-06-30,2022-06-30,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149830238,56833014380000,1,1,0,0,0,1,1,618000.0,2024-08-14,2024-08-14,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149830239,56833014380000,1,1,0,0,0,1,1,618000.0,2024-08-14,2024-08-14,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149767749,55358628370000,1,1,0,0,0,1,1,610000.0,2024-06-24,2024-06-24,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149774629,55459991690000,1,1,0,0,0,1,1,600400.0,2025-09-30,2025-09-30,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149767945,55371888230000,1,1,0,0,0,1,1,600000.0,2024-07-01,2024-07-01,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149830065,56930598170000,1,1,0,0,0,1,1,600000.0,2024-04-03,2024-04-03,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149751857,46936560160000,1,1,0,0,0,1,1,600000.0,2023-08-25,2023-08-25,1,residential_growth,major_growth,100.0,100.0,recently_issued
