metric_name,metric_unit,non_null_count,min_value,p25_value,median_value,p75_value,p90_value,max_value,avg_value
avg_aadt_within_1_mile,vehicles_per_day,103082,90.0,5250.0,7650.0,11500.0,15433.333333333332,111000.0,8654.950095908001
max_aadt_within_1_mile,vehicles_per_day,103082,90.0,9500.0,16500.0,24500.0,38000.0,123000.0,21404.560544032905
nearest_aadt_station_distance_ft,feet,110017,28.989985076495053,1154.3874614115377,2031.3283639389094,3241.829385070887,4630.719885814088,17901.58964483566,2420.639843755605
nearest_aadt_value,vehicles_per_day,110017,90.0,2400.0,6500.0,11500.0,16000.0,123000.0,8182.462437623277
nearest_stip_project_distance_ft,feet,110017,30.676236417036506,3622.4875767053873,7176.507308259888,14529.238548681233,33097.03377096059,66271.02282561446,12183.497254094067
