official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149747964,55073524560000,5,1,1,1,0,2,1,648323.0,2010-06-15,2024-06-20,4,commercial_activity,major_growth,100.0,60.2,active_construction
CFS-PARCEL-0149783889,56012005780000,5,2,3,0,0,1,1,593723.0,2007-05-01,2025-12-10,4,commercial_activity,major_growth,100.0,74.4,completed_historical
CFS-PARCEL-0149783890,56012005780000,5,2,3,0,0,1,1,593723.0,2007-05-01,2025-12-10,4,commercial_activity,major_growth,100.0,74.4,completed_historical
CFS-PARCEL-0149806573,56209844170000,5,2,2,0,1,2,0,547778.0,2010-02-17,2024-09-16,2,commercial_activity,major_growth,100.0,82.0,active_construction
CFS-PARCEL-0149750598,55079877870000,5,5,0,0,0,2,0,502200.0,2024-06-13,2024-06-13,1,residential_growth,major_growth,100.0,94.0,active_construction
CFS-PARCEL-0149790105,56108845050026,5,5,0,0,0,5,0,500000.0,2025-10-13,2025-10-13,1,residential_growth,major_growth,100.0,96.8,active_construction
CFS-PARCEL-0149805578,56208532530000,5,5,0,0,0,3,0,373000.0,2005-02-01,2023-05-18,4,residential_growth,major_growth,100.0,82.0,active_construction
CFS-PARCEL-0149802689,56145274800000,5,3,2,0,0,2,0,366272.0,2009-05-01,2025-03-25,3,residential_growth,major_growth,100.0,80.4,active_construction
CFS-PARCEL-0149792285,56119403000000,5,1,2,0,0,1,0,273656.0,2008-10-01,2023-04-20,4,commercial_activity,major_growth,100.0,56.4,active_construction
CFS-PARCEL-0149812216,56227676490000,5,1,3,1,0,1,0,256832.0,2003-11-01,2024-11-27,3,commercial_activity,major_growth,100.0,76.2,active_construction
CFS-PARCEL-0149748109,55077549390000,5,2,2,0,0,1,0,133941.15,2022-08-15,2024-02-01,3,commercial_activity,major_growth,100.0,69.6,active_construction
CFS-PARCEL-0149808700,56213479710000,5,2,2,0,1,1,0,121000.0,2004-10-01,2023-02-08,4,commercial_activity,major_growth,100.0,75.2,active_construction
CFS-PARCEL-0149805652,56208767880000,4,1,0,3,0,1,1,16086500.0,2014-07-31,2023-04-28,3,redevelopment_signal,redevelopment_signal,100.0,77.25,completed_historical
CFS-PARCEL-0149740385,46900638270000,4,3,1,0,0,2,2,15993408.0,2022-03-17,2023-07-26,2,residential_growth,major_growth,100.0,88.5,active_construction
CFS-PARCEL-0149752516,55094201610000,4,4,0,0,0,4,3,13121571.0,2025-03-31,2025-05-22,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149752524,55094201610000,4,4,0,0,0,4,3,13121571.0,2025-03-31,2025-05-22,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149792938,56012870770000,4,4,0,0,0,2,1,12121000.0,2004-02-01,2024-02-19,3,residential_growth,major_growth,100.0,83.5,active_construction
CFS-PARCEL-0149747274,55073471040000,4,1,3,0,0,1,1,9866847.0,2024-04-30,2025-10-27,2,commercial_activity,moderate_activity,100.0,76.0,completed_historical
CFS-PARCEL-0149784533,56016676830000,4,2,2,0,0,2,1,9234272.0,2023-09-14,2024-10-03,2,residential_growth,major_growth,100.0,84.0,active_construction
CFS-PARCEL-0149744707,55060459120000,4,3,1,0,0,2,2,8783921.0,2024-10-14,2025-08-28,2,residential_growth,major_growth,100.0,89.5,active_construction
CFS-PARCEL-0149816939,56240099420000,4,3,1,0,0,2,2,5727900.0,2024-11-06,2025-06-27,2,residential_growth,major_growth,100.0,87.5,active_construction
CFS-PARCEL-0149782505,55442997800000,4,1,1,1,1,1,1,5256134.0,2021-12-14,2025-12-01,3,residential_growth,redevelopment_signal,100.0,77.75,active_construction
CFS-PARCEL-0149808229,56215172600000,4,4,0,0,0,4,4,3858749.0,2025-05-27,2025-05-27,1,residential_growth,major_growth,100.0,100.0,active_construction
