source_permit_id,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_warning
BU2026-01252,2026-04-27,"600 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I231,154231,invalid or placeholder parcel number
BU2026-01218,2026-04-23,"2400 OLD BEATTY FORD RD CHINA GROVE, NC 28023",147 147,147147,invalid or placeholder parcel number
BU2026-01198,2026-04-22,"571 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F025,244025,invalid or placeholder parcel number
BU2026-01199,2026-04-22,"553 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F028,244028,invalid or placeholder parcel number
BU2026-01154,2026-04-20,"541 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F030,244030,invalid or placeholder parcel number
BU2026-01155,2026-04-20,"554 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F015,244015,invalid or placeholder parcel number
BU2026-01156,2026-04-20,"548 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F014,244014,invalid or placeholder parcel number
BU2026-01157,2026-04-20,"560 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F016,244016,invalid or placeholder parcel number
BU2026-01158,2026-04-20,"547 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F029,244029,invalid or placeholder parcel number
BU2026-01159,2026-04-20,"559 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F027,244027,invalid or placeholder parcel number
BU2026-01160,2026-04-20,"565 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F026,244026,invalid or placeholder parcel number
BU2026-01162,2026-04-20,"577 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F024,244024,invalid or placeholder parcel number
BU2026-01096,2026-04-15,"1017 ELM ST KANNAPOLIS, NC 28081",148 283,148283,invalid or placeholder parcel number
BU2026-01079,2026-04-14,"367 W 18TH ST KANNAPOLIS, NC 28081",154I026,154026,invalid or placeholder parcel number
BU2026-01066,2026-04-13,"385 W 18TH ST KANNAPOLIS, NC 28081",154I029,154029,invalid or placeholder parcel number
BU2026-01042,2026-04-09,"379 W 18TH ST KANNAPOLIS, NC 28081",154I028,154028,invalid or placeholder parcel number
BU2026-00912,2026-03-30,"440 SAND DUNES DR KANNAPOLIS, NC 28081",154I084,154084,invalid or placeholder parcel number
BU2026-00918,2026-03-30,"355 W 18TH ST KANNAPOLIS, NC 28081",154I024,154024,invalid or placeholder parcel number
BU2026-00919,2026-03-30,"436 SAND DUNES DR KANNAPOLIS, NC 28081",154I085,154085,invalid or placeholder parcel number
BU2026-00920,2026-03-30,"361 W 18TH ST KANNAPOLIS, NC 28081",154I025,154025,invalid or placeholder parcel number
BU2026-00921,2026-03-30,"432 SAND DUNES DR KANNAPOLIS, NC 28081",154I086,154086,invalid or placeholder parcel number
BU2026-00923,2026-03-30,"428 SAND DUNES DR KANNAPOLIS, NC 28081",154I087,154087,invalid or placeholder parcel number
BU2026-00928,2026-03-30,"349 W 18TH ST KANNAPOLIS, NC 28081",154I023,154023,invalid or placeholder parcel number
BU2026-00805,2026-03-17,"456 SAND DUNES DR KANNAPOLIS, NC 28081",154I080,154080,invalid or placeholder parcel number
BU2026-00743,2026-03-11,"749 JACK ST KANNAPOLIS, NC 28081",154 092,154092,invalid or placeholder parcel number
BU2026-00701,2026-03-10,"444 SAND DUNES DR KANNAPOLIS, NC 28081",154I083,154083,invalid or placeholder parcel number
BU2026-00705,2026-03-10,"448 SAND DUNES DR KANNAPOLIS, NC 28081",154I082,154082,invalid or placeholder parcel number
BU2026-00697,2026-03-09,"452 SAND DUNES DR KANNAPOLIS, NC 28081",154I081,154081,invalid or placeholder parcel number
BU2026-00605,2026-03-02,"343 W 18TH ST KANNAPOLIS, NC 28081",154I022,154022,invalid or placeholder parcel number
BU2026-00582,2026-02-27,"120 HOMESTEAD AVE KANNAPOLIS, NC 28081",249C059,249059,invalid or placeholder parcel number
BU2026-00585,2026-02-27,"331 W 18TH ST KANNAPOLIS, NC 28081",154I020,154020,invalid or placeholder parcel number
BU2026-00587,2026-02-27,"337 W 18TH ST KANNAPOLIS, NC 28081",154I021,154021,invalid or placeholder parcel number
BU2026-00435,2026-02-18,"313 W 18TH ST KANNAPOLIS, NC 28081",154I017,154017,invalid or placeholder parcel number
BU2026-00437,2026-02-18,"319 W 18TH ST KANNAPOLIS, NC 28081",154I018,154018,invalid or placeholder parcel number
BU2026-00438,2026-02-18,"325 W 18TH ST KANNAPOLIS, NC 28081",154I019,154019,invalid or placeholder parcel number
BU2026-00340,2026-02-06,"1700 CHAPMAN AVE KANNAPOLIS, NC 28081",154 052,154052,invalid or placeholder parcel number
BU2026-00329,2026-02-05,"1150 SLOOP AVE KANNAPOLIS, NC 28083",151 083,151083,invalid or placeholder parcel number
BU2026-00303,2026-02-03,"901 W 8TH ST KANNAPOLIS, NC 28081",148 102,148102,invalid or placeholder parcel number
