source_permit_id,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_warning
BU2025-03109,2025-10-13,"338 W 18TH ST KANNAPOLIS, NC 28081",154I167,154167,invalid or placeholder parcel number
BU2025-03091,2025-10-10,"1101 S CHAPEL ST KANNAPOLIS, NC 28083",133 228,133228,invalid or placeholder parcel number
BU2025-03092,2025-10-10,"538 SAND DUNES DR KANNAPOLIS, NC 28081",154I062,154062,invalid or placeholder parcel number
BU2025-03097,2025-10-10,"257 W 18TH ST KANNAPOLIS, NC 28081",154I008,154008,invalid or placeholder parcel number
BU2025-03103,2025-10-10,"287 W 18TH ST KANNAPOLIS, NC 28081",154I013,154013,invalid or placeholder parcel number
BU2025-03085,2025-10-09,"263 W 18TH ST KANNAPOLIS, NC 28081",154I009,154009,invalid or placeholder parcel number
BU2025-03088,2025-10-09,"240 W 18TH ST KANNAPOLIS, NC 28081",154I179,154179,invalid or placeholder parcel number
BU2025-03044,2025-10-07,"332 W 18TH ST KANNAPOLIS, NC 28081",154I168,154168,invalid or placeholder parcel number
BU2025-03048,2025-10-07,"326 W 18TH ST KANNAPOLIS, NC 28081",154I169,154169,invalid or placeholder parcel number
BU2025-03050,2025-10-07,"1375 SANCTUARY ST KANNAPOLIS, NC 28083",158B011,158011,invalid or placeholder parcel number
BU2025-03029,2025-10-03,"3300 NEW LIFE LN KANNAPOLIS, NC 28083",158B022,158022,invalid or placeholder parcel number
BU2025-02900,2025-09-25,"228 W 18TH ST KANNAPOLIS, NC 28081",154I181,154181,invalid or placeholder parcel number
BU2025-02902,2025-09-25,"275 W 18TH ST KANNAPOLIS, NC 28081",154I011,154011,invalid or placeholder parcel number
BU2025-02903,2025-09-25,"269 W W. 18TH ST KANNAPOLIS, NC 28081",154I010,154010,invalid or placeholder parcel number
BU2025-02881,2025-09-24,"227 W 18TH ST KANNAPOLIS, NC 28081",154I003,154003,invalid or placeholder parcel number
BU2025-02883,2025-09-24,"252 W 18TH ST KANNAPOLIS, NC 28081",154I177,154177,invalid or placeholder parcel number
BU2025-02884,2025-09-24,"246 W 18TH ST KANNAPOLIS, NC 28081",154I178,154178,invalid or placeholder parcel number
BU2025-02888,2025-09-24,"234 W 18TH ST KANNAPOLIS, NC 28081",154I180,154180,invalid or placeholder parcel number
BU2025-02895,2025-09-24,"1762 PLAZA AVE KANNAPOLIS, NC 28081",159 394,159394,invalid or placeholder parcel number
BU2025-02872,2025-09-23,"537 SAND DUNES DR KANNAPOLIS, NC 28081",154I158,154158,invalid or placeholder parcel number
BU2025-02873,2025-09-23,"543 SAND DUNES DR KANNAPOLIS, NC 28081",154I159,154159,invalid or placeholder parcel number
BU2025-02874,2025-09-23,"549 SAND DUNES DR KANNAPOLIS, NC 28081",154I160,154160,invalid or placeholder parcel number
BU2025-02875,2025-09-23,"222 W 18TH ST KANNAPOLIS, NC 28081",154I182,154182,invalid or placeholder parcel number
BU2025-02880,2025-09-23,"221 W 18TH ST KANNAPOLIS, NC 28081",154I002,154002,invalid or placeholder parcel number
BU2025-02848,2025-09-22,"544 SAND DUNES DR KANNAPOLIS, NC 28081",154I061,154061,invalid or placeholder parcel number
BU2025-02855,2025-09-22,"251 W 18TH ST KANNAPOLIS, NC 28081",154I007,154007,invalid or placeholder parcel number
BU2025-02793,2025-09-17,"233 W 18TH ST KANNAPOLIS, NC 28081",154I004,154004,invalid or placeholder parcel number
BU2025-02794,2025-09-17,"245 W 18TH ST KANNAPOLIS, NC 28081",154I006,154006,invalid or placeholder parcel number
BU2025-02810,2025-09-17,"563 W 22ND ST KANNAPOLIS, NC 28081",155 114,155114,invalid or placeholder parcel number
BU2025-02762,2025-09-16,"239 W 18TH ST KANNAPOLIS, NC 28081",154I005,154005,invalid or placeholder parcel number
BU2025-02764,2025-09-16,"556 SAND DUNES DR KANNAPOLIS, NC 28081",154I059,154059,invalid or placeholder parcel number
BU2025-02765,2025-09-16,"550 SAND DUNES DR KANNAPOLIS, NC 28081",154I060,154060,invalid or placeholder parcel number
BU2025-02773,2025-09-16,"258 W 18TH ST KANNAPOLIS, NC 28081",154I176,154176,invalid or placeholder parcel number
BU2025-02776,2025-09-16,"1021 ELM ST KANNAPOLIS, NC 28081",148 061,148061,invalid or placeholder parcel number
BU2025-02789,2025-09-16,"215 W 18TH ST KANNAPOLIS, NC 28081",154I001,154001,invalid or placeholder parcel number
BU2025-02745,2025-09-15,"567 W 22ND ST KANNAPOLIS, NC 28081",152A014,152014,invalid or placeholder parcel number
BU2025-02672,2025-09-06,"292 W 18TH ST KANNAPOLIS, NC 28081",154I174,154174,invalid or placeholder parcel number
BU2025-02597,2025-08-30,"304 W 18TH ST KANNAPOLIS, NC 28081",154I172,154172,invalid or placeholder parcel number
BU2025-02598,2025-08-30,"526 SAND DUNES DR KANNAPOLIS, NC 28081",154I064,154064,invalid or placeholder parcel number
BU2025-02599,2025-08-30,"286 W 18TH ST KANNAPOLIS, NC 28081",154I175,154175,invalid or placeholder parcel number
BU2025-02596,2025-08-29,"532 SAND DUNES DR KANNAPOLIS, NC 28081",154I063,154063,invalid or placeholder parcel number
BU2025-02575,2025-08-28,"513 SAND DUNES DR KANNAPOLIS, NC 28081",154I154,154154,invalid or placeholder parcel number
BU2025-02577,2025-08-28,"1301 MT VERNON AVE KANNAPOLIS, NC 28083",158 035,158035,invalid or placeholder parcel number
BU2025-02578,2025-08-28,"316 W 18TH ST KANNAPOLIS, NC 28081",154I170,154170,invalid or placeholder parcel number
BU2025-02583,2025-08-28,"520 SAND DUNES DR KANNAPOLIS, NC 28081",154I065,154065,invalid or placeholder parcel number
BU2025-02574,2025-08-27,"501 SAND DUNES DR KANNAPOLIS, NC 28081",154I152,154152,invalid or placeholder parcel number
BU2025-02547,2025-08-26,"507 SAND DUNES DR KANNAPOLIS, NC 28081",154I153,154153,invalid or placeholder parcel number
BU2025-02537,2025-08-25,"310 W 18TH ST KANNAPOLIS, NC 28081",154I171,154171,invalid or placeholder parcel number
BU2025-02510,2025-08-21,"737 JACK ST KANNAPOLIS, NC 28081",154 094,154094,invalid or placeholder parcel number
BU2025-02514,2025-08-21,"1415 ARDEN AVE KANNAPOLIS, NC 28081",153 132,153132,invalid or placeholder parcel number
BU2025-02515,2025-08-21,"1413 ARDEN AVE KANNAPOLIS, NC 28081",153 132,153132,invalid or placeholder parcel number
BU2025-02518,2025-08-21,"731 JACK ST KANNAPOLIS, NC 28081",154 095,154095,invalid or placeholder parcel number
BU2025-02490,2025-08-20,"115 ARLENE AVE KANNAPOLIS, NC 28081",249C014,249014,invalid or placeholder parcel number
BU2025-02425,2025-08-13,"298 W 18TH ST KANNAPOLIS, NC 28081",154I173,154173,invalid or placeholder parcel number
BU2025-02383,2025-08-08,"1409 ARDEN AVE KANNAPOLIS, NC 28081",153 038,153038,invalid or placeholder parcel number
BU2025-02384,2025-08-08,"1595 SOLITUDE CT KANNAPOLIS, NC 28081",152A007,152007,invalid or placeholder parcel number
BU2025-02390,2025-08-08,"1585 SOLITUDE CT KANNAPOLIS, NC 28081",152A006,152006,invalid or placeholder parcel number
BU2025-02391,2025-08-08,"3330 NEW LIFE LN KANNAPOLIS, NC 28083",158B019,158019,invalid or placeholder parcel number
BU2025-02379,2025-08-07,"5975 TUCKASEEGEE RD KANNAPOLIS, NC 28081",,,missing parcel number
BU2025-02247,2025-07-29,"519 SAND DUNES DR KANNAPOLIS, NC 28081",154I155,154155,invalid or placeholder parcel number
BU2025-02251,2025-07-29,"531 SAND DUNES DR KANNAPOLIS, NC 28081",154I157,154157,invalid or placeholder parcel number
BU2025-02254,2025-07-29,"525 SAND DUNES DR KANNAPOLIS, NC 28081",154I156,154156,invalid or placeholder parcel number
BU2025-02255,2025-07-29,"514 SAND DUNES DR KANNAPOLIS, NC 28081",154I066,154066,invalid or placeholder parcel number
BU2025-02260,2025-07-29,"500 W 22ND ST KANNAPOLIS, NC 28081",155 200,155200,invalid or placeholder parcel number
BU2025-02207,2025-07-25,"1021 E 10TH ST KANNAPOLIS, NC 28083",151 423,151423,invalid or placeholder parcel number
BU2025-02212,2025-07-25,"3005 SWALLOWTAIL LN KANNAPOLIS, NC 28083",158B041,158041,invalid or placeholder parcel number
BU2025-02178,2025-07-24,"2710 TRAWLER WAY KANNAPOLIS, NC 28083",145 252,145252,invalid or placeholder parcel number
BU2025-02179,2025-07-24,"2715 TRAWLER WAY KANNAPOLIS, NC 28083",145 248,145248,invalid or placeholder parcel number
BU2025-02180,2025-07-24,"2700 TRAWLER WAY KANNAPOLIS, NC 28083",145 251,145251,invalid or placeholder parcel number
BU2025-02189,2025-07-24,"1200 FISHER SPRINGS LN KANNAPOLIS, NC 28083",145 257,145257,invalid or placeholder parcel number
BU2025-02193,2025-07-24,"712 LEAZER ST KANNAPOLIS, NC 28081",154 110,154110,invalid or placeholder parcel number
BU2025-02196,2025-07-24,"1210 FISHER SPRINGS LN KANNAPOLIS, NC 28083",145 259,145259,invalid or placeholder parcel number
BU2025-02197,2025-07-24,"1300 GLENN AVE KANNAPOLIS, NC 28081",142 013,142013,invalid or placeholder parcel number
BU2025-02161,2025-07-23,"2720 TRAWLER WAY KANNAPOLIS, NC 28083",145 249,145249,invalid or placeholder parcel number
BU2025-02162,2025-07-23,"2705 TRAWLER WAY KANNAPOLIS, NC 28083",145 247,145247,invalid or placeholder parcel number
BU2025-02163,2025-07-23,"1205 FISHER SPRINGS LN KANNAPOLIS, NC 28083",145 228,145228,invalid or placeholder parcel number
BU2025-02143,2025-07-21,"403 E 21ST ST KANNAPOLIS, NC 28083",161 096,161096,invalid or placeholder parcel number
