official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149735705,46807062570000,5,4,0,1,0,3,2,4082347.0,2021-12-09,2022-09-26,2,residential_growth,major_growth,96.0,90.2,active_construction
CFS-PARCEL-0149806674,56209716130000,5,1,3,1,0,2,1,1990425.0,2015-02-05,2025-07-23,4,commercial_activity,major_growth,96.0,81.0,active_construction
CFS-PARCEL-0149752742,55094314560000,5,1,2,2,0,1,1,1430200.0,2018-06-05,2023-08-08,3,redevelopment_signal,redevelopment_signal,96.0,75.2,active_construction
CFS-PARCEL-0149826958,56702332070000,5,1,2,1,1,1,1,1409000.0,2017-05-31,2022-07-01,3,commercial_activity,redevelopment_signal,96.0,69.0,no_recent_activity
CFS-PARCEL-0149807773,56212691270000,5,2,1,0,1,1,1,1262940.0,2014-04-24,2017-09-15,3,residential_growth,major_growth,96.0,57.6,no_recent_activity
CFS-PARCEL-0149726261,45893564420000,5,1,2,1,0,1,1,1113864.21,2016-10-26,2023-05-03,4,commercial_activity,moderate_activity,96.0,62.2,active_construction
CFS-PARCEL-0149735573,45895775580000,5,1,2,2,0,1,1,845900.0,2020-10-06,2025-10-23,3,redevelopment_signal,redevelopment_signal,96.0,71.2,completed_historical
CFS-PARCEL-0149812947,56230248110000,5,1,1,0,2,1,1,602400.0,2020-12-14,2021-08-20,2,demolition,redevelopment_signal,96.0,54.8,no_recent_activity
CFS-PARCEL-0149814324,56211925600000,5,1,2,0,1,1,1,594300.0,2009-09-18,2016-05-04,3,commercial_activity,moderate_activity,96.0,56.4,no_recent_activity
CFS-PARCEL-0149757649,55181642570000,4,1,1,1,0,1,1,37441922.0,2020-07-16,2022-06-23,2,residential_growth,major_growth,96.0,64.75,active_construction
CFS-PARCEL-0149798416,56134458030000,4,1,0,0,1,1,1,5017600.0,2018-05-22,2018-10-22,1,residential_growth,major_growth,96.0,46.5,no_recent_activity
CFS-PARCEL-0149725908,45893535890000,4,1,1,2,0,2,1,2897200.0,2016-09-28,2023-01-30,4,redevelopment_signal,redevelopment_signal,96.0,77.0,recently_issued
