permit_id,permit_number,parcel_number,permit_date,activity_year,permit_type,work_type,permit_status,permit_amount,permit_segment,permit_growth_signal,development_domain,permit_value_class,permit_status_stage,permit_signal_score,is_map_relevant,is_future_prediction_relevant,classification_reason
5452497,BU2025-02968,56105979960000,2025-09-30,2025,new_construction,residential_new,inspections,377995.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5467464,BU2025-02965,56048062570000,2025-09-30,2025,new_construction,residential_new,inspections,130000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5475804,BU2025-02984,46814640640000,2025-09-30,2025,new_construction,residential_new,inspections,2200000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5495783,BU2025-02981,55298607500000,2025-09-30,2025,commercial_new_construction,commercial_new,inspections,3170000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5502543,BU2025-02964,55459991690000,2025-09-30,2025,new_construction,residential_new,inspections,600400.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5318271,BU2025-02950,55295706800000,2025-09-29,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456215,BU2025-02936,56209340060000,2025-09-26,2025,new_construction,residential_new,inspections,150848.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456216,BU2025-02937,56209340060000,2025-09-26,2025,new_construction,residential_new,inspections,150848.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456217,BU2025-02938,56209340060000,2025-09-26,2025,new_construction,residential_new,inspections,150848.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456218,BU2025-02937,56209340190000,2025-09-26,2025,new_construction,residential_new,inspections,150848.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456220,BU2025-02936,56209341140000,2025-09-26,2025,new_construction,residential_new,inspections,150848.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5466694,BU2025-02922,55653040120000,2025-09-26,2025,new_construction,residential_new,inspections,159415.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508066,BU2025-02927,46814860940000,2025-09-26,2025,new_construction,residential_new,inspections,312914.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5304585,BU2025-02901,56118134710000,2025-09-25,2025,new_construction,residential_new,inspections,132000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5483828,BU2025-02915,66037093530000,2025-09-25,2025,new_construction,residential_new,inspections,325715.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5326220,BU2025-02566,56014064420000,2025-09-24,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5462087,BU2025-02893,56230153360000,2025-09-24,2025,upfit,commercial_upfit,closed,607471.0,commercial_activity,major_growth,commercial,major_value,completed,100.0,True,True,major_new_growth
5468596,BU2025-02885,55164125710000,2025-09-24,2025,new_construction,residential_new,inspections,343255.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5473765,BU2025-02891,55164168970000,2025-09-24,2025,new_construction,residential_new,inspections,345776.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5318265,BU2025-02867,55173437750000,2025-09-23,2025,new_construction,residential_new,inspections,218400.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5322098,BU2025-02877,56048072860000,2025-09-23,2025,new_construction,residential_new,inspections,130000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5453746,BU2025-01310,55542112600000,2025-09-23,2025,new_construction,residential_new,inspections,121500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5299852,BU2025-02856,56219113590000,2025-09-22,2025,new_construction,residential_new,inspections,161475.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5317069,BU2025-02858,56133829110000,2025-09-22,2025,new_construction,residential_new,inspections,107150.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5328104,BU2025-02854,46817213730000,2025-09-22,2025,new_construction,residential_new,inspections,240000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5452911,BU2025-02861,46814860440000,2025-09-22,2025,new_construction,residential_new,inspections,306518.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497269,BU2025-02860,55170929560000,2025-09-22,2025,new_construction,residential_new,inspections,170000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5328183,BU2025-02839,55079343180000,2025-09-19,2025,new_construction,residential_new,inspections,100500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5472379,BU2025-02831,56035728670000,2025-09-19,2025,new_construction,residential_new,inspections,175000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5480921,BU2025-02838,55079275200000,2025-09-19,2025,new_construction,residential_new,inspections,133000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5327732,BU2025-02811,56209106470000,2025-09-18,2025,new_construction,residential_new,inspections,100800.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5472381,BU2025-02812,56035739730000,2025-09-18,2025,new_construction,residential_new,inspections,160000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5506622,BU2025-02813,56333097370000,2025-09-18,2025,new_construction,residential_new,inspections,350000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508474,BU2025-02817,46938056770000,2025-09-18,2025,new_construction,residential_new,inspections,504362.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5470652,BU2025-02807,56208308780000,2025-09-17,2025,new_construction,residential_new,inspections,160000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5470653,BU2025-02806,56208308780000,2025-09-17,2025,new_construction,residential_new,inspections,130000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5472380,BU2025-02804,56035738280000,2025-09-17,2025,new_construction,residential_new,inspections,170000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5487962,BU2025-02809,56206805220000,2025-09-17,2025,upfit,commercial_upfit,inspections,3730750.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5322054,BU2025-02758,55295948380000,2025-09-16,2025,new_construction,residential_new,inspections,100000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5479973,BU2025-02787,46735613280000,2025-09-16,2025,upfit,commercial_upfit,inspections,800000.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5506486,BU2025-02786,55429747160000,2025-09-16,2025,new_construction,residential_new,inspections,513500.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5323072,BU2025-02720,56130583790000,2025-09-15,2025,new_construction,residential_new,inspections,140000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508725,BU2025-02756,56215077000000,2025-09-15,2025,new_construction,residential_new,inspections,100000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507054,BU2025-02651,55397351590000,2025-09-11,2025,upfit,commercial_upfit,inspections,425308.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5292498,BU2025-02704,56603455790000,2025-09-10,2025,commercial_new_construction,commercial_new,inspections,1700000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5304901,BU2025-02641,55061361150000,2025-09-10,2025,commercial_new_construction,commercial_new,inspections,1930000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5507818,BU2025-02687,55061281970000,2025-09-09,2025,upfit,commercial_upfit,inspections,5773100.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5327681,BU2025-02683,56133632850000,2025-09-08,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5327682,BU2025-02678,56133642340000,2025-09-08,2025,new_construction,residential_new,inspections,100000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5306825,BU2025-02347,56107429830000,2025-09-06,2025,new_construction,residential_new,inspections,117214.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5319202,BU2025-02670,56013064950000,2025-09-06,2025,new_construction,residential_new,inspections,195300.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5323585,BU2025-02343,56107428990000,2025-09-06,2025,new_construction,residential_new,inspections,131851.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5323688,BU2025-02346,56107429910000,2025-09-06,2025,new_construction,residential_new,inspections,117214.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5326219,BU2025-02669,56014063540000,2025-09-06,2025,new_construction,residential_new,inspections,175000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5328143,BU2025-02671,56013064450000,2025-09-06,2025,new_construction,residential_new,inspections,195300.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5457596,BU2025-02668,56506440830000,2025-09-06,2025,new_construction,residential_new,inspections,121000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5481989,BU2025-02344,56107429780000,2025-09-06,2025,new_construction,residential_new,inspections,131851.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5489971,BU2025-02634,55347397750000,2025-09-06,2025,new_construction,residential_new,inspections,275898.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5476865,BU2025-02664,56010135370000,2025-09-05,2025,upfit,commercial_upfit,inspections,1500000.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5479344,BU2025-02663,56234674760000,2025-09-05,2025,new_construction,residential_new,inspections,165000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5481485,BU2025-02666,56517033660000,2025-09-05,2025,new_construction,residential_new,inspections,196955.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5476274,BU2025-02632,55073991170000,2025-09-04,2025,new_construction,residential_new,inspections,350000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5494126,BU2025-02644,55284079220000,2025-09-04,2025,new_construction,residential_new,inspections,566000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5496730,BU2025-02640,46814840960000,2025-09-04,2025,new_construction,residential_new,inspections,201426.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5295160,BU2025-02612,55254959830000,2025-09-03,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
