zone_id,school_level,school_name_raw,school_name_normalized,matched_school_reference_id,match_confidence,include_in_cfs_v1,exclusion_reason,source_layer_id,source_objectid
SCHOOLZONE-HIGH-CONCORD_HIGH-11,high,Concord HS,concord_high,SCHOOLREF-HIGH-CONCORD_HIGH-49,normalized_exact,True,,142,11
SCHOOLZONE-HIGH-COX_MILL_HIGH-12,high,Cox Mill HS,cox_mill_high,SCHOOLREF-HIGH-COX_MILL_HIGH-55,normalized_exact,True,,142,12
SCHOOLZONE-HIGH-HICKORY_RIDGE_HIGH-13,high,Hickory Ridge HS,hickory_ridge_high,SCHOOLREF-HIGH-HICKORY_RIDGE_HIGH-76,normalized_exact,True,,142,13
SCHOOLZONE-HIGH-JAY_M_ROBINSON_HIGH-14,high,Jay M Robinson HS,jay_m_robinson_high,SCHOOLREF-HIGH-JAY_M_ROBINSON_HIGH-66,normalized_exact,True,,142,14
SCHOOLZONE-HIGH-MOUNT_PLEASANT_HIGH-15,high,Mount Pleasant HS,mount_pleasant_high,SCHOOLREF-HIGH-MT_PLEASANT_HIGH-59,fuzzy_review,True,,142,15
SCHOOLZONE-HIGH-NORTHWEST_CABARRUS_HIGH-16,high,Northwest Cabarrus HS,northwest_cabarrus_high,SCHOOLREF-HIGH-NORTHWEST_CABARRUS_HIGH-46,normalized_exact,True,,142,16
SCHOOLZONE-HIGH-WEST_CABARRUS_HIGH-17,high,West Cabarrus HS,west_cabarrus_high,,unmatched_reference_review,True,,142,17
SCHOOLZONE-MIDDLE-C_C_GRIFFIN_MIDDLE-11,middle,C C Griffin MS,c_c_griffin_middle,SCHOOLREF-MIDDLE-C_C_GRIFFIN_MIDDLE-72,normalized_exact,True,,141,11
SCHOOLZONE-MIDDLE-CONCORD_MIDDLE-12,middle,Concord MS,concord_middle,SCHOOLREF-MIDDLE-CONCORD_MIDDLE-51,normalized_exact,True,,141,12
SCHOOLZONE-MIDDLE-HAROLD_WINKLER_MIDDLE-13,middle,Harold Winkler MS,harold_winkler_middle,SCHOOLREF-MIDDLE-HAROLD_E_WINKLER_MIDDLE-4892,fuzzy_review,True,,141,13
SCHOOLZONE-MIDDLE-HARRIS_ROAD_MIDDLE-14,middle,Harris Road MS,harris_road_middle,SCHOOLREF-MIDDLE-HARRIS_RD_MIDDLE-70,fuzzy_review,True,,141,14
SCHOOLZONE-MIDDLE-HICKORY_RIDGE_MIDDLE-15,middle,Hickory Ridge MS,hickory_ridge_middle,SCHOOLREF-MIDDLE-HICKORY_RIDGE_MIDDLE-5293,normalized_exact,True,,141,15
SCHOOLZONE-MIDDLE-J_N_FRIES_MIDDLE-16,middle,J N Fries MS,j_n_fries_middle,SCHOOLREF-MIDDLE-J_N_FRIES-63,normalized_exact,False,magnet_not_v1,141,16
SCHOOLZONE-MIDDLE-KANNAPOLIS_MIDDLE-8,middle,Kannapolis MS,kannapolis_middle,SCHOOLREF-MIDDLE-KANNAPOLIS_MIDDLE-81,normalized_exact,False,non_ccs_not_v1,141,8
SCHOOLZONE-MIDDLE-MOUNT_PLEASANT_MIDDLE-17,middle,Mount Pleasant MS,mount_pleasant_middle,SCHOOLREF-MIDDLE-MT_PLEASANT_MIDDLE-58,fuzzy_review,True,,141,17
SCHOOLZONE-MIDDLE-NORTHWEST_CABARRUS_MIDDLE-18,middle,Northwest Cabarrus MS,northwest_cabarrus_middle,SCHOOLREF-MIDDLE-NORTHWEST_CABARRUS_MIDDLE-45,normalized_exact,True,,141,18
SCHOOLZONE-MIDDLE-ROBERTA_ROAD_MIDDLE-19,middle,Roberta Road MS,roberta_road_middle,,unmatched_reference_review,True,,141,19
