metric_name,non_null_count,min_ft,p25_ft,median_ft,p75_ft,p90_ft,max_ft,avg_ft
distance_to_nearest_major_road_ft,0,,,,,,,
distance_to_nearest_rail_ft,110017,0.17149427062025022,4155.766652952232,9540.908665825194,27177.69351552143,40787.918059134696,93976.95516655919,16203.094200395726
distance_to_nearest_road_ft,110017,0.012292787100131682,83.71385055014005,102.89933971294906,150.69177830102015,291.1024937323004,3404.0397779992486,161.38375391992622
