official_parcel_id,objectid_1,pin14,flood_severity_class,buildability_impact,dominant_flood_zone,flood_zone_codes,floodway_present,sfha_present,moderate_flood_present,parcel_area_acres,flood_constrained_area_acres,floodway_area_acres,sfha_area_acres,percent_parcel_constrained,percent_parcel_floodway,percent_parcel_sfha,flood_review_required,flood_constraint_score,overlay_confidence
CFS-PARCEL-0149810089,149810089,56219287200000,severe,severe,AE,"['AE', 'X']",True,True,True,1.0440,0.9047,0.2734,0.8066,86.6633,26.1881,77.2654,True,93.26,high
CFS-PARCEL-0149755154,149755154,55068016240000,severe,severe,AE,"['AE', 'X']",True,True,True,3.0267,2.1745,0.9421,2.0818,71.8432,31.1256,68.7820,True,93.26,high
CFS-PARCEL-0149773575,149773575,55449061600000,severe,severe,AE,"['AE', 'X']",True,True,True,5.7727,4.0396,1.8327,3.5823,69.9782,31.7483,62.0551,True,93.26,high
CFS-PARCEL-0149793184,149793184,56118034830000,severe,severe,AE,"['AE', 'X']",True,True,True,3.6664,3.5939,0.8192,3.5821,98.0225,22.3441,97.6994,True,93.25,high
CFS-PARCEL-0149820372,149820372,56325016660000,severe,severe,AE,"['AE', 'X']",True,True,True,1.9234,1.8909,0.4269,1.7499,98.3144,22.1929,90.9813,True,93.24,high
CFS-PARCEL-0149826637,149826637,56310197070000,severe,severe,X,"['AE', 'X']",True,True,True,0.9348,0.9348,0.2008,0.3076,100.0000,21.4744,32.9022,True,93.22,high
CFS-PARCEL-0149747747,149747747,55072202940000,severe,severe,X,"['AE', 'X']",True,True,True,9.3992,5.2884,3.3908,4.5527,56.2646,36.0753,48.4370,True,93.22,high
CFS-PARCEL-0149754009,149754009,55164595790000,severe,severe,AE,"['AE', 'X']",True,True,True,9.7743,8.2835,2.5870,7.8343,84.7479,26.4669,80.1514,True,93.21,high
CFS-PARCEL-0149779042,149779042,55671264180000,severe,severe,AE,"['AE', 'X']",True,True,True,28.3803,22.0336,8.1567,20.0945,77.6370,28.7407,70.8042,True,93.19,high
CFS-PARCEL-0149736715,149736715,46639628990000,severe,severe,AE,"['AE', 'X']",True,True,True,1.0339,0.7126,0.3273,0.6040,68.9196,31.6544,58.4165,True,93.19,high
CFS-PARCEL-0149736716,149736716,46639628990000,severe,severe,AE,"['AE', 'X']",True,True,True,1.0339,0.7126,0.3273,0.6040,68.9196,31.6544,58.4165,True,93.19,high
CFS-PARCEL-0149785897,149785897,55559394360000,severe,severe,AE,"['AE', 'X']",True,True,True,3.7593,3.4783,0.8895,3.2931,92.5248,23.6606,87.5984,True,93.18,high
CFS-PARCEL-0149810090,149810090,56219309280000,severe,severe,AE,"['AE', 'X']",True,True,True,6.4522,5.6511,1.6339,5.3045,87.5837,25.3227,82.2121,True,93.18,high
CFS-PARCEL-0149816087,149816087,56244088600000,severe,severe,AE,"['AE', 'X']",True,True,True,1.1098,0.7961,0.3396,0.7172,71.7365,30.6019,64.6194,True,93.18,high
CFS-PARCEL-0149776682,149776682,55531960740000,severe,severe,X,"['AE', 'X']",True,True,True,2.5829,1.7363,0.8277,1.5032,67.2247,32.0466,58.1977,True,93.17,high
CFS-PARCEL-0149794251,149794251,56123504320000,severe,severe,X,"['AE', 'X']",True,True,True,1.6263,1.0783,0.5238,1.0392,66.3019,32.2067,63.9024,True,93.15,high
CFS-PARCEL-0149759603,149759603,55197401900000,severe,severe,X,"['AE', 'X']",True,True,True,4.7720,3.0791,1.5664,2.8091,64.5241,32.8254,58.8674,True,93.15,high
CFS-PARCEL-0149784032,149784032,56011078660000,severe,severe,X,"['AE', 'X']",True,True,True,4.9212,3.0493,1.6577,2.6942,61.9631,33.6850,54.7474,True,93.15,high
CFS-PARCEL-0149820489,149820489,56324083620000,severe,severe,AE,"['AE', 'X']",True,True,True,4.4260,3.6140,1.1981,3.2893,81.6556,27.0708,74.3190,True,93.14,high
CFS-PARCEL-0149820101,149820101,56313331800000,severe,severe,X,"['AE', 'X']",True,True,True,9.0947,5.9628,2.9497,4.8328,65.5629,32.4329,53.1381,True,93.14,high
CFS-PARCEL-0149756243,149756243,55175035830000,severe,severe,AE,['AE'],True,True,False,1.2650,1.2650,0.2636,1.2650,100.0000,20.8400,100.0000,True,93.13,high
CFS-PARCEL-0149750111,149750111,55087107190000,severe,severe,X,"['AE', 'X']",True,True,True,0.3620,0.3620,0.0753,0.1828,100.0000,20.7924,50.4917,True,93.12,high
CFS-PARCEL-0149750112,149750112,55087107190000,severe,severe,X,"['AE', 'X']",True,True,True,0.3620,0.3620,0.0753,0.1828,100.0000,20.7924,50.4917,True,93.12,high
CFS-PARCEL-0149750113,149750113,55087107190000,severe,severe,X,"['AE', 'X']",True,True,True,0.3620,0.3620,0.0753,0.1828,100.0000,20.7924,50.4917,True,93.12,high
CFS-PARCEL-0149819860,149819860,56311076410000,severe,severe,AE,"['AE', 'X']",True,True,True,1.4030,1.2494,0.3418,1.1016,89.0475,24.3603,78.5128,True,93.11,high
CFS-PARCEL-0149745725,149745725,55066996110000,severe,severe,AE,"['AE', 'X']",True,True,True,5.3286,4.3384,1.4362,3.9350,81.4172,26.9524,73.8462,True,93.11,high
CFS-PARCEL-0149753281,149753281,55161224500000,severe,severe,X,"['AE', 'X']",True,True,True,9.9981,5.7069,3.5029,5.3028,57.0796,35.0360,53.0385,True,93.11,high
CFS-PARCEL-0149780047,149780047,55782888410000,severe,severe,X,"['AE', 'X']",True,True,True,3.6246,2.0971,1.2560,2.0217,57.8575,34.6521,55.7778,True,93.09,high
CFS-PARCEL-0149806792,149806792,56210258460000,severe,severe,AE,"['AE', 'X']",True,True,True,1.8745,1.3682,0.5532,1.2096,72.9896,29.5136,64.5293,True,93.08,high
CFS-PARCEL-0149794097,149794097,56121317920000,severe,severe,X,"['AE', 'X']",True,True,True,0.5069,0.3283,0.1635,0.3160,64.7720,32.2623,62.3325,True,93.08,high
CFS-PARCEL-0149761841,149761841,55266731350000,severe,severe,X,"['AE', 'X']",True,True,True,6.8620,4.0037,2.3627,3.6886,58.3451,34.4320,53.7539,True,93.08,high
CFS-PARCEL-0149777922,149777922,55576455810000,severe,severe,AE,"['AE', 'X']",True,True,True,13.0292,10.3915,3.5455,8.9379,79.7552,27.2122,68.5992,True,93.07,high
CFS-PARCEL-0149756871,149756871,55079129130000,severe,severe,X,"['AE', 'X']",True,True,True,7.0421,4.6792,2.2257,4.3254,66.4467,31.6058,61.4213,True,93.06,high
CFS-PARCEL-0149761535,149761535,55266165200000,severe,severe,X,"['AE', 'X']",True,True,True,10.1722,6.9017,3.1617,6.1725,67.8490,31.0822,60.6805,True,93.05,high
CFS-PARCEL-0149757342,149757342,55182909850000,severe,severe,X,"['AE', 'X']",True,True,True,0.3514,0.2374,0.1094,0.2100,67.5723,31.1262,59.7683,True,93.05,high
CFS-PARCEL-0149757285,149757285,55182919200000,severe,severe,X,"['AE', 'X']",True,True,True,0.3781,0.2419,0.1223,0.2187,63.9698,32.3465,57.8291,True,93.05,high
CFS-PARCEL-0149734978,149734978,46803909910000,severe,severe,AE,"['AE', 'X']",True,True,True,17.8449,12.0134,5.5548,11.4237,67.3210,31.1280,64.0165,True,93.04,high
CFS-PARCEL-0149758054,149758054,55182918640000,severe,severe,X,"['AE', 'X']",True,True,True,0.4153,0.2603,0.1357,0.2344,62.6773,32.6856,56.4466,True,93.04,high
CFS-PARCEL-0149752514,149752514,55093813400000,severe,severe,X,"['AE', 'X']",True,True,True,0.6360,0.3422,0.2268,0.2915,53.8045,35.6524,45.8330,True,93.04,high
CFS-PARCEL-0149752515,149752515,55093813400000,severe,severe,X,"['AE', 'X']",True,True,True,0.6360,0.3422,0.2268,0.2915,53.8045,35.6524,45.8330,True,93.04,high
CFS-PARCEL-0149749738,149749738,55086170130000,severe,severe,AE,"['AE', 'X']",True,True,True,3.2860,3.1161,0.7185,2.7172,94.8309,21.8653,82.6907,True,93.02,high
CFS-PARCEL-0149761776,149761776,55273242360000,severe,severe,AE,"['AE', 'X']",True,True,True,27.0531,19.4983,7.9667,18.6619,72.0741,29.4484,68.9827,True,93.02,high
CFS-PARCEL-0149822457,149822457,56402314800000,severe,severe,X,"['AE', 'X']",True,True,True,1.4408,0.6694,0.5472,0.6147,46.4599,37.9757,42.6661,True,93.02,high
CFS-PARCEL-0149774410,149774410,55455932080000,severe,severe,X,"['AE', 'X']",True,True,True,23.2156,14.7275,7.4837,13.6911,63.4378,32.2356,58.9738,True,93.01,high
CFS-PARCEL-0149784052,149784052,56011740170000,severe,severe,X,"['AE', 'X']",True,True,True,2.9783,1.5899,1.0597,1.4724,53.3822,35.5804,49.4357,True,93.01,high
CFS-PARCEL-0149744653,149744653,55058384670000,severe,severe,AE,"['AE', 'X']",True,True,True,2.0373,1.5260,0.5777,1.2926,74.9025,28.3567,63.4478,True,93.00,high
CFS-PARCEL-0149749345,149749345,55081002200000,severe,severe,AE,"['AE', 'X']",True,True,True,0.5873,0.4826,0.1520,0.4242,82.1723,25.8723,72.2339,True,92.99,high
CFS-PARCEL-0149758621,149758621,55194057440000,severe,severe,AE,"['AE', 'X']",True,True,True,1.9448,1.4152,0.5646,1.2149,72.7701,29.0313,62.4719,True,92.99,high
CFS-PARCEL-0149746539,149746539,55063883890000,severe,severe,X,"['AE', 'X']",True,True,True,1.5379,0.9381,0.5064,0.8252,60.9983,32.9302,53.6587,True,92.99,high
CFS-PARCEL-0149746540,149746540,55063883890000,severe,severe,X,"['AE', 'X']",True,True,True,1.5379,0.9381,0.5064,0.8252,60.9983,32.9302,53.6587,True,92.99,high
CFS-PARCEL-0149777115,149777115,55554990550000,severe,severe,X,"['AE', 'X']",True,True,True,50.3634,30.2186,16.7497,22.9257,60.0011,33.2577,45.5205,True,92.99,high
CFS-PARCEL-0149745099,149745099,55063758810000,severe,severe,X,"['AE', 'X']",True,True,True,1.6391,0.9404,0.5599,0.8572,57.3757,34.1608,52.2962,True,92.99,high
CFS-PARCEL-0149787559,149787559,56036098870000,severe,severe,AE,"['AE', 'X']",True,True,True,6.1778,4.9930,1.6206,4.1318,80.8217,26.2333,66.8814,True,92.98,high
CFS-PARCEL-0149775823,149775823,55483349360000,severe,severe,AE,"['AE', 'X']",True,True,True,14.9357,10.5002,4.4416,8.5614,70.3028,29.7382,57.3218,True,92.98,high
CFS-PARCEL-0149748075,149748075,55075382490000,severe,severe,X,"['AE', 'X']",True,True,True,58.5599,39.0576,18.0932,35.6898,66.6969,30.8970,60.9459,True,92.97,high
CFS-PARCEL-0149748076,149748076,55075382490000,severe,severe,X,"['AE', 'X']",True,True,True,58.5599,39.0576,18.0932,35.6898,66.6969,30.8970,60.9459,True,92.97,high
CFS-PARCEL-0149758632,149758632,55191040590000,severe,severe,AE,"['AE', 'X']",True,True,True,0.8950,0.6843,0.2466,0.5657,76.4612,27.5542,63.2093,True,92.96,high
CFS-PARCEL-0149786484,149786484,56027827870000,severe,severe,AE,"['AE', 'X']",True,True,True,21.7794,14.8877,6.6003,13.8711,68.3569,30.3054,63.6891,True,92.96,high
CFS-PARCEL-0149755492,149755492,55175182690000,severe,severe,AE,"['AE', 'X']",True,True,True,3.1768,2.3130,0.9075,1.7120,72.8086,28.5675,53.8894,True,92.93,high
CFS-PARCEL-0149775599,149775599,55475619410000,severe,severe,X,"['AE', 'X']",True,True,True,2.4748,1.3571,0.8562,1.1866,54.8354,34.5958,47.9478,True,92.93,high
CFS-PARCEL-0149752189,149752189,55098089540000,severe,severe,AE,"['AE', 'X']",True,True,True,1.5002,1.5001,0.2923,1.4542,99.9940,19.4873,96.9322,True,92.92,high
CFS-PARCEL-0149798640,149798640,56133249270000,severe,severe,X,"['AE', 'X']",True,True,True,0.4109,0.2490,0.1339,0.2385,60.5825,32.5862,58.0322,True,92.92,high
CFS-PARCEL-0149741741,149741741,46918402550000,severe,severe,AE,"['AE', 'X']",True,True,True,3.7238,2.6535,1.0800,2.3438,71.2579,29.0032,62.9422,True,92.91,high
CFS-PARCEL-0149796361,149796361,56129913250000,severe,severe,AE,"['AE', 'X']",True,True,True,1.1582,0.8179,0.3381,0.7284,70.6191,29.1907,62.8918,True,92.91,high
