jurisdiction_name,zoning_code_raw,zoning_general_raw,zoning_type_raw,base_district_raw,conditional_raw,zoning_label_normalized,zoning_general_normalized,feature_count,total_area_acres
Harrisburg,RH,RESIDENTIAL,,,,RH,residential,3,260.55
Harrisburg,CZ-CC,MIXED USE,,,,CZ-CC,mixed_use,2,16.38
Harrisburg,CZ-RM,RESIDENTIAL,,,,CZ-RM,residential,2,65.65
Harrisburg,OI,,,,,OI,office,2,4.27
Harrisburg,RL,,,,,RL,residential,2,356.71
Harrisburg,RM,,,,,RM,residential,2,4.18
Harrisburg,CZ-AG,,,,,CZ-AG,unknown,1,46.33
Harrisburg,CZ-GC,,,,,CZ-GC,unknown,1,2.63
Harrisburg,CZ-NC,RESIDENTIAL,,,,CZ-NC,residential,1,14.18
Harrisburg,CZ-RE,RESIDENTIAL,,,,CZ-RE,residential,1,152.53
Harrisburg,CZ-RH,,,,,CZ-RH,unknown,1,2.46
Harrisburg,CZ-RM,RESIDENTIAL MEDIUM,,,,CZ-RM,residential,1,185.1
Harrisburg,EC,LIGHT INDUSTRIAL,,,,EC,industrial,1,5.01
Harrisburg,EC,MIXED USE,,,,EC,mixed_use,1,121.64
Harrisburg,NC,,,,,NC,unknown,1,3.84
Harrisburg,OI,RESIDENTIAL,,,,OI,office,1,25.83
Harrisburg,PUD,,,,,PUD,unknown,1,142.95
Harrisburg,RH,,,,,RH,residential,1,34.05
Harrisburg,RM,COMMERCIAL,,,,RM,commercial,1,14.25
Kannapolis,R8,,,RV,,R8,residential,497,3684.9
Kannapolis,R4,,,RM-2,,R4,residential,362,5288.57
Kannapolis,GC,,,C-2,,GC,commercial,247,1415.12
Kannapolis,O-I,,,OI,,O-I,office,158,1085.95
Kannapolis,R4,,,RM-1,,R4,residential,91,2228.95
Kannapolis,MU-N,,,B-1,,MU-N,mixed_use,60,65.43
Kannapolis,CC,,,CC,,CC,commercial,57,285.74
Kannapolis,R18,,,RC,,R18,residential,37,670.37
Kannapolis,PD,,,RM-1,,PD,residential,32,954.51
Kannapolis,R1,,,RE,,R1,residential,25,1355.27
Kannapolis,CD,,,CD,,CD,unknown,23,765.6
Kannapolis,LI,,,I-1,,LI,industrial,22,323.12
Kannapolis,AG,,,AG,,AG,agricultural,20,1724.58
Kannapolis,PD-TND,,,TND,,PD-TND,unknown,18,308.3
Kannapolis,C-1,,,C-1,,C-1,unknown,14,41.03
Kannapolis,MU-N,,,C-2,,MU-N,mixed_use,12,46.88
Kannapolis,LI-CZ,,,PUD,,LI-CZ,industrial,10,134.61
Kannapolis,HI,,,I-2,,HI,unknown,9,40.01
Kannapolis,AG,,,,,AG,agricultural,7,58.98
Kannapolis,GC-CZ,,,C-2,,GC-CZ,commercial,6,20.47
Kannapolis,R8,,,C-2,,R8,residential,6,1.98
Kannapolis,R8,,,OI,,R8,office,6,1.49
Kannapolis,R8-CZ,,,RV,,R8-CZ,residential,6,238.54
Kannapolis,GC-CZ,,,RE,,GC-CZ,commercial,5,14.87
Kannapolis,MU-N,,,OI,,MU-N,mixed_use,5,25.79
Kannapolis,R8-CZ,,,,,R8-CZ,residential,5,138.55
Kannapolis,GC-CZ,,,RV,,GC-CZ,commercial,4,4.62
Kannapolis,PD,,,AG,,PD,agricultural,4,322.11
