official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,municipal_zoning_dominates_county_overlap,has_nearly_equal_overlap_split,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149741338,149741338,46910267510000,review,POPLAR TENT WEST,,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Concord,RV-CD,0.010649,0.989351,high,multi_jurisdiction_assigned,False,False,0,0.878022
CFS-PARCEL-0149774845,149774845,55469094090000,review,FLOWES STORE EAST,,Midland,,AG,agricultural,2,2,0.993972,Cabarrus County / Unincorporated,CR,0.004614,0.989358,high,multi_jurisdiction_assigned,True,False,1,3.036087
CFS-PARCEL-0149777421,149777421,55578448610000,review,MIAMI CHURCH RD,,Cabarrus County / Unincorporated,,CR,residential,2,2,0.989366,Mt. Pleasant,RE,1e-06,0.989365,high,multi_jurisdiction_assigned,False,False,1,1.342908
CFS-PARCEL-0149766903,149766903,55343108910000,review,BETHEL ELEMENTARY SCHOOL,,Cabarrus County / Unincorporated,,CR,residential,3,2,0.994693,Midland,SFR,0.005307,0.989387,high,multi_jurisdiction_assigned,False,False,2,2.090816
CFS-PARCEL-0149766586,149766586,55182451870000,review,ROBERTA MILLS,,Cabarrus County / Unincorporated,,LDR,residential,2,2,0.999765,Harrisburg,RM,0.010375,0.98939,high,multi_jurisdiction_assigned,False,False,0,28.425048
CFS-PARCEL-0149760733,149760733,55257169650000,review,PINE GROVE CHURCH RD,,Cabarrus County / Unincorporated,,CR,residential,3,2,0.994057,Midland,AG,0.004642,0.989415,high,multi_jurisdiction_assigned,False,False,2,52.152935
CFS-PARCEL-0149779189,149779189,55681357500000,trusted,LAKE SHORE ESTATES,LAKE SHORE ESTATES,Cabarrus County / Unincorporated,,CR,residential,2,2,0.990049,Mt. Pleasant,RE,0.000634,0.989416,high,multi_jurisdiction_assigned,False,False,1,1.84994
CFS-PARCEL-0149758831,149758831,55196290320000,trusted,FRANK LISKE PARK,PARKVIEW,Concord,,RM-2,residential,2,2,0.98943,Cabarrus County / Unincorporated,OI,0.0,0.98943,high,multi_jurisdiction_assigned,True,False,1,0.297134
CFS-PARCEL-0149758331,149758331,55188585720000,review,STOUGH ROAD,,Cabarrus County / Unincorporated,,LI,industrial,2,2,0.994726,Concord,I-1,0.005274,0.989453,high,multi_jurisdiction_assigned,False,False,1,6.482178
CFS-PARCEL-0149783975,149783975,55492215790000,trusted,HWY 601 / 49,LOMAX ESTATE,Cabarrus County / Unincorporated,,OI,office,4,2,0.994429,Cabarrus County / Unincorporated,CR,0.004946,0.989482,high,multi_jurisdiction_assigned,False,False,3,29.989131
CFS-PARCEL-0149762145,149762145,55271094880000,review,HARRISBURG SOUTH,,Cabarrus County / Unincorporated,,LDR,residential,2,2,0.9947,Harrisburg,OI,0.005183,0.989518,high,multi_jurisdiction_assigned,False,False,1,4.996763
CFS-PARCEL-0149772524,149772524,55399022950000,review,CENTRAL CABARRUS HIGH SCHOOL,,Concord,,PUD,unknown,2,2,0.999932,Cabarrus County / Unincorporated,LDR,0.010414,0.989518,high,multi_jurisdiction_assigned,True,False,0,15.478776
CFS-PARCEL-0149730351,149730351,46706879620000,trusted,SKYBROOK,SKYBROOK,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Concord,RV-CD,0.010454,0.989546,high,multi_jurisdiction_assigned,False,False,0,0.244261
CFS-PARCEL-0149775350,149775350,55480083680000,review,FAGGARTS EAST,,Cabarrus County / Unincorporated,,LDR,residential,3,2,0.994889,Cabarrus County / Unincorporated,AO,0.00533,0.989559,high,multi_jurisdiction_assigned,False,False,2,73.049789
CFS-PARCEL-0149739460,149739460,46817331740000,trusted,ANNSBOROUGH PARK,ANNSBOROUGH PARK,Concord,,RV-CD,residential,4,2,0.991143,Concord,RM-2-CD,0.001567,0.989576,high,multi_jurisdiction_assigned,True,False,3,4.736675
CFS-PARCEL-0149811944,149811944,56223554430000,review,LAKE CONCORD RD,,Cabarrus County / Unincorporated,,MDR,residential,4,2,0.995685,Kannapolis,R18-CZ,0.006106,0.989579,high,multi_jurisdiction_assigned,False,False,3,2.311859
CFS-PARCEL-0149767991,149767991,55375989130000,trusted,ASHEBROOK,ASHEBROOK,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Concord,RC-CD,0.010414,0.989586,high,multi_jurisdiction_assigned,False,False,0,0.238055
CFS-PARCEL-0149759687,149759687,55249090510000,trusted,WYNDHAM ESTATES,WYNDHAM ESTATES,Midland,,SFR,unknown,2,2,0.994812,Cabarrus County / Unincorporated,CR,0.005188,0.989625,high,multi_jurisdiction_assigned,True,False,1,0.482712
CFS-PARCEL-0149738966,149738966,46816404210000,review,POPLAR TENT WEST,,Cabarrus County / Unincorporated,,LDR,residential,3,2,0.994819,Cabarrus County / Unincorporated,LDR,0.005181,0.989638,high,multi_jurisdiction_assigned,False,False,2,14.586691
CFS-PARCEL-0149777021,149777021,55552395120000,review,REED GOLD MINE,,Cabarrus County / Unincorporated,,LDR,residential,4,2,0.994792,Midland,AG,0.005145,0.989647,high,multi_jurisdiction_assigned,False,False,3,116.115071
CFS-PARCEL-0149737362,149737362,46811603270000,trusted,MOSS CREEK AREA 4,NAPA VALLEY @ MOSS CREEK,Concord,,RM-2-CU,residential,2,2,0.994833,Cabarrus County / Unincorporated,OI,0.005166,0.989667,high,multi_jurisdiction_assigned,True,False,1,0.145793
CFS-PARCEL-0149760835,149760835,55159976910000,trusted,MONTEROSA,MONTEROSA,Cabarrus County / Unincorporated,,CR,residential,2,2,0.993507,Harrisburg,RL,0.00382,0.989686,high,multi_jurisdiction_assigned,False,False,1,1.99309
CFS-PARCEL-0149774950,149774950,55450257550000,review,FLOWES STORE EAST,,Midland,,SFR,unknown,2,2,0.997296,Cabarrus County / Unincorporated,CR,0.007596,0.9897,high,multi_jurisdiction_assigned,True,False,1,0.734714
CFS-PARCEL-0149779180,149779180,55681311890000,trusted,LAKE SHORE ESTATES,LAKE SHORE ESTATES,Cabarrus County / Unincorporated,,CR,residential,2,2,0.989713,Mt. Pleasant,RE,0.0,0.989713,high,multi_jurisdiction_assigned,False,False,1,1.188707
CFS-PARCEL-0149819176,149819176,56311969440000,trusted,ALLISON WOODS,CHARLES & LINDA ABERNATHY,Concord,,RM-1,residential,2,2,0.995465,Cabarrus County / Unincorporated,AO,0.00573,0.989735,high,multi_jurisdiction_assigned,True,False,1,3.811983
CFS-PARCEL-0149751625,149751625,46933322710000,trusted,JACOBS RIDGE,JACOB'S RIDGE,Kannapolis,,R1,residential,2,2,0.991166,Cabarrus County / Unincorporated,AO,0.001417,0.989749,high,multi_jurisdiction_assigned,True,False,1,2.194738
CFS-PARCEL-0149776576,149776576,55499934950000,review,LAKE LYNN LODGE,,Cabarrus County / Unincorporated,,LDR,residential,3,2,0.99542,Concord,RC,0.005668,0.989752,high,multi_jurisdiction_assigned,False,False,2,1.542149
CFS-PARCEL-0149744912,149744912,55057936550000,trusted,BRITLEY,BRITLEY SUBDIVISION,Cabarrus County / Unincorporated,,CR,residential,2,2,0.989757,Harrisburg,CZ-RM,0.0,0.989757,high,multi_jurisdiction_assigned,False,False,1,1.217069
CFS-PARCEL-0149768549,149768549,55197200700000,trusted,FRANK LISKE PARK,PARKVIEW,Concord,,RM-2,residential,2,2,0.989811,Cabarrus County / Unincorporated,OI,0.0,0.989811,high,multi_jurisdiction_assigned,True,False,1,0.3026
CFS-PARCEL-0149780521,149780521,55771088030000,trusted,MIAMI CHURCH RD,ELEGANT ESTATES,Cabarrus County / Unincorporated,,AO,agricultural,2,2,0.994584,Locust,OPS,0.004772,0.989812,high,multi_jurisdiction_assigned,False,False,1,4.378502
CFS-PARCEL-0149742692,149742692,46727774360000,trusted,PLACID,3482 & 3486 PLACID ROAD,Cabarrus County / Unincorporated,,CR,residential,2,2,0.989821,Kannapolis,R8,2e-06,0.989819,high,multi_jurisdiction_assigned,False,False,1,2.958495
CFS-PARCEL-0149767674,149767674,55346926150000,review,HWY 24 / 27,,Midland,,C24/27,unknown,4,2,0.994953,Midland,SFR,0.005101,0.989852,high,multi_jurisdiction_assigned,True,False,3,5.212808
CFS-PARCEL-0149756389,149756389,55179860090000,review,STOUGH ROAD,LILLIAN FRANK SIMPSON ARTHUR TRUST,Cabarrus County / Unincorporated,,OI,office,3,2,0.994754,Cabarrus County / Unincorporated,LI,0.004873,0.989881,high,multi_jurisdiction_assigned,False,False,2,106.143626
CFS-PARCEL-0149759211,149759211,55197200010000,trusted,FRANK LISKE PARK,PARKVIEW,Concord,,RM-2,residential,2,2,0.989924,Cabarrus County / Unincorporated,OI,0.0,0.989924,high,multi_jurisdiction_assigned,True,False,1,0.302988
CFS-PARCEL-0149780013,149780013,55761676690000,trusted,MEADOWCREEK VILLAGE,MEADOWCREEK,Locust,,OPS,unknown,2,2,0.999963,Cabarrus County / Unincorporated,AO,0.01002,0.989943,high,multi_jurisdiction_assigned,True,False,0,9.11969
CFS-PARCEL-0149735040,149735040,46805914480000,trusted,THE COURTYARDS ON POPLAR TENT,COURTYARDS AT POPLAR TENT,Concord,,RV-CD,residential,2,2,0.994799,Cabarrus County / Unincorporated,LDR,0.004836,0.989963,high,multi_jurisdiction_assigned,True,False,1,5.84694
CFS-PARCEL-0149776218,149776218,55492766410000,trusted,BEDFORD FARMS,BEDFORD FARMS,Concord,,PUD,unknown,3,2,0.994992,Concord,RM-1,0.005008,0.989985,high,multi_jurisdiction_assigned,True,False,2,21.373807
CFS-PARCEL-0149730353,149730353,46715783090000,trusted,SKYBROOK VILLAGE,THE VILLAGES AT SKYBROOK NORTH PH 2 MAP 1,Concord,,RM-2,residential,3,2,0.99501,Concord,RV-CD,0.004989,0.990021,high,multi_jurisdiction_assigned,True,False,2,0.214089
CFS-PARCEL-0149811568,149811568,56223400500000,trusted,OLD EARNHARDT,THOMAS O BARRIER EST,Kannapolis,,O-I,office,2,2,0.999878,Concord,RC,0.009836,0.990043,high,multi_jurisdiction_assigned,False,False,1,1.298901
CFS-PARCEL-0149736535,149736535,46810693600000,trusted,MOSS CREEK AREA 4,MOSS CREEK,Concord,,RM-2-CU,residential,2,2,0.994979,Cabarrus County / Unincorporated,OI,0.004935,0.990044,high,multi_jurisdiction_assigned,True,False,1,0.125375
CFS-PARCEL-0149744437,149744437,55059841670000,trusted,ILEY MEADOWS,DRB GROUP,Harrisburg,,CZ-RM,unknown,3,2,0.994511,Harrisburg,CZ-RL,0.004461,0.99005,high,multi_jurisdiction_assigned,True,False,2,28.707309
CFS-PARCEL-0149758448,149758448,55187253480000,trusted,STOUGH ROAD,WHITE OAK FARM & CABARRUS LLC,Harrisburg,,EC,industrial,5,2,0.992124,Cabarrus County / Unincorporated,LI,0.002054,0.99007,high,multi_jurisdiction_assigned,True,False,4,12.780735
CFS-PARCEL-0149788149,149788149,56034794310000,trusted,WEST OAKS,WEST OAKS,Kannapolis,,R4,residential,2,2,0.992282,Cabarrus County / Unincorporated,LDR,0.002197,0.990085,high,multi_jurisdiction_assigned,True,False,1,2.382294
CFS-PARCEL-0149736285,149736285,46809947410000,trusted,POPLAR WOODS,POPLAR WOODS,Cabarrus County / Unincorporated,,HDR-SU,residential,2,2,1.0,Concord,I-1-CU,0.009892,0.990108,high,multi_jurisdiction_assigned,False,False,1,0.208945
CFS-PARCEL-0149721182,149721182,142A036,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,R8,residential,2,2,0.999997,Cabarrus County / Unincorporated,LI,0.009833,0.990165,high,multi_jurisdiction_assigned,True,False,1,0.510781
CFS-PARCEL-0149752353,149752353,55157667990000,review,ROBINSON CHURCH RD SOUTH,,Cabarrus County / Unincorporated,,CR,residential,2,2,1.0,Harrisburg,RL,0.009819,0.990181,high,multi_jurisdiction_assigned,False,False,1,50.692993
CFS-PARCEL-0149822495,149822495,56407996450000,review,SLEEPY HOLLOW,,Cabarrus County / Unincorporated,,AO,agricultural,2,2,0.990192,Concord,RM-2,5e-06,0.990187,high,multi_jurisdiction_assigned,False,False,1,0.883242
CFS-PARCEL-0149767168,149767168,55359096170000,review,FLOWES STORE EAST,,Midland,,SFR,unknown,2,2,0.994797,Cabarrus County / Unincorporated,CR,0.00459,0.990207,high,multi_jurisdiction_assigned,True,False,1,2.008156
