official_parcel_id,objectid_1,pin14,subdiv_name,nbh_name,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,primary_governance_warning,total_permit_count,first_permit_date,latest_permit_date,active_year_count,recent_permit_count_1yr,recent_permit_count_3yr,total_permit_amount,avg_permit_amount,dominant_permit_type,dominant_work_type,latest_permit_status,ambiguous_permit_count,has_unmatched_or_ambiguous_permit_flag,co_date_future_outlier_count,development_activity_score,development_activity_class
CFS-PARCEL-0149767429,149767429,55349823130000,,BETHEL ELEMENTARY SCHOOL,review,high,commercial_large,Midland,,SFR,unknown,medium,review_multi_jurisdiction,12,2014-05-08,2023-03-02,6,0,1,137478.0,15275.333333333332,other,commercial_upfit,issued,0,False,0,79.41,very_high_activity
CFS-PARCEL-0149735806,149735806,46802732160000,ALLEN MILLS,ALLEN MILLS,trusted,high,residential_standard,Concord,,PRD,unknown,high,jurisdiction_code_semantics_review,14,2018-01-10,2020-09-25,2,0,0,2710319.0,193594.2142857143,new_construction,,,0,False,0,79.3,very_high_activity
CFS-PARCEL-0149811598,149811598,56223347560000,4.542 AC - ROX PROPERTIES LLC,OLD EARNHARDT,trusted,high,residential_standard,Concord,,C-2,unknown,medium,review_multi_jurisdiction,10,2011-10-25,2025-10-27,6,1,1,90905.0,15150.833333333332,other,commercial_upfit,closed,0,False,0,78.88,very_high_activity
CFS-PARCEL-0149727430,149727430,45983967290000,HSREI LLC AT AMC,CHARLOTTE MOTOR SPEEDWAY,trusted,luxury,estate,Concord,,I-2-CD,unknown,high,review_multi_jurisdiction,4,2024-05-07,2025-12-02,2,3,4,1842219.48,460554.87,commercial_new_construction,commercial_new,issued,0,False,0,78.8,very_high_activity
CFS-PARCEL-0149738925,149738925,46815970340000,RECOMB 18.719 AC - ODELL SCHOOL RD,WEST CABARRUS,trusted,luxury,residential_standard,Concord,,PUD,unknown,high,jurisdiction_code_semantics_review,5,2024-02-09,2025-02-10,2,2,5,1548640.0,309728.0,upfit,commercial_upfit,closed,0,False,0,78.57,very_high_activity
CFS-PARCEL-0149726592,149726592,45892738320000,CHRISTENBURY VILLAGE,CONCORD MILLS,trusted,luxury,residential_standard,Concord,,PUD,unknown,high,review_multi_jurisdiction,5,2024-07-15,2025-03-26,2,2,5,1452130.0,290426.0,upfit,commercial_upfit,closed,0,False,0,78.49,very_high_activity
CFS-PARCEL-0149791320,149791320,56108217340000,TROUTMAN'S CORNER,CONCORD PARKWAY SOUTH,trusted,luxury,residential_standard,Concord,,C-2,unknown,high,jurisdiction_code_semantics_review,11,2016-04-07,2025-05-22,2,1,1,1252047.0,208674.5,other,commercial_sign,closed,0,False,0,78.29,very_high_activity
CFS-PARCEL-0149784113,149784113,56012090900000,QUIKTRIP STORE 1012 (REV),GEORGE LILES PARKWAY,trusted,ultra_high,estate,Concord,,TND,unknown,low,review_low_confidence,6,2013-08-13,2025-12-16,5,2,3,245266.0,61316.5,upfit,commercial_upfit,closed,0,False,0,78.17,very_high_activity
CFS-PARCEL-0149786033,149786033,56025407630000,,DOVE FIELD,review,ultra_high,commercial_large,Kannapolis,,AG,agricultural,high,safe_for_dashboard,9,2009-08-01,2025-06-17,8,1,1,46993.0,11748.25,other,commercial_daycare,closed,0,False,0,78.02,very_high_activity
CFS-PARCEL-0149741759,149741759,46919079970000,"CK LAKE POINTE CORP CENTER, LLC",GEORGE LILES PARKWAY,review,ultra_high,commercial_large,Kannapolis,,CD,unknown,high,review_sliver_overlap,11,2002-05-14,2022-07-18,7,0,0,5584300.0,620477.7777777778,other,,,11,True,0,78.0,very_high_activity
CFS-PARCEL-0149741760,149741760,46919079970000,"CK LAKE POINTE CORP CENTER, LLC",GEORGE LILES PARKWAY,review,ultra_high,commercial_large,Kannapolis,,CD,unknown,high,review_sliver_overlap,11,2002-05-14,2022-07-18,7,0,0,5584300.0,620477.7777777778,other,,,11,True,0,78.0,very_high_activity
CFS-PARCEL-0149741761,149741761,46919079970000,"CK LAKE POINTE CORP CENTER, LLC",GEORGE LILES PARKWAY,review,ultra_high,commercial_large,Kannapolis,,CD,unknown,high,review_sliver_overlap,11,2002-05-14,2022-07-18,7,0,0,5584300.0,620477.7777777778,other,,,11,True,0,78.0,very_high_activity
CFS-PARCEL-0149784286,149784286,56014252270000,INTERNATIONAL BUS PK,INTERNATIONAL BUSINESS PARK,trusted,ultra_high,commercial_large,Concord,,I-2,unknown,high,review_sliver_overlap,9,2012-03-12,2025-01-06,5,1,1,28171492.0,3521436.5,commercial_new_construction,commercial_upfit,inspections,0,False,0,78.0,very_high_activity
CFS-PARCEL-0149735819,149735819,46807566840000,RIVEROAKS CORPORATE CENTER,AIRPORT,trusted,ultra_high,commercial_large,Concord,,I-1-CD,unknown,high,review_multi_jurisdiction,9,2016-02-03,2023-09-18,3,0,4,9927886.0,1240985.75,upfit,commercial_upfit,issued,0,False,0,78.0,very_high_activity
CFS-PARCEL-0149783143,149783143,56010964230000,KANNAPOLIS GATEWAY BUSINESS PARK,BISCAYNE / TRINITY CHURCH,trusted,ultra_high,commercial_large,Kannapolis,,CD,unknown,high,review_sliver_overlap,9,2006-06-01,2025-01-29,5,1,1,5617894.8,1123578.96,commercial_new_construction,commercial_sign,closed,0,False,0,78.0,very_high_activity
CFS-PARCEL-0149770666,149770666,55391235620000,,HWY 601 / 49,review,luxury,commercial_large,Concord,,C-1,unknown,high,review_multi_jurisdiction,4,2023-11-08,2025-08-12,2,3,4,957321.0,239330.25,commercial_new_construction,commercial_new,inspections,0,False,0,77.94,very_high_activity
CFS-PARCEL-0149766170,149766170,55297716940000,,HWY 601 / 49,review,high,residential_standard,Concord,,I-1,unknown,high,jurisdiction_code_semantics_review,10,2007-05-01,2024-03-05,7,0,2,179456.0,25636.571428571428,other,commercial_upfit,issued,0,False,0,77.76,very_high_activity
CFS-PARCEL-0149776844,149776844,55555161510000,ASC MIDLAND,HWY 24 / 27,trusted,ultra_high,commercial_large,Midland,,C24/27,unknown,high,review_sliver_overlap,12,2016-09-22,2022-10-12,5,0,0,3728900.0,414322.22222222225,demolition,commercial_new,,0,False,0,77.71,very_high_activity
CFS-PARCEL-0149799356,149799356,56135763230000,CITY OF KANNAPOLIS,NCRC/KANNAPOLIS DOWNTOWN,trusted,medium,residential_standard,Kannapolis,,CC,commercial,high,safe_for_dashboard,10,2009-07-01,2024-09-03,6,0,4,1700.0,850.0,commercial_new_construction,commercial_abc_store,closed,0,False,0,77.69,very_high_activity
CFS-PARCEL-0149794157,149794157,56122900100000,,AZALEA AVE AREA,review,ultra_high,commercial_large,Kannapolis,,R4,residential,high,safe_for_dashboard,9,2013-03-15,2024-08-22,8,0,2,779250.0,111321.42857142857,other,commercial_upfit,closed,0,False,0,77.68,very_high_activity
CFS-PARCEL-0149800403,149800403,56138630910000,,NORTH 29A,review,luxury,estate,Kannapolis,,GC-CZ,office,high,safe_for_dashboard,6,2017-04-04,2025-06-16,3,2,4,131850.0,43950.0,upfit,commercial_sign,,0,False,0,77.36,very_high_activity
CFS-PARCEL-0149787181,149787181,56033188930000,,NORTHWEST CABARRUS SCHOOL,review,high,commercial_large,Kannapolis,,AG,agricultural,high,safe_for_dashboard,7,2016-03-22,2025-08-12,5,2,2,119500.0,19916.666666666668,other,commercial_upfit,inspections,0,False,0,77.23,very_high_activity
CFS-PARCEL-0149775107,149775107,55478658620000,PATRICK & LEIGHA BAILEY PROPERTIES,REED GOLD MINE,trusted,medium,commercial_large,Cabarrus County / Unincorporated,,AO,agricultural,high,safe_for_dashboard,5,2016-01-26,2025-06-27,3,2,4,1788590.0,357718.0,extra_feature,residential_accessory_structure,inspections,0,False,0,76.76,very_high_activity
CFS-PARCEL-0149758954,149758954,55194568360000,,CONCORD PARKWAY SOUTH,review,ultra_high,commercial_large,Concord,,O-I,unknown,high,review_sliver_overlap,8,2014-05-22,2024-12-19,7,0,3,1172427.02,234485.404,other,commercial_repair,closed,0,False,0,76.21,very_high_activity
CFS-PARCEL-0149811694,149811694,56224251290000,COPPERFIELD PLACE,NE MEDICAL CENTER,trusted,ultra_high,commercial_large,Concord,,C-2,unknown,high,review_sliver_overlap,11,2008-03-01,2024-12-03,4,0,1,36177458.0,36177458.0,commercial_new_construction,commercial_upfit,closed,0,False,0,76.0,very_high_activity
CFS-PARCEL-0149810545,149810545,56220289880000,CLOVERLEAF PLAZA,SOUTH CANNON BLVD,trusted,ultra_high,estate,Kannapolis,,GC,commercial,high,safe_for_dashboard,9,2012-02-22,2025-02-10,6,1,1,215340.0,43068.0,commercial_new_construction,commercial_upfit,inspections,0,False,0,76.0,very_high_activity
CFS-PARCEL-0149808819,149808819,56136925100000,RECOMB CITY OF KANNAPOLIS,NCRC/KANNAPOLIS DOWNTOWN,trusted,ultra_high,residential_standard,Kannapolis,,CC,commercial,high,safe_for_dashboard,6,2021-09-17,2025-08-25,4,1,4,56592170.0,9432028.333333334,other,commercial_new,issued,0,False,0,76.0,very_high_activity
CFS-PARCEL-0149778356,149778356,55592933870000,,EAST 73 / 49,review,medium,estate,Cabarrus County / Unincorporated,,GC,commercial,high,review_multi_jurisdiction,7,2019-08-20,2025-07-15,6,1,3,201000.0,28714.285714285714,upfit,commercial_upfit,closed,0,False,0,75.91,very_high_activity
CFS-PARCEL-0149782696,149782696,56005548850000,,CABARRUS COUNTRY CLUB,review,ultra_high,commercial_large,Concord,,RC,unknown,high,review_sliver_overlap,13,2016-10-06,2020-03-26,4,0,0,199300.0,15330.76923076923,commercial_new_construction,,,0,False,0,75.9,very_high_activity
CFS-PARCEL-0149830300,149830300,56926337080000,HARRIET CARPENTER & RANDY BARRINGER,WATTS CROSSROADS,trusted,medium,commercial_large,Cabarrus County / Unincorporated,,AO,agricultural,high,safe_for_dashboard,8,2017-03-23,2025-10-23,6,1,2,183575.0,22946.875,other,commercial_upfit,closed,0,False,0,75.79,very_high_activity
CFS-PARCEL-0149789642,149789642,56003988470000,,GEORGE LILES PARKWAY,review,luxury,estate,Concord,,C-2,unknown,high,review_sliver_overlap,13,2018-09-19,2021-03-11,3,0,0,798867.0,798867.0,commercial_new_construction,,,0,False,0,75.71,very_high_activity
CFS-PARCEL-0149741992,149741992,46926903530000,HIGH GROVE,LAKE HOWELL WATERSHED,trusted,luxury,estate,Cabarrus County / Unincorporated,,AO,agricultural,high,safe_for_dashboard,5,2006-06-01,2025-09-15,3,2,4,688123.0,172030.75,extra_feature,residential_accessory_structure,inspections,0,False,0,75.51,very_high_activity
CFS-PARCEL-0149765882,149765882,55295976920000,HAMILTON REAL ESTATE GROUP LLC,HARTSELL SCHOOL,review,medium,residential_standard,Concord,,RV,residential,high,safe_for_dashboard,7,2024-04-26,2024-11-22,1,0,7,450000.0,112500.0,demolition,residential_demolition,closed,7,True,0,74.96,very_high_activity
CFS-PARCEL-0149765883,149765883,55295976920000,HAMILTON REAL ESTATE GROUP LLC,HARTSELL SCHOOL,review,medium,residential_standard,Concord,,RV,residential,high,safe_for_dashboard,7,2024-04-26,2024-11-22,1,0,7,450000.0,112500.0,demolition,residential_demolition,closed,7,True,0,74.96,very_high_activity
CFS-PARCEL-0149806674,149806674,56209716130000,,DOWNTOWN CONCORD,review,ultra_high,residential_standard,Concord,,CC,commercial,high,safe_for_dashboard,5,2015-02-05,2025-07-23,4,2,3,1990425.0,398085.0,upfit,commercial_upfit,inspections,0,False,0,74.9,very_high_activity
CFS-PARCEL-0149806728,149806728,56210992020000,"25, 31 & 35 OPTICAL CT NW",NE MEDICAL CENTER,trusted,high,residential_standard,Concord,,C-2,unknown,high,jurisdiction_code_semantics_review,5,2017-01-24,2025-06-04,3,2,4,402780.0,100695.0,other,commercial_sign,closed,0,False,0,74.82,very_high_activity
CFS-PARCEL-0149823347,149823347,56420608910000,NO SUBDIVISION,NEW GILEAD,review,high,commercial_large,Cabarrus County / Unincorporated,,AO,agricultural,high,safe_for_dashboard,8,2010-11-10,2025-09-16,6,1,2,83660.0,20915.0,other,commercial_repair,closed,0,False,0,74.77,very_high_activity
CFS-PARCEL-0149770835,149770835,55392376370000,GLEN LAUREL,GLEN LAUREL,review,luxury,commercial_large,Cabarrus County / Unincorporated,,MDR,residential,high,safe_for_dashboard,10,2010-01-07,2025-06-13,4,1,1,82000.0,41000.0,other,residential_deck,closed,10,True,0,74.74,very_high_activity
CFS-PARCEL-0149770836,149770836,55392376370000,GLEN LAUREL,GLEN LAUREL,review,luxury,commercial_large,Cabarrus County / Unincorporated,,MDR,residential,high,safe_for_dashboard,10,2010-01-07,2025-06-13,4,1,1,82000.0,41000.0,other,residential_deck,closed,10,True,0,74.74,very_high_activity
CFS-PARCEL-0149770837,149770837,55392376370000,GLEN LAUREL,GLEN LAUREL,review,luxury,commercial_large,Cabarrus County / Unincorporated,,MDR,residential,high,safe_for_dashboard,10,2010-01-07,2025-06-13,4,1,1,82000.0,41000.0,other,residential_deck,closed,10,True,0,74.74,very_high_activity
