zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,parcel_count,multiple_zoning_count,multiple_zoning_jurisdiction_count,low_confidence_count,no_match_count,municipal_dominates_county_count,nearly_equal_split_count,tiny_sliver_count,avg_dominant_overlap_pct,min_dominant_overlap_pct,max_dominant_overlap_pct
Harrisburg,GC,commercial,GC,139,53,1,3,0,1,0,36,0.98292,0.555798,1.0
Locust,OPS-C,unknown,OPS-C,119,12,11,0,0,10,0,9,0.997528,0.866917,1.0
Midland,C24/27,unknown,C24/27,115,66,29,1,0,29,0,53,0.986325,0.625753,1.0
Kannapolis,LI,industrial,LI,99,49,11,9,0,1,2,34,0.950992,0.362168,1.0
Concord,PID,unknown,PID,98,26,13,0,0,8,0,26,0.999678,0.991601,1.0
Cabarrus County / Unincorporated,LC,commercial,LC,93,48,35,6,0,0,0,33,0.969603,0.601535,1.0
Cabarrus County / Unincorporated,LI,industrial,LI,92,78,63,2,0,0,8,51,0.971975,0.522038,1.0
Kannapolis,CD,unknown,CD,84,32,9,4,0,3,0,26,0.965522,0.555314,1.0
Midland,C601,unknown,C601,63,41,2,3,0,2,1,31,0.975306,0.452178,1.0
Mt. Pleasant,AG,agricultural,AG,62,8,8,2,0,8,0,5,0.971666,0.003709,1.0
Midland,OM,unknown,OM,59,13,5,2,0,5,0,7,0.982861,0.560497,1.0
Mt. Pleasant,CZ-R-M,unknown,CZ-R-M,54,19,8,0,0,8,0,19,0.999006,0.990997,1.0
Cabarrus County / Unincorporated,GI,industrial,GI,52,33,20,2,0,0,1,28,0.978612,0.630872,1.0
Harrisburg,CZ-RM,unknown,CZ-RM,50,17,8,0,0,8,0,10,0.996084,0.951882,1.0
Kannapolis,HI,unknown,HI,50,14,0,3,0,0,0,11,0.968417,0.516755,1.0
Concord,B-1,unknown,B-1,49,44,3,1,0,3,0,40,0.985303,0.649677,1.0
Harrisburg,OI,office,OI,47,42,14,2,0,14,1,31,0.969502,0.501965,1.0
Midland,IND,industrial,IND,39,29,28,1,0,28,0,25,0.983909,0.661741,1.0
Concord,C-2-CD,unknown,C-2-CD,37,33,5,2,0,5,0,31,0.983324,0.68635,1.0
Mt. Pleasant,OI,office,OI,37,30,4,0,0,4,1,25,0.990035,0.884233,1.0
Mt. Pleasant,CC,commercial,CC,36,15,0,0,0,0,0,13,0.995534,0.942733,1.0
Concord,I-1-CU,unknown,I-1-CU,35,8,4,1,0,4,0,8,0.991275,0.695859,1.0
Kannapolis,R2,residential,R2,35,13,0,1,0,0,0,8,0.976761,0.625242,1.0
(no match),(no match),(no match),(no match),33,0,0,0,33,0,0,0,,,
Kannapolis,C-1,unknown,C-1,33,15,5,0,0,4,0,12,0.983613,0.85506,1.0
Kannapolis,GC-CZ,commercial,GC-CZ,29,27,6,2,0,4,1,23,0.943101,0.084046,1.0
Cabarrus County / Unincorporated,GC,commercial,GC,28,27,18,2,0,0,0,27,0.968633,0.504063,1.0
Concord,MX-CC2,mixed_use,MX-CC2,27,7,3,0,0,3,0,7,0.999529,0.994635,1.0
Harrisburg,CZ-GC,commercial,CZ-GC,27,21,3,0,0,3,0,17,0.995692,0.966198,1.0
Midland,OMP,unknown,OMP,27,3,0,1,0,0,0,2,0.98918,0.708466,1.0
Harrisburg,NC,commercial,NC,25,16,0,0,0,0,0,11,0.986586,0.862909,1.0
Mt. Pleasant,C-1,unknown,C-1,24,23,0,0,0,0,0,23,0.984819,0.812246,1.0
Concord,I-2-CD,unknown,I-2-CD,21,11,6,1,0,6,0,10,0.984789,0.682295,1.0
Concord,RE,residential,RE,20,16,5,0,0,4,0,16,0.987582,0.880129,1.0
Kannapolis,PD,agricultural,PD,20,9,0,1,0,0,0,3,0.934875,2e-06,1.0
Harrisburg,CZ-RE,residential,CZ-RE,18,7,0,1,0,0,0,6,0.98185,0.676418,1.0
Midland,PRD-CZ,unknown,PRD-CZ,18,5,5,0,0,5,0,4,0.99686,0.949692,1.0
Midland,SFR-CZ,unknown,SFR-CZ,18,15,0,0,0,0,0,15,0.998235,0.991753,1.0
Midland,CIV,unknown,CIV,17,8,1,0,0,1,0,3,0.974167,0.781712,1.0
Mt. Pleasant,I-1,unknown,I-1,17,11,2,0,0,2,1,9,0.992914,0.948778,1.0
Kannapolis,R8-CZ,office,R8-CZ,16,6,0,0,0,0,0,6,0.997139,0.976379,1.0
Concord,I-1-CD,unknown,I-1-CD,15,12,3,1,0,3,0,12,0.9772,0.749383,1.0
Concord,I-2-CU,unknown,I-2-CU,14,12,4,0,0,4,0,12,0.99991,0.999496,1.0
Concord,O-I-CD,unknown,O-I-CD,14,14,1,0,0,1,0,13,0.998995,0.98886,0.999998
