official_parcel_id,objectid_1,pin14,planning_jurisdiction_name,planning_boundary_type,boundary_name,jurisdiction_overlap_count,dominant_jurisdiction_overlap_pct,total_jurisdiction_overlap_pct,jurisdiction_assignment_confidence,has_multiple_jurisdictions,jurisdiction_join_status,parcel_quality_status,nbh_name,subdiv_name,parcel_area_acres_calc
CFS-PARCEL-0149724474,149724474,161 036,Kannapolis,etj,City of Kannapolis,1,1.2e-05,1.2e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.723294
CFS-PARCEL-0149820354,149820354,56321298510000,Concord,etj,City of Concord,1,1.2e-05,1.2e-05,low,False,single_boundary_low_confidence,review,CENTERGROVE,,18.182579
CFS-PARCEL-0149824677,149824677,56609504400000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,1.2e-05,1.2e-05,low,False,single_boundary_low_confidence,review,MT PLEASANT OUTSIDE,,9.503897
CFS-PARCEL-0149818931,149818931,56308482180000,Concord,etj,City of Concord,1,1.3e-05,1.3e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,10.233346
CFS-PARCEL-0149721190,149721190,143 060000001,Kannapolis,etj,City of Kannapolis,1,1.4e-05,1.4e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,14.30328
CFS-PARCEL-0149725903,149725903,161 037,Kannapolis,etj,City of Kannapolis,1,1.4e-05,1.4e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.675106
CFS-PARCEL-0149821924,149821924,56401130260000,Concord,etj,City of Concord,1,1.4e-05,1.4e-05,low,False,single_boundary_low_confidence,review,LAKE LYNN LODGE,NO SUBDIVISION,1.426689
CFS-PARCEL-0149822009,149822009,56401153530000,Concord,etj,City of Concord,1,1.4e-05,1.4e-05,low,False,single_boundary_low_confidence,review,LAKE LYNN LODGE,,2.806802
CFS-PARCEL-0149720473,149720473,143C045,Kannapolis,etj,City of Kannapolis,1,1.5e-05,1.5e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.308117
CFS-PARCEL-0149819062,149819062,56309874240000,Concord,etj,City of Concord,1,1.5e-05,1.5e-05,low,False,single_boundary_low_confidence,review,LAKE LYNN LODGE,,0.414071
CFS-PARCEL-0149725320,149725320,161 039,Kannapolis,etj,City of Kannapolis,1,1.6e-05,1.6e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.34446
CFS-PARCEL-0149747546,149747546,55070574150000,Harrisburg,etj,Town of Harrisburg,1,1.6e-05,1.6e-05,low,False,single_boundary_low_confidence,review,HARRISBURG,,17.306679
CFS-PARCEL-0149747547,149747547,55070574150000,Harrisburg,etj,Town of Harrisburg,1,1.6e-05,1.6e-05,low,False,single_boundary_low_confidence,review,HARRISBURG,,17.306679
CFS-PARCEL-0149820050,149820050,56312483690000,Concord,etj,City of Concord,1,1.6e-05,1.6e-05,low,False,single_boundary_low_confidence,trusted,OVERBROOK,HOLLINGSWORTH,7.355463
CFS-PARCEL-0149827310,149827310,56704876050000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,1.8e-05,1.8e-05,low,False,single_boundary_low_confidence,trusted,HILLTOP ACRES,HILLTOP ACRES,0.771787
CFS-PARCEL-0149822140,149822140,56400411870000,Concord,etj,City of Concord,1,1.9e-05,1.9e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.461539
CFS-PARCEL-0149722412,149722412,142A040,Kannapolis,etj,City of Kannapolis,1,2.1e-05,2.1e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.885161
CFS-PARCEL-0149810434,149810434,56219948220000,Concord,etj,City of Concord,1,2.1e-05,2.1e-05,low,False,single_boundary_low_confidence,trusted,ALLISON WOODS,ALLISON WOODS,0.948068
CFS-PARCEL-0149727046,149727046,45979537230000,Harrisburg,etj,Town of Harrisburg,1,2.2e-05,2.2e-05,low,False,single_boundary_low_confidence,trusted,BENTLEY HILLS,ELDORADO HILLS,0.766218
CFS-PARCEL-0149723100,149723100,151 502,Kannapolis,etj,City of Kannapolis,1,2.5e-05,2.5e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.379438
CFS-PARCEL-0149819015,149819015,56309407510000,Concord,etj,City of Concord,1,2.7e-05,2.7e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.628548
CFS-PARCEL-0149815395,149815395,56239679650000,Kannapolis,etj,City of Kannapolis,1,2.8e-05,2.8e-05,low,False,single_boundary_low_confidence,review,I-85 AT LANE STREET,,108.824037
CFS-PARCEL-0149721302,149721302,143B024,Kannapolis,etj,City of Kannapolis,1,2.9e-05,2.9e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.40342
CFS-PARCEL-0149812072,149812072,56226360790000,Concord,etj,City of Concord,1,2.9e-05,2.9e-05,low,False,single_boundary_low_confidence,trusted,GOVERNORS POINTE,GOVERNORS POINT,6.870487
CFS-PARCEL-0149819123,149819123,56310542720000,Concord,etj,City of Concord,1,2.9e-05,2.9e-05,low,False,single_boundary_low_confidence,review,OVERBROOK,,0.918988
CFS-PARCEL-0149772501,149772501,55399440600000,Concord,etj,City of Concord,1,3e-05,3e-05,low,False,single_boundary_low_confidence,review,HWY 601 / 49,,53.695065
CFS-PARCEL-0149721182,149721182,142A036,Kannapolis,etj,City of Kannapolis,1,3.1e-05,3.1e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.510781
CFS-PARCEL-0149771022,149771022,55391403900000,Concord,etj,City of Concord,1,3.1e-05,3.1e-05,low,False,single_boundary_low_confidence,review,JACKSON PARK,,59.167398
CFS-PARCEL-0149771023,149771023,55391403900000,Concord,etj,City of Concord,1,3.1e-05,3.1e-05,low,False,single_boundary_low_confidence,review,JACKSON PARK,,59.167398
CFS-PARCEL-0149771031,149771031,55391403900000,Concord,etj,City of Concord,1,3.1e-05,3.1e-05,low,False,single_boundary_low_confidence,review,JACKSON PARK,,59.167398
CFS-PARCEL-0149826123,149826123,56306477360000,Concord,etj,City of Concord,1,3.1e-05,3.1e-05,low,False,single_boundary_low_confidence,trusted,CRESTSIDE,MOUNTAINBROOK,0.627397
CFS-PARCEL-0149819822,149819822,56309491970000,Concord,etj,City of Concord,1,3.3e-05,3.3e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.42568
CFS-PARCEL-0149826548,149826548,56700652890000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,3.7e-05,3.7e-05,low,False,single_boundary_low_confidence,review,MT PLEASANT NORTH,,0.473785
CFS-PARCEL-0149828850,149828850,56701857550000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,3.7e-05,3.7e-05,low,False,single_boundary_low_confidence,trusted,NORTH WOOD SUBDIVISION,NORTH WOOD,0.546913
CFS-PARCEL-0149721306,149721306,143C038,Kannapolis,etj,City of Kannapolis,1,3.8e-05,3.8e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.262015
CFS-PARCEL-0149721506,149721506,143C041,Kannapolis,etj,City of Kannapolis,1,3.8e-05,3.8e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.374088
CFS-PARCEL-0149749657,149749657,55083773350000,Harrisburg,etj,Town of Harrisburg,1,3.8e-05,3.8e-05,low,False,single_boundary_low_confidence,review,CONCORD PARKWAY SOUTH,,573.693883
CFS-PARCEL-0149820291,149820291,56321283570000,Concord,etj,City of Concord,1,4e-05,4e-05,low,False,single_boundary_low_confidence,trusted,CENTERGROVE,DIVISION OF 14.208 AC,5.610052
CFS-PARCEL-0149747251,149747251,55071992620000,Harrisburg,etj,Town of Harrisburg,1,4.1e-05,4.1e-05,low,False,single_boundary_low_confidence,trusted,TIMBER FOREST,TIMBER FOREST,0.752834
CFS-PARCEL-0149750785,149750785,55085017460000,Harrisburg,etj,Town of Harrisburg,1,4.1e-05,4.1e-05,low,False,single_boundary_low_confidence,trusted,ROCKY RIVER CROSSING,ROCKY RIVER CROSSING,0.326947
CFS-PARCEL-0149821755,149821755,56400439720000,Concord,etj,City of Concord,1,4.1e-05,4.1e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.53375
CFS-PARCEL-0149720426,149720426,142 046,Kannapolis,etj,City of Kannapolis,1,4.4e-05,4.4e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,3.713966
CFS-PARCEL-0149821908,149821908,56400503070000,Concord,etj,City of Concord,1,4.4e-05,4.4e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.499569
CFS-PARCEL-0149744778,149744778,55060887390000,Harrisburg,etj,Town of Harrisburg,1,4.5e-05,4.5e-05,low,False,single_boundary_low_confidence,trusted,HUNTWICK,HUNTWICK,1.030294
CFS-PARCEL-0149721350,149721350,143C040,Kannapolis,etj,City of Kannapolis,1,4.6e-05,4.6e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.184772
CFS-PARCEL-0149827566,149827566,56705109680000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,4.9e-05,4.9e-05,low,False,single_boundary_low_confidence,review,MT PLEASANT COMMERCIAL,,1.139238
CFS-PARCEL-0149720755,149720755,143C039,Kannapolis,etj,City of Kannapolis,1,5e-05,5e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.266817
CFS-PARCEL-0149755217,149755217,55173229480000,Harrisburg,etj,Town of Harrisburg,1,5.2e-05,5.2e-05,low,False,single_boundary_low_confidence,trusted,HARMONY,HARMONY PH1A,4.102643
CFS-PARCEL-0149820629,149820629,56227454500000,Concord,etj,City of Concord,1,5.5e-05,5.5e-05,low,False,single_boundary_low_confidence,trusted,BRIDLEWOOD PLACE,OVERBROOK,0.291379
CFS-PARCEL-0149819772,149819772,56309779190000,Concord,etj,City of Concord,1,5.6e-05,5.6e-05,low,False,single_boundary_low_confidence,review,LAKE LYNN LODGE,,5.086897
CFS-PARCEL-0149828688,149828688,56800463280000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,5.6e-05,5.6e-05,low,False,single_boundary_low_confidence,review,PRUITT FARMS,,12.343217
CFS-PARCEL-0149724276,149724276,158 056,Kannapolis,etj,City of Kannapolis,1,5.7e-05,5.7e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.326331
CFS-PARCEL-0149819865,149819865,56309481970000,Concord,etj,City of Concord,1,5.8e-05,5.8e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.384042
CFS-PARCEL-0149721588,149721588,151 599,Kannapolis,etj,City of Kannapolis,1,5.9e-05,5.9e-05,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.383345
CFS-PARCEL-0149812430,149812430,56227521610000,Concord,etj,City of Concord,1,6.4e-05,6.4e-05,low,False,single_boundary_low_confidence,review,NORTHLIGHT,,2.338439
CFS-PARCEL-0149780858,149780858,55793566300000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,6.8e-05,6.8e-05,low,False,single_boundary_low_confidence,trusted,MT PLEASANT OUTSIDE,CATAWBA LANDS CONSERVANCY,392.8185
CFS-PARCEL-0149819608,149819608,56308676890000,Concord,etj,City of Concord,1,6.8e-05,6.8e-05,low,False,single_boundary_low_confidence,trusted,MOUNTAINBROOK II,MOUNTAINBROOK II,1.410594
CFS-PARCEL-0149820744,149820744,56229429820000,Concord,etj,City of Concord,1,7.2e-05,7.2e-05,low,False,single_boundary_low_confidence,trusted,BRIDLEWOOD PLACE,OVERBROOK,0.147137
CFS-PARCEL-0149747658,149747658,55071479620000,Harrisburg,etj,Town of Harrisburg,1,7.6e-05,7.6e-05,low,False,single_boundary_low_confidence,trusted,HARRISBURG,HIGHWAY 49 INVESTMENT GROUP,6.018987
CFS-PARCEL-0149819670,149819670,56306328420000,Concord,etj,City of Concord,1,7.6e-05,7.6e-05,low,False,single_boundary_low_confidence,review,EASTCLIFF,,4.489358
CFS-PARCEL-0149819603,149819603,56308644360000,Concord,etj,City of Concord,1,7.8e-05,7.8e-05,low,False,single_boundary_low_confidence,trusted,MOUNTAINBROOK II,MOUNTAINBROOK PHASE 6 MAP 1,3.441966
CFS-PARCEL-0149819253,149819253,56309451010000,Concord,etj,City of Concord,1,8.1e-05,8.1e-05,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.466221
CFS-PARCEL-0149819535,149819535,56308321750000,Concord,etj,City of Concord,1,8.7e-05,8.7e-05,low,False,single_boundary_low_confidence,trusted,MYERS PARK,TOWNCREEK,2.937989
CFS-PARCEL-0149811964,149811964,56229731280000,Concord,etj,City of Concord,1,8.9e-05,8.9e-05,low,False,single_boundary_low_confidence,trusted,NORTHLIGHT,40.066A COPPERFIELD BLVD,17.157307
