zoning_jurisdiction_name,dominant_zoning_general_normalized,dominant_zoning_code_raw,zoning_assignment_confidence,permit_count,parcel_count,ambiguous_permit_count,total_permit_amount
Midland,agricultural,AG,medium,27,16,3,867066.0
Harrisburg,residential,CZ-RH,medium,25,20,0,3255174.63
Kannapolis,unknown,CD,medium,25,5,0,22515770.0
Mt. Pleasant,agricultural,AG,high,25,14,0,1471001.0
Mt. Pleasant,unknown,I-1,high,25,11,1,3116092.0
Cabarrus County / Unincorporated,agricultural,AO,medium,24,17,0,1385788.0
Kannapolis,unknown,CD-R,high,24,1,0,9960337.0
Kannapolis,unknown,PD-TND,medium,24,18,3,8057750.0
Kannapolis,commercial,CC,medium,23,17,0,1587442.0
Kannapolis,residential,R2,high,23,11,0,3058225.0
Cabarrus County / Unincorporated,residential,LDR,low,22,15,4,342700.0
Locust,commercial,HC,high,22,3,0,224716.0
Midland,unknown,C601,high,22,18,1,156029.55
Concord,residential,RM-1,medium,21,11,0,460573.0
Mt. Pleasant,unknown,C-1,high,21,11,3,645567.25
Concord,unknown,I-1-CU,high,20,12,0,696910.0
Concord,residential,RM-2-CU,low,20,10,0,687948.0
Kannapolis,unknown,C-1,high,20,5,0,6386615.0
Concord,unknown,C-1-CD,high,19,8,0,1119820.0
Concord,unknown,I-1,medium,19,8,3,18421051.1
Mt. Pleasant,unknown,CZ-RH,high,19,7,0,4153215.0
Concord,residential,RM-2,low,18,11,0,1131230.0
Cabarrus County / Unincorporated,agricultural,AO,low,17,12,1,1374293.0
Cabarrus County / Unincorporated,residential,CR,low,17,11,0,2396430.0
Mt. Pleasant,unknown,C-2,high,17,4,4,4291198.0
Cabarrus County / Unincorporated,office,OI,low,16,3,0,1561262.0
Concord,unknown,O-I,medium,16,4,7,40000.0
Concord,residential,RM-2-CD,low,16,11,0,1572107.0
Harrisburg,office,CZ-OI,medium,16,1,0,3041900.0
Harrisburg,commercial,GC,medium,16,5,3,3457641.0
Harrisburg,commercial,NC,high,16,10,2,2129106.0
Kannapolis,residential,R18,medium,16,6,1,8506814.0
