official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,planning_boundary_type,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,has_multiple_zoning,has_multiple_zoning_jurisdictions,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149761333,149761333,55169723840000,trusted,ROBINSON CHURCH RD SOUTH,ROCKY RIVER ACRES,Cabarrus County / Unincorporated,,,CR,residential,CR,2,2,0.297259,0.313605,Harrisburg,CZ-AG,0.016347,0.280912,low,multi_jurisdiction_low_confidence,True,True,0,2.466695
CFS-PARCEL-0149747807,149747807,55075443310000,review,ALEXANDER HILLS,NORTH CAROLINA RAILROAD COMPANY,Harrisburg,Harrisburg,etj,EC,industrial,EC,16,1,0.304861,1.0,Harrisburg,RM,0.179615,0.125245,low,multi_zone_low_confidence,True,False,4,70.562967
CFS-PARCEL-0149799218,149799218,56135571430000,review,NORTH 29A,,Kannapolis,,,CC,commercial,CC,8,1,0.306151,0.818094,Kannapolis,R8,0.304282,0.001868,low,multi_zone_low_confidence,True,False,2,3.319715
CFS-PARCEL-0149720843,149720843,140 196,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,R4,residential,R4,1,1,0.308035,0.308035,,,,,low,single_zone_low_confidence,False,False,0,5.580666
CFS-PARCEL-0149801927,149801927,56145207830000,review,NCRC/KANNAPOLIS DOWNTOWN,,Kannapolis,,,R8,residential,R8,4,1,0.311976,0.954805,Kannapolis,CC,0.310752,0.001224,low,multi_zone_low_confidence,True,False,0,1.890002
CFS-PARCEL-0149821534,149821534,56333868760000,trusted,I-85 AT LANE STREET,DPE INVESTMENTS LLC,Kannapolis,,,AG,agricultural,AG,2,2,0.315189,0.505366,Cabarrus County / Unincorporated,LC,0.190177,0.125011,low,multi_jurisdiction_low_confidence,True,True,0,0.012126
CFS-PARCEL-0149725834,149725834,45890709990000,review,MECKLENBURG COUNTY,HIGHLAND CREEK,Concord,,,R-CO,residential,R-CO,1,1,0.318021,0.318021,,,,,low,single_zone_low_confidence,False,False,0,0.124407
CFS-PARCEL-0149828014,149828014,56716382550000,review,MT PLEASANT OUTSIDE,NO SUBDIVISION,Cabarrus County / Unincorporated,Mt. Pleasant,etj,AO,agricultural,AO,3,2,0.321826,0.576445,Mt. Pleasant,RL,0.235795,0.086031,low,multi_jurisdiction_low_confidence,True,True,0,4.543735
CFS-PARCEL-0149726153,149726153,249D017,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,R4,residential,R4,2,1,0.323711,0.323765,Kannapolis,MU-N,5.3e-05,0.323658,low,multi_zone_low_confidence,True,False,1,9.902523
CFS-PARCEL-0149724273,149724273,157 090,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,MU-N,mixed_use,MU-N,1,1,0.324832,0.324832,,,,,low,single_zone_low_confidence,False,False,0,0.10409
CFS-PARCEL-0149720599,149720599,0,review,,MEADOW CREEK ASSOC.,Kannapolis,,,R18,residential,R18,3,1,0.325177,0.408243,Kannapolis,R4,0.05488,0.270297,low,multi_zone_low_confidence,True,False,0,0.054329
CFS-PARCEL-0149724480,149724480,156 11105,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,GC,commercial,GC,1,1,0.342332,0.342332,,,,,low,single_zone_low_confidence,False,False,0,0.329223
CFS-PARCEL-0149802687,149802687,56202994070000,review,CABARRUS/MCGILL,,Concord,,,I-2,unknown,I-2,9,1,0.346163,1.0,Concord,I-2,0.34613,3.3e-05,low,multi_zone_low_confidence,True,False,5,24.936978
CFS-PARCEL-0149725183,149725183,158B034,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R4,residential,R4,2,1,0.349867,0.588417,Kannapolis,R4,0.23855,0.111318,low,multi_zone_low_confidence,True,False,0,0.255431
CFS-PARCEL-0149812983,149812983,56230553870000,review,NORTH CANNON BLVD,,Kannapolis,,,R18-CZ,residential,R18-CZ,3,1,0.359653,0.99914,Kannapolis,GC,0.320811,0.038842,low,multi_zone_low_confidence,True,False,0,1.843028
CFS-PARCEL-0149731819,149731819,46717405920000,trusted,BROOKVUE,BROOKVUE PH 2 MAP 1,Concord,,,RM-2-CD,residential,RM-2-CD,3,1,0.360821,1.0,Concord,RM-2-CU,0.346141,0.01468,low,multi_zone_low_confidence,True,False,0,0.212589
CFS-PARCEL-0149821361,149821361,56334725410000,review,I-85 AT LANE STREET,,Kannapolis,,,LI,industrial,LI,3,2,0.362168,0.841019,Kannapolis,LI,0.362168,0.0,low,multi_jurisdiction_low_confidence,True,True,0,4.111638
CFS-PARCEL-0149726009,149726009,45890755380000,review,MECKLENBURG COUNTY,DOMINION CREST AT HIGHLAND CREEK PH 1 MAP 2,Concord,,,R-CO,residential,R-CO,1,1,0.368909,0.368909,,,,,low,single_zone_low_confidence,False,False,0,0.152229
