official_parcel_id,objectid_1,pin14,dominant_zoning_code,dominant_zoning_general,dominant_zoning_label,zoning_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,zoning_assignment_confidence,has_multiple_zoning,zoning_join_status,parcel_quality_status,parcel_area_acres_calc
CFS-PARCEL-0149763555,149763555,55279447330000,LDR,RESIDENTIAL,LDR,1,0.000243,0.000243,low,False,single_zone_low_confidence,trusted,27.850228
CFS-PARCEL-0149821227,149821227,56335809780000,OI,OFFICE,OI,2,0.000247,0.000247,low,True,multi_zone_low_confidence,review,18.151813
CFS-PARCEL-0149821228,149821228,56335809780000,OI,OFFICE,OI,2,0.000247,0.000247,low,True,multi_zone_low_confidence,review,18.151813
CFS-PARCEL-0149756132,149756132,55176064510000,LDR,RESIDENTIAL,LDR,1,0.000249,0.000249,low,False,single_zone_low_confidence,trusted,0.479074
CFS-PARCEL-0149770758,149770758,55392099190000,MDR,RESIDENTIAL,MDR,1,0.000258,0.000258,low,False,single_zone_low_confidence,trusted,0.109962
CFS-PARCEL-0149756212,149756212,55176073470000,LDR,RESIDENTIAL,LDR,1,0.000264,0.000264,low,False,single_zone_low_confidence,trusted,0.463776
CFS-PARCEL-0149766939,149766939,55348994300000,CR,RESIDENTIAL,CR,1,0.000267,0.000267,low,False,single_zone_low_confidence,review,0.665337
CFS-PARCEL-0149820034,149820034,56312644110000,AO,AGRICULTURAL,AO,1,0.000267,0.000267,low,False,single_zone_low_confidence,review,36.267156
CFS-PARCEL-0149827589,149827589,56709476990000,AO,AGRICULTURAL,AO,1,0.000273,0.000273,low,False,single_zone_low_confidence,trusted,1.510398
CFS-PARCEL-0149820896,149820896,56333925670000,LC,COMMERCIAL,LC,1,0.000274,0.000274,low,False,single_zone_low_confidence,trusted,20.093134
CFS-PARCEL-0149756049,149756049,55174299620000,LDR,RESIDENTIAL,LDR,1,0.000275,0.000275,low,False,single_zone_low_confidence,trusted,0.55842
CFS-PARCEL-0149770951,149770951,55391627510000,MDR,RESIDENTIAL,MDR,1,0.000277,0.000277,low,False,single_zone_low_confidence,review,19.60407
CFS-PARCEL-0149739972,149739972,46821065980000,CR,RESIDENTIAL,CR,1,0.000282,0.000282,low,False,single_zone_low_confidence,review,9.50249
CFS-PARCEL-0149735340,149735340,45893509410000,OI,OFFICE,OI,2,0.000283,0.000283,low,True,multi_zone_low_confidence,trusted,15.132535
CFS-PARCEL-0149734414,149734414,46724666980000,CR,RESIDENTIAL,CR,1,0.000283,0.000283,low,False,single_zone_low_confidence,trusted,0.173581
CFS-PARCEL-0149821195,149821195,56339951880000,LDR,RESIDENTIAL,LDR,1,0.000283,0.000283,low,False,single_zone_low_confidence,trusted,0.690889
CFS-PARCEL-0149766750,149766750,55336801650000,CR,RESIDENTIAL,CR,1,0.000294,0.000294,low,False,single_zone_low_confidence,trusted,1.440886
CFS-PARCEL-0149768414,149768414,55380614270000,LDR,RESIDENTIAL,LDR,1,0.000294,0.000294,low,False,single_zone_low_confidence,trusted,0.707653
CFS-PARCEL-0149730420,149730420,46714992190000,LDR,RESIDENTIAL,LDR,1,0.000303,0.000303,low,False,single_zone_low_confidence,trusted,0.228453
CFS-PARCEL-0149728818,149728818,46706502740000,LDR,RESIDENTIAL,LDR,1,0.000306,0.000306,low,False,single_zone_low_confidence,trusted,0.072873
CFS-PARCEL-0149777401,149777401,55350151280000,CR,RESIDENTIAL,CR,1,0.000307,0.000307,low,False,single_zone_low_confidence,trusted,19.230839
