hotspot_type,hotspot_name,total_parcels,review_parcels,low_confidence_count,multi_zoning_count,multi_jurisdiction_count,sliver_overlap_count,near_tie_count,no_match_count,jurisdiction_code_semantics_review_count,review_percentage
subdivision,WEDDINGTON WOODS,168,168,0,6,0,6,0,0,168,100.0
neighborhood,COCHRAN FARMS,208,166,0,55,24,54,0,0,136,79.8077
subdivision,COCHRAN FARMS,208,166,0,55,24,54,0,0,136,79.8077
neighborhood,GLENWOOD,163,163,0,4,1,3,0,0,163,100.0
neighborhood,PARKWOOD,162,162,0,3,0,3,0,0,162,100.0
neighborhood,LAUREL PARK HALLMARK,167,160,0,44,0,44,0,0,153,95.8084
neighborhood,THE WAYFORTH,159,159,0,3,0,2,0,0,159,100.0
subdivision,THE WAYFORTH AT CONCORD,159,159,0,3,0,2,0,0,159,100.0
neighborhood,PENDLETON,158,158,0,11,0,11,0,0,158,100.0
neighborhood,TERRACES AT FARMINGTON,157,157,0,2,2,0,0,0,157,100.0
neighborhood,LANE STREET,275,155,23,154,0,123,18,0,24,56.3636
neighborhood,CABARRUS ACRES,153,153,0,21,1,21,0,0,153,100.0
subdivision,AFTON PARK,152,152,0,32,0,32,0,0,151,100.0
subdivision,CABARRUS ACRES,149,149,0,21,1,21,0,0,149,100.0
neighborhood,LAUREL PARK COBBLESTONE,166,149,2,20,0,15,0,0,146,89.759
subdivision,THE COMMONS AT FARMINGTON PH2,148,148,0,1,1,0,0,0,148,100.0
neighborhood,CHRISTENBURY TOWNHOUSES,147,147,0,1,0,1,0,0,147,100.0
neighborhood,WALNUT AVE,146,146,0,32,0,32,0,0,146,100.0
neighborhood,TUCKERS CHASE,144,144,0,25,15,14,0,0,144,100.0
neighborhood,MIDLAND CROSSING,143,143,1,10,0,3,0,0,143,100.0
neighborhood,SETTLERS LANDING,143,143,0,0,0,0,0,0,143,100.0
subdivision,TOWNHOMES AT CANNON RUN,143,143,0,1,0,0,0,0,143,100.0
neighborhood,THE HAVEN AT ROCKY RIVER,142,142,0,2,2,0,0,0,142,100.0
subdivision,IVYDALE,142,142,0,19,0,19,0,0,142,100.0
subdivision,THE MILLS,141,141,0,1,1,1,0,0,141,100.0
neighborhood,FLEETWOOD AVE AREA,321,141,0,81,0,81,0,0,82,43.9252
neighborhood,PINE BLUFF,137,136,1,17,14,14,1,0,134,99.2701
neighborhood,HARRISBURG,354,135,8,182,2,127,1,0,6,38.1356
neighborhood,TRELLIS AT THE COMMONS,134,134,0,2,1,2,0,0,134,100.0
subdivision,GREYSTONE,133,133,1,35,3,34,1,0,131,100.0
subdivision,TERRACES AT FARMINGTON PH 2,133,133,0,0,0,0,0,0,133,100.0
neighborhood,ROBERTA MILLS,235,131,3,131,66,117,9,0,16,55.7447
neighborhood,MIDLAND COMMERCIAL,148,127,9,76,33,55,1,0,85,85.8108
neighborhood,HARRISBURG SOUTH,276,125,13,135,83,105,6,0,2,45.2899
neighborhood,POPLAR TENT WEST,257,122,4,108,98,103,8,5,15,47.4708
neighborhood,AURORA LOCKE,350,122,0,61,0,61,0,0,75,34.8571
subdivision,PINE BLUFF,122,121,0,14,12,11,0,0,120,99.1803
subdivision,PARKWOOD,120,120,0,22,0,22,0,0,120,100.0
subdivision,PENDLETON,120,120,0,7,0,7,0,0,120,100.0
neighborhood,NORTHGATE NORTH,121,120,0,9,0,9,0,0,116,99.1736
neighborhood,MT PLEASANT COMMERCIAL,164,120,5,118,6,104,2,0,59,73.1707
subdivision,THE MILLS AT ROCKY RIVER TOWNHOMES,119,119,0,1,1,0,0,0,119,100.0
subdivision,ODELL CORNERS,118,118,0,3,3,2,0,0,118,100.0
neighborhood,CENTRAL CABARRUS HIGH SCHOOL,257,118,5,114,99,102,1,0,24,45.9144
neighborhood,ODELL CORNERS,117,117,0,3,3,2,0,0,117,100.0
neighborhood,BISCAYNE / TRINITY CHURCH,166,117,11,76,21,60,0,0,68,70.4819
neighborhood,HUMMINGBIRD RIDGE,116,116,0,22,12,13,0,0,116,100.0
subdivision,ASHEFORD GREEN,116,116,0,27,0,27,0,0,116,100.0
subdivision,HUMMINGBIRD RIDGE,116,116,0,22,12,13,0,0,116,100.0
neighborhood,ASHEFORD GREEN,115,115,0,26,0,26,0,0,115,100.0
subdivision,GLENWOOD AT THE VILLAGE OF REDBRIDGE,114,114,0,0,0,0,0,0,114,100.0
neighborhood,REED GOLD MINE,526,114,11,118,92,85,2,0,10,21.673
neighborhood,INTERNATIONAL BUSINESS PARK,112,112,7,73,0,68,0,0,111,100.0
neighborhood,VILLAS AT TUCKER'S WALK,112,112,0,9,9,1,0,0,112,100.0
neighborhood,EASTCLIFF,295,111,4,82,0,75,0,0,42,37.6271
neighborhood,CUMBERLAND,109,109,2,6,0,4,0,0,109,100.0
neighborhood,EDENTON AT COX MILL,109,109,0,3,0,3,0,0,109,100.0
neighborhood,LAUREL PARK II,109,109,0,21,0,21,0,0,109,100.0
subdivision,EDENTON AT COX MILL,109,109,0,3,0,3,0,0,109,100.0
neighborhood,OLD EARNHARDT,184,109,6,94,36,68,0,0,57,59.2391
subdivision,CUMBERLAND,108,108,1,5,0,3,0,0,108,100.0
subdivision,MEADOW CREEK VILLAGE,107,107,0,3,3,0,0,0,107,100.0
subdivision,THE VILLAS AT TUCKER'S WALK,107,107,0,5,5,1,0,0,107,100.0
neighborhood,MONTFORD AVE AREA,398,106,0,84,0,84,0,0,34,26.6332
neighborhood,NORTHLIGHT,164,104,6,54,11,48,0,0,89,63.4146
neighborhood,ROBINSON CHURCH RD SOUTH,321,104,3,109,85,78,0,0,4,32.3988
neighborhood,MT PLEASANT OUTSIDE,466,103,12,113,58,82,3,1,2,22.103
subdivision,PARKVIEW,132,102,0,102,27,101,0,0,0,77.2727
neighborhood,WEAKS PARK,111,101,0,30,0,19,0,0,101,90.991
neighborhood,MT PLEASANT NORTH,264,101,4,107,0,99,0,0,0,38.2576
neighborhood,R BROWN MCALLISTER SCHOOL,533,100,1,93,0,90,0,0,18,18.7617
neighborhood,SEDGEFIELD,466,99,0,101,0,99,0,0,6,21.2446
neighborhood,BEVERLEY HILLS,250,97,0,53,0,53,0,0,64,38.8
subdivision,HIGHLAND CREEK,970,97,3,95,30,81,1,0,0,10.0
