zoning_jurisdiction_name,dominant_zoning_general_normalized,dominant_zoning_code_raw,permit_type,permit_count,relationship_row_count,active_parcel_count,unmatched_permit_count,ambiguous_permit_count,total_permit_amount,avg_permit_amount,first_permit_date,latest_permit_date
Concord,residential,RV,commercial_new_construction,9,13,9,0,2,415000.0,138333.33333333334,2004-04-01,2025-11-24
Concord,residential,RM-2-CD,other,9,10,9,0,1,308401.0,34266.77777777778,2016-01-27,2025-11-07
Mt. Pleasant,residential,RM,demolition,9,10,8,0,1,180000.0,18000.0,2015-07-09,2024-07-08
Harrisburg,residential,RM,demolition,9,9,9,0,0,144329.0,16036.555555555557,2017-10-20,2024-11-12
Cabarrus County / Unincorporated,residential,HDR-SU,addition_residential,9,9,8,0,0,139700.0,19957.14285714286,2014-10-27,2024-10-28
Kannapolis,office,O-I,extra_feature,9,9,8,0,0,119331.0,13259.0,2019-03-18,2025-05-27
Mt. Pleasant,unknown,C-1,commercial_new_construction,9,10,9,0,1,93500.0,46750.0,2004-06-01,2025-11-13
Locust,commercial,HC,commercial_new_construction,9,9,1,0,0,92222.0,92222.0,2010-06-03,2015-06-30
Harrisburg,office,OI,out_building,9,12,5,0,3,42500.0,3863.6363636363635,2015-08-13,2021-05-17
Kannapolis,commercial,GC,extra_feature,8,8,6,0,0,932700.0,116587.5,2016-06-14,2023-03-14
Concord,residential,RV,residential_modular,8,8,7,0,0,811067.0,101383.375,2017-07-24,2022-07-28
Mt. Pleasant,unknown,C-2,commercial_new_construction,8,14,6,0,4,752000.0,250666.66666666666,2003-06-01,2023-05-15
Cabarrus County / Unincorporated,commercial,LC,commercial_new_construction,8,8,6,0,0,705500.0,235166.66666666666,2005-06-01,2025-01-31
Concord,unknown,I-2-CU,other,8,8,6,0,0,705050.0,117508.33333333333,2007-03-01,2024-07-10
Concord,unknown,C-2,addition_residential,8,8,7,0,0,622600.0,77825.0,2017-07-28,2025-01-07
Cabarrus County / Unincorporated,office,OI,upfit,8,8,6,0,0,596300.0,74537.5,2014-11-25,2024-06-05
Kannapolis,residential,R2,extra_feature,8,8,7,0,0,591000.0,73875.0,2018-02-13,2024-12-04
Kannapolis,commercial,GC,addition_residential,8,10,7,0,2,440200.0,44020.0,2016-11-09,2025-09-04
Harrisburg,industrial,EC,demolition,8,8,6,0,1,436000.0,72666.66666666667,2013-06-19,2025-02-21
Concord,unknown,C-1,comm_extra_features,8,8,5,0,0,388800.0,48600.0,2014-10-10,2025-08-05
Kannapolis,residential,R4-CZ,addition_residential,8,8,8,0,0,239897.0,29987.125,2022-05-31,2025-09-22
Mt. Pleasant,residential,RH,remodel,8,8,8,0,0,192520.5,32086.75,2005-06-01,2024-08-29
Midland,unknown,SFR,upfit,8,8,5,0,0,190578.0,23822.25,2019-11-15,2023-03-02
Cabarrus County / Unincorporated,residential,LDR-SU,other,8,8,1,0,0,144956.0,20708.0,2012-06-27,2025-12-05
Concord,unknown,I-1-CU,commercial_new_construction,8,8,4,0,0,109926.0,54963.0,2006-04-01,2022-11-30
Concord,unknown,PUD,demolition,8,8,7,0,0,79000.0,11285.714285714286,2013-11-18,2024-10-24
Kannapolis,commercial,GC-CZ,demolition,8,11,5,0,3,68000.0,11333.333333333334,2018-07-11,2023-07-31
Concord,residential,RM-2,residential_manufactored_home,8,8,5,0,0,40800.0,5828.571428571428,2014-12-23,2024-05-30
Harrisburg,office,CZ-OI,other,8,8,1,0,0,,,2010-06-14,2010-12-10
Kannapolis,unknown,CD-CZ,upfit,7,7,2,0,0,28817056.0,4116722.285714286,2018-10-15,2025-03-07
Kannapolis,unknown,CD,demolition,7,7,5,0,0,1706000.0,243714.2857142857,2014-05-02,2025-08-28
Kannapolis,commercial,CC-CZ,new_construction,7,7,7,0,0,1335113.0,190730.42857142858,2024-04-19,2024-05-24
Kannapolis,residential,R4,residential_modular,7,7,5,0,0,1125602.0,160800.2857142857,2016-03-24,2023-04-17
Mt. Pleasant,unknown,I-1,commercial_new_construction,7,7,3,0,0,1107092.0,276773.0,2012-12-28,2024-08-26
Cabarrus County / Unincorporated,office,OI,remodel,7,7,6,0,0,735900.0,183975.0,2006-07-01,2023-09-18
Mt. Pleasant,unknown,CZ-RH,new_construction,7,7,6,0,0,633720.0,90531.42857142857,2014-03-03,2016-09-20
Kannapolis,agricultural,AG,upfit,7,7,4,0,0,339000.0,56500.0,2013-10-07,2025-08-12
Concord,unknown,B-1,upfit,7,7,4,0,0,337350.0,48192.857142857145,2015-07-10,2025-10-27
(unmatched parcel),(unknown),(unknown),extra_feature,7,7,0,7,0,266800.0,38114.28571428572,2020-10-22,2025-07-28
Midland,unknown,SFR,demolition,7,8,7,0,1,223800.0,31971.428571428572,2015-07-16,2022-11-07
Kannapolis,commercial,CC,comm_extra_features,7,7,3,0,0,217170.0,36195.0,2014-06-23,2025-08-25
Concord,unknown,RC,comm_extra_features,7,13,6,0,2,175000.0,13461.538461538463,2024-04-25,2025-08-18
Concord,unknown,C-1,demolition,7,7,6,0,0,124250.0,20708.333333333332,2017-12-04,2024-04-16
Harrisburg,residential,RL,upfit,7,7,6,0,0,119377.0,23875.4,2013-06-25,2021-10-01
Concord,unknown,TND,extra_feature,7,7,7,0,0,113500.0,18916.666666666668,2014-02-24,2024-11-27
Cabarrus County / Unincorporated,residential,MDR,upfit,7,7,2,0,0,111300.0,18550.0,2013-11-12,2025-01-29
Harrisburg,unknown,CZ-RM,other,7,7,2,0,0,104033.48,26008.37,2024-05-01,2025-10-17
Midland,unknown,OM,other,7,7,6,0,0,82660.0,27553.333333333332,2005-01-01,2023-01-26
Kannapolis,unknown,CD-R-CZ,other,7,7,3,0,0,22800.0,7600.0,2011-05-06,2021-01-06
Cabarrus County / Unincorporated,residential,MDR,out_building,7,7,7,0,0,17400.0,2485.714285714286,2014-04-16,2018-11-13
Kannapolis,mixed_use,MU-N,commercial_new_construction,7,7,5,0,0,,,2004-06-01,2024-10-25
Kannapolis,unknown,C-1,commercial_new_construction,6,6,3,0,0,5750880.0,5750880.0,2005-02-01,2016-02-22
Cabarrus County / Unincorporated,industrial,GI,commercial_addition,6,6,4,0,0,4385649.0,730941.5,2017-02-03,2021-03-14
Mt. Pleasant,residential,RL,upfit,6,6,4,0,3,3321890.0,664378.0,2013-12-13,2025-05-16
Kannapolis,residential,R8-CZ,other,6,6,4,0,0,1130076.0,188346.0,2019-02-06,2024-08-20
Harrisburg,commercial,NC,upfit,6,6,5,0,0,573106.0,114621.2,2014-02-26,2024-05-31
Midland,unknown,SFR,residential_manufactored_home,6,6,5,0,0,315500.0,63100.0,2016-09-02,2024-02-09
Kannapolis,residential,R18,demolition,6,6,3,0,0,233950.0,58487.5,2015-05-12,2024-06-28
Concord,residential,RL,commercial_new_construction,6,9,5,0,3,200000.0,200000.0,2006-09-01,2024-05-29
Kannapolis,agricultural,R2,extra_feature,6,6,2,0,0,163500.0,27250.0,2022-04-05,2024-01-09
Midland,unknown,R/OMT,remodel,6,7,4,0,1,162970.0,40742.5,2003-04-01,2025-11-05
Harrisburg,commercial,NC,other,6,8,5,0,2,156000.0,39000.0,2008-07-01,2023-11-03
Concord,residential,R-CO,upfit,6,6,5,0,0,122800.0,20466.666666666668,2014-11-18,2019-05-24
Midland,agricultural,AG,commercial_new_construction,6,6,1,0,0,100000.0,100000.0,2004-09-01,2024-04-08
Mt. Pleasant,unknown,C-1,other,6,6,4,0,0,82567.25,16513.45,2007-11-01,2024-02-09
Locust,unknown,OPS,addition_residential,6,6,6,0,0,82470.0,13745.0,2014-06-20,2024-08-29
Cabarrus County / Unincorporated,commercial,LC-SU,other,6,6,1,0,0,65000.0,65000.0,2004-07-01,2019-04-01
Concord,unknown,O-I,extra_feature,6,6,6,0,0,61731.0,12346.2,2013-06-11,2025-02-19
Cabarrus County / Unincorporated,commercial,LC,remodel,6,7,6,0,1,58100.0,14525.0,2008-01-01,2025-10-15
Concord,unknown,C-1-CD,other,6,6,4,0,0,49000.0,49000.0,2007-01-01,2021-09-07
Concord,mixed_use,MX-IB,other,6,6,4,0,0,43800.0,8760.0,2016-02-22,2024-02-20
Concord,unknown,PID,comm_extra_features,6,7,4,0,1,34900.0,4985.714285714285,2014-09-24,2017-05-17
Kannapolis,residential,R8,residential_manufactored_home,6,10,4,0,4,4000.0,4000.0,2016-03-30,2021-04-01
Cabarrus County / Unincorporated,residential,HDR-SU,new_construction,6,6,6,0,0,,,2003-04-01,2016-02-26
Concord,unknown,I-2,commercial_addition,5,6,5,0,1,22597634.0,3766272.3333333335,2014-11-05,2020-08-20
Kannapolis,unknown,CD-CZ,commercial_new_construction,5,5,2,0,0,20113119.0,4022623.8,2009-01-01,2024-08-21
Kannapolis,agricultural,AG,commercial_new_construction,5,6,6,0,1,6655026.0,6655026.0,2008-06-01,2017-11-29
Mt. Pleasant,unknown,CZ-RH,commercial_new_construction,5,5,1,0,0,3425367.0,685073.4,2016-03-24,2016-03-24
Kannapolis,industrial,LI,commercial_addition,5,7,4,0,2,1541000.0,220142.85714285713,2018-12-03,2024-09-18
Mt. Pleasant,commercial,CC,commercial_new_construction,5,5,5,0,0,1400000.0,1400000.0,2003-08-01,2023-06-27
Kannapolis,residential,R8-CZ,commercial_new_construction,5,5,2,0,0,781000.0,156200.0,2022-11-07,2023-01-25
Mt. Pleasant,unknown,I-1,upfit,5,6,6,0,1,709500.0,141900.0,2013-10-04,2024-02-16
Concord,unknown,O-I,comm_extra_features,5,13,9,0,3,685159.99,52704.61461538461,2014-11-05,2025-10-15
Concord,unknown,PUD,moved_structure,5,5,5,0,0,550787.0,110157.4,2015-12-31,2020-07-22
Kannapolis,residential,R18-CZ,commercial_addition,5,5,1,0,0,357248.0,71449.6,2022-08-12,2024-05-17
Mt. Pleasant,unknown,I-1,other,5,5,4,0,0,345000.0,115000.0,2011-03-25,2018-10-18
Kannapolis,residential,R18-CZ,extra_feature,5,5,4,0,0,254664.0,50932.8,2022-08-09,2025-09-15
Concord,unknown,I-1-CU,upfit,5,5,4,0,0,243494.0,60873.5,2013-07-19,2025-03-27
Concord,unknown,RC,residential_manufactored_home,5,5,5,0,0,198475.0,39695.0,2019-07-08,2025-05-16
Mt. Pleasant,residential,RM,commercial_new_construction,5,5,3,0,0,177500.0,59166.666666666664,2024-11-27,2025-08-15
Mt. Pleasant,residential,RH,extra_feature,5,5,5,0,0,125000.0,25000.0,2016-07-18,2025-12-04
Harrisburg,industrial,EC,remodel,5,5,5,0,0,115000.0,28750.0,2009-02-01,2022-02-03
Mt. Pleasant,unknown,C-2,demolition,5,9,5,0,2,92400.0,11550.0,2013-09-24,2024-04-04
Concord,unknown,C-1-CD,upfit,5,5,4,0,0,91500.0,22875.0,2015-10-06,2023-09-06
Harrisburg,residential,CZ-RM,other,5,5,3,0,0,90000.0,18000.0,2017-09-28,2021-03-01
Midland,unknown,R/OMT,other,5,6,6,0,1,79592.0,15918.4,2005-09-01,2024-08-02
Concord,unknown,PRD,upfit,5,5,5,0,0,79500.0,19875.0,2020-03-06,2020-03-13
Kannapolis,commercial,GC,out_building,5,5,5,0,0,69886.0,17471.5,2013-10-30,2020-03-10
Concord,unknown,B-1,demolition,5,5,4,0,0,47500.0,11875.0,2013-10-03,2024-02-26
Mt. Pleasant,unknown,I-1,demolition,5,5,4,0,0,42300.0,14100.0,2013-07-18,2019-10-04
Mt. Pleasant,agricultural,AG,remodel,5,5,4,0,0,28000.0,9333.333333333334,2003-11-01,2025-05-30
Kannapolis,industrial,LI,demolition,5,9,6,0,2,15500.0,2583.3333333333335,2014-06-13,2022-04-25
Kannapolis,residential,R2,other,5,5,5,0,0,10000.0,10000.0,2006-10-01,2021-09-20
Mt. Pleasant,agricultural,AG,other,5,5,5,0,0,1.0,0.3333333333333333,2005-02-01,2021-11-18
Kannapolis,commercial,CC,commercial_addition,4,4,3,0,0,40288740.0,13429580.0,2017-05-24,2021-06-02
Kannapolis,industrial,LI-CZ,upfit,4,4,1,0,0,4882037.0,1220509.25,2022-08-24,2025-10-22
Kannapolis,unknown,CD,commercial_addition,4,4,3,0,0,2148254.0,537063.5,2019-03-19,2024-04-05
Kannapolis,unknown,CD,comm_extra_features,4,4,3,0,0,1781894.8,445473.7,2014-09-29,2025-04-04
Midland,unknown,C 601-CZ,commercial_new_construction,4,4,1,0,0,1473000.0,1473000.0,2025-04-17,2025-08-18
Harrisburg,residential,RL,commercial_new_construction,4,4,2,0,0,1046000.0,523000.0,2014-07-23,2025-08-06
Concord,residential,RV-CD,commercial_new_construction,4,4,4,0,0,803500.0,200875.0,2017-06-07,2025-08-08
Cabarrus County / Unincorporated,industrial,GI,demolition,4,4,1,0,0,703851.72,175962.93,2017-05-08,2021-10-14
Concord,residential,RM-2,residential_modular,4,4,4,0,0,601344.0,150336.0,2015-06-15,2020-05-06
Kannapolis,unknown,CD,remodel,4,4,4,0,0,471702.0,157234.0,2004-05-01,2020-06-23
Harrisburg,residential,CZ-RE,new_construction,4,4,4,0,0,450000.0,225000.0,2008-02-01,2019-05-03
Kannapolis,industrial,LI,new_construction,4,4,4,0,0,330000.0,82500.0,2021-03-05,2021-07-06
Kannapolis,residential,R8,comm_extra_features,4,4,2,0,0,303759.0,75939.75,2015-11-30,2021-08-11
Harrisburg,residential,CZ-RH,commercial_new_construction,4,4,3,0,0,209245.0,69748.33333333333,2013-03-28,2024-05-16
Harrisburg,commercial,GC,remodel,4,4,4,0,0,208500.0,104250.0,2008-03-01,2022-04-26
Concord,unknown,O-I-CD,remodel,4,4,1,0,0,198000.0,49500.0,2023-01-09,2025-05-21
Cabarrus County / Unincorporated,residential,MDR-SU,new_construction,4,4,4,0,0,158000.0,158000.0,2007-06-01,2021-03-10
Kannapolis,mixed_use,MU-N,remodel,4,5,5,0,1,136000.0,34000.0,2003-05-01,2023-12-28
Harrisburg,unknown,PUD,remodel,4,5,4,0,1,132200.0,26440.0,2022-01-12,2025-05-02
Kannapolis,office,GC-CZ,upfit,4,4,1,0,0,128000.0,64000.0,2017-04-04,2024-12-13
Kannapolis,residential,R4-CZ,remodel,4,4,3,0,0,106500.0,26625.0,2022-06-08,2024-07-23
Cabarrus County / Unincorporated,agricultural,AO-CU,commercial_new_construction,4,4,3,0,0,100000.0,100000.0,2003-12-01,2022-07-15
Harrisburg,residential,CZ-RL,out_building,4,4,4,0,0,99923.0,33307.666666666664,2013-08-21,2016-02-26
Harrisburg,residential,CZ-RM,remodel,4,4,4,0,0,98304.0,24576.0,2015-03-12,2023-09-08
Harrisburg,office,OI,demolition,4,4,4,0,1,98100.0,32700.0,2014-10-23,2019-05-21
Concord,unknown,I-2,extra_feature,4,4,3,0,0,85499.0,21374.75,2020-04-20,2023-01-18
Midland,unknown,C601,remodel,4,5,5,0,1,80000.0,40000.0,2003-10-01,2022-10-10
Concord,residential,RV,moved_structure,4,4,4,0,0,77500.0,38750.0,2017-04-12,2019-06-10
Cabarrus County / Unincorporated,residential,LDR-SU,upfit,4,4,1,0,0,66000.0,16500.0,2015-09-02,2025-06-16
Concord,unknown,I-1-CU,other,4,4,3,0,0,57830.0,14457.5,2016-10-13,2024-03-22
Mt. Pleasant,agricultural,AG,extra_feature,4,4,2,0,0,56000.0,14000.0,2017-12-11,2023-08-25
Cabarrus County / Unincorporated,residential,HDR-SU,extra_feature,4,4,4,0,0,54500.0,18166.666666666668,2014-01-27,2019-05-24
Midland,unknown,R/OMT,addition_residential,4,4,3,0,0,53000.0,13250.0,2016-06-27,2024-01-23
Cabarrus County / Unincorporated,office,OI,extra_feature,4,4,3,0,0,50115.0,12528.75,2016-10-24,2022-07-15
Concord,unknown,I-1,out_building,4,4,3,0,0,50000.0,50000.0,2013-07-05,2014-04-15
Concord,residential,RM-2-CU,out_building,4,4,4,0,0,45225.0,11306.25,2015-07-22,2020-04-16
Kannapolis,office,O-I,demolition,4,4,4,0,0,44300.0,14766.666666666668,2015-10-13,2019-03-06
Cabarrus County / Unincorporated,industrial,LI,extra_feature,4,5,3,0,1,31425.4,7856.35,2016-07-14,2023-03-17
Cabarrus County / Unincorporated,commercial,GC,comm_extra_features,4,7,3,0,3,31300.0,4471.428571428572,2015-04-23,2024-01-31
Midland,unknown,C601,upfit,4,4,4,0,0,28100.0,7025.0,2021-10-08,2024-05-30
Mt. Pleasant,unknown,CZ-O-I,other,4,4,2,0,0,27000.0,27000.0,2002-07-01,2021-04-27
Concord,unknown,C-1-CU,commercial_new_construction,4,4,2,0,0,20000.0,20000.0,2006-05-01,2014-04-15
Midland,unknown,C24/27,remodel,4,4,3,0,0,18400.0,6133.333333333333,2015-07-16,2021-03-16
Harrisburg,office,CZ-OI,demolition,4,4,1,0,0,12000.0,6000.0,2017-01-30,2017-01-30
Harrisburg,residential,CZ-RL,demolition,4,4,2,0,0,7500.0,3750.0,2013-11-13,2015-08-24
Cabarrus County / Unincorporated,office,LI,commercial_new_construction,4,4,1,0,0,,,2005-07-01,2012-01-11
Concord,commercial,CC,extra_feature,3,3,2,0,0,1321719500.0,440573166.6666667,2022-07-29,2023-03-17
Concord,unknown,CD,commercial_new_construction,3,3,1,0,0,13505000.0,4501666.666666667,2024-12-18,2025-01-03
Concord,unknown,I-2,new_construction,3,5,5,0,1,12032353.0,2406470.6,2015-09-16,2024-10-03
Concord,unknown,I-2,addition_residential,3,3,3,0,0,4051104.0,1350368.0,2014-09-24,2022-01-31
Harrisburg,office,CZ-OI,commercial_new_construction,3,3,1,0,0,2960000.0,2960000.0,2004-06-01,2017-03-14
Kannapolis,commercial,GC,commercial_addition,3,4,4,0,1,2170722.0,542680.5,2017-09-05,2021-09-21
Kannapolis,mixed_use,MU-N,upfit,3,4,4,0,1,1166000.0,291500.0,2017-03-17,2024-08-14
Concord,unknown,C-1-CD,commercial_new_construction,3,3,2,0,0,956000.0,478000.0,2003-12-01,2017-05-10
Concord,unknown,PID,remodel,3,4,3,0,1,842279.0,421139.5,2011-03-08,2021-07-26
Concord,unknown,CD,upfit,3,3,1,0,0,648630.0,216210.0,2025-08-21,2025-08-21
Concord,unknown,PUD,commercial_addition,3,3,2,0,0,604813.26,201604.42,2017-03-24,2024-06-21
Concord,unknown,I-1,extra_feature,3,3,3,0,0,561350.0,187116.66666666666,2019-05-29,2021-08-19
Mt. Pleasant,commercial,CC,upfit,3,3,3,0,0,549000.0,183000.0,2019-05-21,2024-04-02
Harrisburg,residential,CZ-RH,comm_extra_features,3,3,2,0,0,531500.0,177166.66666666666,2018-02-08,2024-06-10
Kannapolis,residential,R4-CZ,other,3,3,3,0,0,492650.0,164216.66666666666,2020-06-09,2021-06-15
Kannapolis,residential,R8,residential_modular,3,3,3,0,0,448000.0,149333.33333333334,2018-08-02,2019-04-17
Kannapolis,unknown,PD-TND,commercial_new_construction,3,3,3,0,0,400000.0,400000.0,2010-02-17,2023-02-23
Concord,unknown,I-1,new_construction,3,3,3,0,0,397000.0,397000.0,2000-04-01,2021-12-10
Mt. Pleasant,unknown,C-1,upfit,3,5,3,0,2,362000.0,72400.0,2016-10-31,2023-12-13
Kannapolis,office,GC-CZ,other,3,3,2,0,0,353850.0,176925.0,2019-05-06,2025-06-16
Harrisburg,residential,RM,moved_structure,3,3,3,0,0,333000.0,111000.0,2016-05-16,2017-10-19
Concord,unknown,C-2,moved_structure,3,3,3,0,0,332000.0,110666.66666666667,2017-05-01,2017-10-25
Cabarrus County / Unincorporated,industrial,LI,upfit,3,4,4,0,1,307000.0,76750.0,2016-11-04,2023-07-10
Kannapolis,office,R18,new_construction,3,3,3,0,0,300000.0,100000.0,2023-07-17,2023-07-31
Concord,unknown,I-1-CU,remodel,3,3,3,0,0,285660.0,95220.0,2016-10-13,2019-10-15
Concord,unknown,PUD,comm_extra_features,3,5,3,0,2,264746.0,52949.2,2014-11-05,2025-02-26
Cabarrus County / Unincorporated,industrial,LI-SU,commercial_new_construction,3,3,2,0,0,200000.0,200000.0,2007-05-01,2023-05-25
Harrisburg,unknown,PUD,demolition,3,6,2,0,3,189444.0,31574.0,2021-08-12,2021-11-03
Kannapolis,industrial,LI,remodel,3,3,3,0,0,176652.5,88326.25,2007-01-01,2021-04-27
Concord,residential,RE,other,3,3,2,0,0,119000.0,59500.0,2012-10-04,2017-10-25
Harrisburg,mixed_use,CZ-CC,other,3,3,2,0,0,86437.26,28812.42,2023-04-05,2025-06-17
