zoning_jurisdiction_name,dominant_zoning_general_normalized,dominant_zoning_code_raw,permit_type,permit_count,relationship_row_count,active_parcel_count,unmatched_permit_count,ambiguous_permit_count,total_permit_amount,avg_permit_amount,first_permit_date,latest_permit_date
Cabarrus County / Unincorporated,office,LI,other,3,3,1,0,0,80000.0,40000.0,2008-04-01,2017-11-03
Cabarrus County / Unincorporated,commercial,LC,extra_feature,3,3,2,0,0,75500.0,25166.666666666668,2021-08-26,2025-05-27
(unmatched parcel),(unknown),(unknown),addition_residential,3,3,0,3,0,75000.0,25000.0,2020-03-09,2024-10-24
Concord,unknown,C-2,out_building,3,4,4,0,1,66000.0,22000.0,2016-03-18,2021-03-04
Harrisburg,office,OI,remodel,3,3,3,0,0,62319.0,20773.0,2021-10-28,2022-10-31
Cabarrus County / Unincorporated,commercial,GC,residential_manufactored_home,3,6,2,0,3,62000.0,10333.333333333334,2019-09-25,2022-07-21
Concord,unknown,C-2-CD,demolition,3,4,4,0,1,60500.0,15125.0,2015-07-17,2025-02-25
Mt. Pleasant,unknown,CZ-RH,other,3,3,1,0,0,53867.0,26933.5,2016-02-25,2016-09-26
Concord,unknown,TND,out_building,3,3,3,0,0,53180.0,17726.666666666668,2015-03-25,2015-03-25
Harrisburg,residential,CZ-RL,upfit,3,3,3,0,0,51960.0,17320.0,2019-09-04,2022-07-18
Concord,unknown,O-I-CD,commercial_addition,3,3,2,0,0,51000.0,17000.0,2016-10-10,2021-12-16
Concord,residential,RM-2-CD,remodel,3,3,3,0,0,48045.0,16015.0,2018-04-19,2025-12-12
Concord,unknown,RC-CD,demolition,3,3,2,0,0,44000.0,14666.666666666668,2020-08-25,2023-10-27
Kannapolis,office,O-I,out_building,3,3,3,0,0,43595.0,14531.666666666668,2015-12-04,2020-12-08
Harrisburg,mixed_use,PUD,extra_feature,3,3,3,0,0,40500.0,13500.0,2022-03-14,2024-11-14
Cabarrus County / Unincorporated,industrial,LI-SU,other,3,3,3,0,0,30500.0,15250.0,2006-05-01,2018-08-28
Cabarrus County / Unincorporated,commercial,GC,commercial_new_construction,3,3,3,0,0,25000.0,25000.0,2003-09-01,2014-05-23
Mt. Pleasant,unknown,C-2,other,3,7,4,0,2,22592.0,3227.4285714285716,2014-11-20,2024-04-12
Kannapolis,mixed_use,MU-N,addition_residential,3,3,3,0,0,22280.0,7426.666666666667,2015-12-17,2022-01-04
Midland,unknown,SFR,commercial_new_construction,3,3,3,0,0,20000.0,20000.0,2011-08-02,2024-03-15
Cabarrus County / Unincorporated,residential,MDR,commercial_new_construction,3,5,4,0,1,19500.0,6500.0,2015-07-30,2025-05-20
Harrisburg,residential,RL,demolition,3,3,3,0,0,18300.0,9150.0,2016-02-09,2021-04-07
Concord,unknown,O-I,out_building,3,3,2,0,0,17260.0,8630.0,2014-03-07,2017-01-17
Concord,residential,RV,commercial_addition,3,3,1,0,0,17000.0,5666.666666666667,2018-04-30,2022-07-20
Kannapolis,residential,R8-CZ,remodel,3,3,3,0,0,16100.0,8050.0,2003-06-01,2025-06-16
Harrisburg,mixed_use,PUD,demolition,3,3,3,0,0,11500.0,3833.3333333333335,2017-09-01,2022-07-06
Cabarrus County / Unincorporated,commercial,LC-SU,commercial_new_construction,3,3,1,0,0,,,2011-02-28,2012-06-06
Harrisburg,mixed_use,CZ-CC,commercial_new_construction,3,3,1,0,0,,,2011-08-02,2023-11-08
Kannapolis,unknown,O-I,other,3,3,1,0,0,,,2011-10-04,2024-05-20
Locust,unknown,OPS,commercial_new_construction,3,3,3,0,0,,,2006-07-01,2008-02-01
Midland,unknown,C601,commercial_new_construction,3,3,3,0,0,,,2008-12-01,2025-09-15
Midland,unknown,CIV,commercial_new_construction,3,3,2,0,0,,,2003-07-01,2009-10-01
Kannapolis,industrial,LI-CZ,commercial_new_construction,2,2,2,0,0,11138202.0,5569101.0,2025-03-06,2025-03-06
Concord,unknown,I-2-CD,new_construction,2,2,1,0,0,8000000.0,4000000.0,2016-09-26,2016-11-14
Harrisburg,unknown,NC,upfit,2,2,1,0,0,2100000.0,1050000.0,2024-03-27,2024-09-23
Concord,mixed_use,MX-CC2,commercial_addition,2,2,2,0,0,909500.0,454750.0,2016-09-12,2020-05-20
Concord,agricultural,AG,extra_feature,2,2,2,0,0,757992.0,378996.0,2021-08-26,2022-06-10
Midland,industrial,IND,new_construction,2,2,2,0,0,741235.0,741235.0,2007-05-01,2022-01-12
Harrisburg,industrial,EC,commercial_addition,2,2,2,0,0,736000.0,368000.0,2019-11-07,2025-10-22
Harrisburg,commercial,CZ-GC,new_construction,2,2,2,0,0,680733.0,340366.5,2017-03-22,2020-05-29
Concord,residential,RM-2-CD,moved_structure,2,2,2,0,0,604777.0,302388.5,2016-05-27,2018-11-07
(unmatched parcel),(unknown),(unknown),commercial_addition,2,2,0,2,0,548000.0,274000.0,2017-04-21,2022-08-02
Midland,agricultural,AG,residential_modular,2,3,3,0,1,490418.0,163472.66666666666,2016-12-22,2019-10-31
Concord,mixed_use,MX-CC2,remodel,2,2,2,0,0,487100.0,243550.0,2021-12-14,2023-01-30
Concord,unknown,C-2-CU,remodel,2,2,2,0,0,446773.0,223386.5,2020-07-01,2020-11-12
Midland,unknown,C24/27,commercial_addition,2,2,2,0,0,445510.0,222755.0,2020-12-21,2021-06-02
Mt. Pleasant,unknown,I-1,new_construction,2,2,2,0,0,439600.0,219800.0,2017-02-24,2025-08-15
Concord,residential,RV-CD,comm_extra_features,2,2,2,0,0,393750.0,196875.0,2017-07-06,2024-03-13
Cabarrus County / Unincorporated,residential,MDR,residential_modular,2,2,2,0,0,338335.0,169167.5,2017-02-13,2021-06-08
Concord,residential,RM-1,residential_modular,2,2,2,0,0,334000.0,167000.0,2019-07-16,2023-08-11
Harrisburg,residential,CZ-RM,comm_extra_features,2,2,2,0,0,310000.0,155000.0,2020-05-22,2025-03-14
Concord,mixed_use,MX-IB,upfit,2,2,2,0,0,291500.0,145750.0,2023-05-17,2025-01-27
Kannapolis,residential,R18-CZ,comm_extra_features,2,2,2,0,0,287000.0,143500.0,2024-05-17,2024-10-15
Concord,residential,RV-CD,moved_structure,2,2,2,0,0,280785.0,140392.5,2017-03-15,2017-05-04
Concord,unknown,RC-CD,moved_structure,2,2,2,0,0,238849.0,119424.5,2019-02-15,2020-07-31
Concord,commercial,CC,residential_manufactored_home,2,2,1,0,0,234541.0,117270.5,2023-02-26,2023-02-26
Concord,residential,RL,demolition,2,2,2,0,0,229000.0,114500.0,2020-08-20,2025-02-24
Cabarrus County / Unincorporated,residential,CR,moved_structure,2,2,2,0,0,218000.0,109000.0,2016-05-20,2023-08-02
Midland,unknown,SFR,moved_structure,2,2,2,0,0,202900.0,202900.0,2017-12-19,2019-04-09
Kannapolis,agricultural,R2,new_construction,2,2,2,0,0,200000.0,100000.0,2021-10-21,2021-10-22
Kannapolis,residential,R4,residential_manufactored_home,2,3,3,0,1,198790.0,66263.33333333333,2019-01-23,2023-01-17
Midland,unknown,C24/27,new_construction,2,2,2,0,0,175000.0,175000.0,2010-11-01,2020-03-02
Midland,unknown,OM,remodel,2,2,2,0,0,174000.0,87000.0,2022-12-07,2023-03-01
Concord,unknown,O-I,addition_residential,2,2,2,0,0,166111.0,83055.5,2020-09-10,2025-10-17
Concord,unknown,C-1,extra_feature,2,2,2,0,0,155367.0,77683.5,2016-03-28,2025-01-21
Midland,unknown,SFR-CZ,extra_feature,2,2,2,0,0,154800.0,77400.0,2024-08-28,2025-01-02
Concord,unknown,C-1-CU,upfit,2,2,1,0,0,150800.0,75400.0,2015-03-10,2020-08-04
Concord,residential,RM-1,moved_structure,2,2,2,0,0,150000.0,75000.0,2019-02-28,2019-06-12
Concord,mixed_use,MX-CC2,new_construction,2,2,2,0,0,149970.0,74985.0,2017-04-19,2019-02-12
Concord,residential,RM-2,moved_structure,2,2,2,0,0,135500.0,67750.0,2014-05-30,2017-09-26
Kannapolis,residential,R18-CZ,remodel,2,2,1,0,0,111500.0,55750.0,2017-07-28,2021-03-09
Kannapolis,residential,R2,remodel,2,2,2,0,0,109000.0,54500.0,2025-08-08,2025-12-22
Concord,unknown,RC,commercial_addition,2,2,2,0,0,106000.0,53000.0,2017-08-21,2020-04-09
Mt. Pleasant,unknown,CZ-C-2,other,2,2,1,0,0,101127.0,50563.5,2021-02-01,2021-09-21
Cabarrus County / Unincorporated,agricultural,AO,moved_structure,2,2,2,0,0,95000.0,47500.0,2017-03-17,2018-07-31
Midland,unknown,CIV,upfit,2,2,1,0,0,90000.0,90000.0,2014-05-21,2014-05-21
Locust,commercial,HC,upfit,2,2,1,0,0,88494.0,44247.0,2024-09-06,2025-02-10
Concord,residential,RV-CD,upfit,2,2,2,0,0,88050.0,44025.0,2020-03-25,2024-10-14
Kannapolis,office,R8,remodel,2,2,2,0,0,85242.0,42621.0,2024-04-23,2025-12-16
Midland,unknown,R/OMT,extra_feature,2,2,1,0,0,81311.0,40655.5,2016-04-25,2017-03-17
Kannapolis,agricultural,R18,other,2,2,2,0,0,78300.0,39150.0,2021-10-07,2023-04-17
Mt. Pleasant,residential,RH,demolition,2,2,2,0,0,75000.0,37500.0,2021-03-26,2024-02-29
Kannapolis,industrial,LI-CZ,other,2,2,2,0,0,62250.0,31125.0,2021-10-08,2025-04-10
Cabarrus County / Unincorporated,commercial,LC,upfit,2,2,2,0,0,61560.0,30780.0,2022-09-22,2024-02-15
Concord,mixed_use,MX-CC2,demolition,2,2,2,0,0,60500.0,30250.0,2019-03-18,2025-11-26
Harrisburg,industrial,EC,addition_residential,2,2,2,0,0,55000.0,27500.0,2019-03-05,2022-03-21
Mt. Pleasant,commercial,CC,remodel,2,3,3,0,1,54790.0,54790.0,2007-05-01,2019-10-08
Concord,agricultural,AG,new_construction,2,2,2,0,0,50000.0,50000.0,2007-05-01,2014-04-14
Concord,unknown,CD,other,2,2,1,0,0,50000.0,25000.0,2024-12-23,2025-12-15
Kannapolis,residential,R18-CZ,demolition,2,2,2,0,0,50000.0,25000.0,2021-08-19,2023-09-13
Harrisburg,residential,CZ-RH,out_building,2,2,2,0,0,46000.0,23000.0,2019-08-16,2020-12-09
Midland,unknown,TNDO-CZ,other,2,2,1,0,0,43000.0,21500.0,2025-04-30,2025-12-12
Concord,mixed_use,MX-CC2,extra_feature,2,2,2,0,0,40000.0,20000.0,2017-04-27,2017-04-27
Harrisburg,residential,RE,addition_residential,2,3,3,0,1,37238.0,12412.666666666666,2014-10-27,2022-04-06
Kannapolis,unknown,PD,demolition,2,2,2,0,0,34000.0,17000.0,2021-06-30,2023-10-09
Kannapolis,residential,R4,comm_extra_features,2,2,2,0,0,32700.0,16350.0,2022-09-14,2025-01-21
Concord,commercial,CC,addition_residential,2,2,2,0,0,32200.0,16100.0,2021-12-16,2023-02-26
Cabarrus County / Unincorporated,residential,LDR,comm_extra_features,2,2,2,0,0,31000.0,15500.0,2015-01-23,2022-03-22
Cabarrus County / Unincorporated,commercial,GC,demolition,2,3,3,0,1,30000.0,10000.0,2022-06-01,2023-11-27
Midland,unknown,CIV,commercial_addition,2,2,1,0,0,30000.0,30000.0,2018-11-01,2018-11-01
Harrisburg,residential,RM,commercial_addition,2,3,3,0,1,28500.0,9500.0,2014-06-19,2023-04-13
Locust,unknown,OPS-C,commercial_new_construction,2,2,2,0,0,27973.0,13986.5,2024-03-22,2024-07-02
Concord,unknown,I-2-CD,demolition,2,2,1,0,0,27000.0,27000.0,2024-12-13,2024-12-13
Concord,commercial,CC,comm_extra_features,2,2,2,0,0,26954.0,26954.0,2014-06-11,2025-09-03
Concord,unknown,I-1,comm_extra_features,2,2,2,0,0,25400.0,12700.0,2014-06-11,2014-10-01
Concord,agricultural,AG,remodel,2,2,2,0,0,25000.0,25000.0,2009-08-01,2022-06-24
Kannapolis,residential,R1,commercial_new_construction,2,3,3,0,1,25000.0,25000.0,2015-06-03,2024-04-10
Kannapolis,unknown,C-1,upfit,2,2,2,0,0,24800.0,24800.0,2013-11-14,2016-04-19
Mt. Pleasant,unknown,CZ-RH,extra_feature,2,2,2,0,0,24261.0,12130.5,2016-03-24,2025-02-03
Harrisburg,residential,RE,out_building,2,2,2,0,0,21300.0,10650.0,2016-06-29,2018-10-25
Kannapolis,residential,R18-CZ,upfit,2,2,2,0,0,19082.5,9541.25,2024-06-06,2025-04-28
Kannapolis,industrial,LI,extra_feature,2,2,2,0,0,19000.0,9500.0,2018-01-25,2018-07-18
Concord,unknown,C-2-CD,remodel,2,4,4,0,1,18000.0,6000.0,2009-06-01,2025-01-08
Kannapolis,residential,R1,upfit,2,2,2,0,0,17000.0,8500.0,2014-07-03,2021-05-26
Kannapolis,commercial,CC,extra_feature,2,2,2,0,0,16000.0,8000.0,2022-03-11,2023-05-25
Mt. Pleasant,unknown,CZ-RH,demolition,2,2,2,0,0,16000.0,8000.0,2015-09-25,2015-10-27
Cabarrus County / Unincorporated,commercial,LC-SU,residential_manufactored_home,2,2,1,0,0,15000.0,15000.0,2014-12-17,2022-05-23
Kannapolis,unknown,PD,extra_feature,2,2,2,0,0,14000.0,7000.0,2024-01-02,2024-01-02
Kannapolis,agricultural,AG,demolition,2,2,2,0,0,11500.0,5750.0,2016-11-02,2021-11-04
Cabarrus County / Unincorporated,office,OI,out_building,2,2,2,0,0,10500.0,5250.0,2017-01-17,2018-04-12
Harrisburg,residential,RE,demolition,2,2,2,0,0,10500.0,5250.0,2015-02-05,2020-08-06
Midland,unknown,R/OMT,demolition,2,2,2,0,0,8500.0,4250.0,2014-05-27,2016-10-20
Harrisburg,mixed_use,PUD,addition_residential,2,2,2,0,0,8350.0,4175.0,2015-09-28,2020-10-13
Concord,unknown,RC-CU,out_building,2,2,2,0,0,7475.0,3737.5,2020-08-28,2021-07-13
Midland,unknown,CIV,demolition,2,2,1,0,0,7200.0,7200.0,2017-11-21,2017-11-21
Midland,unknown,OM,demolition,2,2,2,0,0,7000.0,7000.0,2017-02-09,2021-05-12
Midland,unknown,TNDO-CZ,extra_feature,2,2,2,0,0,7000.0,3500.0,2025-02-26,2025-10-20
Mt. Pleasant,unknown,CZ-R-M,other,2,2,2,0,0,6995.0,3497.5,2020-12-04,2024-07-03
Kannapolis,residential,R8-CZ,extra_feature,2,2,2,0,0,6600.0,3300.0,2024-05-08,2025-06-05
Concord,unknown,O-I-CD,addition_residential,2,2,1,0,0,5500.0,2750.0,2016-02-25,2022-04-19
Kannapolis,unknown,PD-TND,demolition,2,2,1,0,0,5000.0,5000.0,2016-12-28,2018-10-29
Kannapolis,unknown,PD,addition_residential,2,2,2,0,0,4500.0,2250.0,2023-02-21,2025-08-19
Harrisburg,office,OI,comm_extra_features,2,2,2,0,0,3800.0,1900.0,2014-10-10,2025-12-12
Cabarrus County / Unincorporated,commercial,GC,extra_feature,2,3,3,0,1,3393.0,1131.0,2023-01-20,2023-07-17
Concord,mixed_use,MX-NC,other,2,2,1,0,0,2000.0,2000.0,2014-02-26,2021-09-16
Mt. Pleasant,office,OI,comm_extra_features,2,2,1,0,0,2000.0,1000.0,2014-10-10,2014-12-17
Midland,industrial,IND,upfit,2,2,1,0,0,0.0,0.0,2023-08-17,2024-06-07
Cabarrus County / Unincorporated,commercial,GC,remodel,2,3,3,0,1,,,2003-09-01,2009-07-01
Cabarrus County / Unincorporated,residential,MDR-SU,other,2,2,2,0,0,,,2008-08-01,2010-07-08
Concord,unknown,B-1,new_construction,2,2,2,0,0,,,2002-01-01,2010-05-07
Concord,unknown,C-1-CD,new_construction,2,2,1,0,0,,,2016-03-03,2016-03-03
Concord,unknown,O-I-CU,other,2,2,1,0,0,,,2002-04-01,2013-06-21
Concord,residential,RV-CD,,2,2,2,0,0,,,,
Harrisburg,residential,CZ-RE,other,2,2,2,0,0,,,2012-02-06,2012-05-24
Harrisburg,residential,RE,residential_manufactored_home,2,2,2,0,0,,,2015-12-02,2016-04-14
Harrisburg,residential,RE,commercial_new_construction,2,2,1,0,0,,,2004-06-01,2004-09-01
Kannapolis,unknown,O-I,commercial_new_construction,2,2,1,0,0,,,2007-04-01,2013-02-08
Mt. Pleasant,office,OI,remodel,2,2,1,0,0,,,2010-07-14,2010-07-14
Mt. Pleasant,residential,RL,commercial_new_construction,2,2,2,0,1,,,2003-05-01,2004-06-01
Kannapolis,industrial,LI-CZ,out_building,1,1,1,0,0,28640211.0,28640211.0,2021-09-07,2021-09-07
Kannapolis,unknown,CD-CZ,commercial_addition,1,1,1,0,0,3330060.0,3330060.0,2018-04-25,2018-04-25
Concord,unknown,I-2-CD,commercial_addition,1,1,1,0,0,2447500.0,2447500.0,2020-12-09,2020-12-09
Concord,unknown,I-2-CU,commercial_addition,1,1,1,0,0,1996729.0,1996729.0,2024-12-09,2024-12-09
Harrisburg,mixed_use,CZ-CC,upfit,1,1,1,0,0,1647904.0,1647904.0,2022-06-22,2022-06-22
Harrisburg,commercial,GC,addition_residential,1,1,1,0,0,1518853.0,1518853.0,2020-06-29,2020-06-29
Mt. Pleasant,residential,RH,commercial_new_construction,1,1,1,0,0,1500000.0,1500000.0,2025-10-02,2025-10-02
Harrisburg,unknown,CZ-GC,commercial_new_construction,1,1,1,0,0,1487828.24,1487828.24,2024-09-18,2024-09-18
Concord,residential,RM-1,commercial_addition,1,2,2,0,1,1216000.0,608000.0,2022-09-22,2022-09-22
Harrisburg,mixed_use,PUD,commercial_addition,1,1,1,0,0,1094796.0,1094796.0,2017-08-02,2017-08-02
Harrisburg,residential,RE,commercial_addition,1,1,1,0,0,929598.0,929598.0,2024-05-28,2024-05-28
Midland,industrial,IND,extra_feature,1,1,1,0,0,877390.0,877390.0,2021-02-09,2021-02-09
Harrisburg,unknown,NC,commercial_new_construction,1,1,1,0,0,778376.14,778376.14,2023-08-07,2023-08-07
Midland,unknown,MSP,commercial_new_construction,1,1,1,0,0,718000.0,718000.0,2016-06-21,2016-06-21
Concord,unknown,I-1-CD,remodel,1,1,1,0,0,670000.0,670000.0,2023-01-24,2023-01-24
Concord,unknown,C-1,commercial_addition,1,1,1,0,0,656410.0,656410.0,2021-06-02,2021-06-02
Harrisburg,residential,CZ-RM,commercial_new_construction,1,1,1,0,0,650523.0,650523.0,2025-02-19,2025-02-19
Concord,unknown,PID,commercial_addition,1,1,1,0,0,644828.0,644828.0,2020-11-19,2020-11-19
Kannapolis,unknown,C-1,commercial_addition,1,1,1,0,0,600000.0,600000.0,2018-10-22,2018-10-22
Kannapolis,commercial,GC-CZ,new_construction,1,2,2,0,1,570000.0,285000.0,2016-06-24,2016-06-24
Midland,agricultural,AG,upfit,1,3,3,0,1,543000.0,181000.0,2021-02-16,2021-02-16
Concord,unknown,RC-CU,commercial_new_construction,1,1,1,0,0,499770.0,499770.0,2023-01-09,2023-01-09
Mt. Pleasant,unknown,I-1,commercial_addition,1,1,1,0,0,469600.0,469600.0,2022-07-15,2022-07-15
Concord,mixed_use,MX-NC,upfit,1,1,1,0,0,450000.0,450000.0,2022-03-07,2022-03-07
Concord,residential,RE,upfit,1,1,1,0,0,418700.0,418700.0,2025-09-10,2025-09-10
Harrisburg,industrial,EC,extra_feature,1,1,1,0,0,414691.0,414691.0,2019-02-14,2019-02-14
Concord,residential,RL,residential_modular,1,1,1,0,0,330000.0,330000.0,2021-08-25,2021-08-25
Kannapolis,agricultural,R18-CZ,commercial_new_construction,1,1,1,0,0,308000.0,308000.0,2022-06-24,2022-06-24
Kannapolis,commercial,GC,comm_extra_features,1,1,1,0,0,304000.0,304000.0,2020-12-11,2020-12-11
Concord,residential,RM-2-CD,commercial_new_construction,1,1,1,0,0,297000.0,297000.0,2015-10-20,2015-10-20
Concord,unknown,RC,residential_modular,1,2,2,0,1,280000.0,140000.0,2015-11-19,2015-11-19
Cabarrus County / Unincorporated,industrial,GI-SU,commercial_new_construction,1,1,1,0,0,250000.0,250000.0,2024-07-08,2024-07-08
Kannapolis,office,O-I,commercial_addition,1,1,1,0,0,250000.0,250000.0,2020-05-20,2020-05-20
Harrisburg,residential,CZ-RL,comm_extra_features,1,1,1,0,0,231894.0,231894.0,2017-04-26,2017-04-26
Harrisburg,unknown,CZ-RL,residential_modular,1,1,1,0,0,225000.0,225000.0,2023-03-09,2023-03-09
Harrisburg,unknown,CZ-RL,new_construction,1,1,1,0,0,225000.0,225000.0,2022-10-10,2022-10-10
Concord,unknown,C-1-CU,other,1,1,1,0,0,218000.0,218000.0,2021-02-19,2021-02-19
Midland,industrial,IND,demolition,1,1,1,0,0,215000.0,215000.0,2021-01-20,2021-01-20
Cabarrus County / Unincorporated,industrial,LI-SU,extra_feature,1,1,1,0,0,200000.0,200000.0,2023-02-01,2023-02-01
Concord,unknown,I-2,comm_extra_features,1,1,1,0,0,200000.0,200000.0,2017-03-17,2017-03-17
Concord,unknown,PRD,comm_extra_features,1,1,1,0,0,198000.0,198000.0,2018-11-01,2018-11-01
Harrisburg,residential,CZ-RH,moved_structure,1,1,1,0,0,196450.0,196450.0,2018-06-01,2018-06-01
Kannapolis,agricultural,AG,residential_modular,1,1,1,0,0,196000.0,196000.0,2024-02-16,2024-02-16
Midland,agricultural,AG,residential_manufactored_home,1,2,2,0,1,191422.0,95711.0,2024-09-12,2024-09-12
Harrisburg,residential,CZ-RM,moved_structure,1,1,1,0,0,190000.0,190000.0,2021-02-03,2021-02-03
Kannapolis,residential,R8-CZ,comm_extra_features,1,1,1,0,0,190000.0,190000.0,2023-03-14,2023-03-14
Mt. Pleasant,residential,RL,residential_modular,1,1,1,0,0,175800.0,175800.0,2017-06-02,2017-06-02
Concord,unknown,O-I-CU,upfit,1,1,1,0,0,175000.0,175000.0,2019-11-12,2019-11-12
Harrisburg,industrial,EC,new_construction,1,1,1,0,0,168373.0,168373.0,2022-01-12,2022-01-12
Kannapolis,residential,R4-CZ,moved_structure,1,1,1,0,0,160985.0,160985.0,2021-11-01,2021-11-01
Kannapolis,office,R4,new_construction,1,1,1,0,0,160000.0,160000.0,2023-10-26,2023-10-26
Harrisburg,office,OI,commercial_addition,1,1,1,0,0,150000.0,150000.0,2017-05-04,2017-05-04
Concord,unknown,RC-CD,comm_extra_features,1,1,1,0,0,145000.0,145000.0,2023-05-16,2023-05-16
Locust,unknown,CBI,commercial_new_construction,1,1,1,0,0,140000.0,140000.0,2021-01-19,2021-01-19
Harrisburg,residential,RL,moved_structure,1,1,1,0,0,125000.0,125000.0,2018-08-15,2018-08-15
Kannapolis,office,R8,new_construction,1,1,1,0,0,125000.0,125000.0,2025-10-02,2025-10-02
Midland,unknown,OM,new_construction,1,1,1,0,0,121500.0,121500.0,2025-09-23,2025-09-23
Cabarrus County / Unincorporated,residential,HDR,residential_modular,1,1,1,0,0,119000.0,119000.0,2022-01-04,2022-01-04
Concord,residential,R-CO,moved_structure,1,1,1,0,0,110800.0,110800.0,2018-01-16,2018-01-16
Mt. Pleasant,unknown,CZ-C-2,commercial_addition,1,1,1,0,0,110000.0,110000.0,2014-11-14,2014-11-14
Concord,unknown,RC,moved_structure,1,1,1,0,0,105000.0,105000.0,2017-04-05,2017-04-05
Concord,unknown,C-2-CD,extra_feature,1,1,1,0,0,103000.0,103000.0,2021-02-16,2021-02-16
Kannapolis,residential,R1,residential_modular,1,1,1,0,0,102000.0,102000.0,2018-03-07,2018-03-07
Cabarrus County / Unincorporated,agricultural,AO-CU,other,1,1,1,0,0,100000.0,100000.0,2022-07-15,2022-07-15
Cabarrus County / Unincorporated,office,OI,new_construction,1,1,1,0,0,100000.0,100000.0,2018-07-11,2018-07-11
Concord,unknown,C-2-CU,demolition,1,1,1,0,0,100000.0,100000.0,2021-10-29,2021-10-29
Kannapolis,unknown,PD-TND,comm_extra_features,1,1,1,0,0,96936.0,96936.0,2019-12-23,2019-12-23
Kannapolis,mixed_use,MU-N,commercial_addition,1,1,1,0,0,96000.0,96000.0,2019-01-18,2019-01-18
Concord,unknown,RC-CU,comm_extra_features,1,1,1,0,0,91000.0,91000.0,2025-08-19,2025-08-19
Kannapolis,unknown,PD-TND,moved_structure,1,1,1,0,0,88800.0,88800.0,2017-04-04,2017-04-04
Concord,residential,RE,extra_feature,1,1,1,0,0,88573.0,88573.0,2021-04-19,2021-04-19
Mt. Pleasant,unknown,CZ-C-2,remodel,1,1,1,0,0,83127.0,83127.0,2021-05-26,2021-05-26
Cabarrus County / Unincorporated,residential,CR,comm_extra_features,1,1,1,0,0,82926.0,82926.0,2022-03-25,2022-03-25
Cabarrus County / Unincorporated,residential,HDR-SU,out_building,1,1,1,0,0,80000.0,80000.0,2014-07-09,2014-07-09
Concord,unknown,TND,comm_extra_features,1,1,1,0,0,80000.0,80000.0,2015-07-09,2015-07-09
Kannapolis,residential,R8,moved_structure,1,1,1,0,0,80000.0,80000.0,2019-05-28,2019-05-28
Mt. Pleasant,unknown,C-1,addition_residential,1,1,1,0,0,80000.0,80000.0,2018-06-12,2018-06-12
Locust,unknown,OPS,remodel,1,1,1,0,0,76000.0,76000.0,2021-08-23,2021-08-23
Harrisburg,unknown,CZ-GC,other,1,1,1,0,0,70000.0,70000.0,2025-04-16,2025-04-16
Kannapolis,residential,R4,moved_structure,1,1,1,0,0,70000.0,70000.0,2021-07-14,2021-07-14
Mt. Pleasant,commercial,CC,addition_residential,1,1,1,0,0,70000.0,70000.0,2021-07-23,2021-07-23
Harrisburg,office,CZ-OI,upfit,1,1,1,0,0,69900.0,69900.0,2025-04-02,2025-04-02
Harrisburg,residential,CZ-RE,extra_feature,1,2,2,0,1,58000.0,29000.0,2014-12-15,2014-12-15
Kannapolis,residential,R2,out_building,1,1,1,0,0,57000.0,57000.0,2018-08-20,2018-08-20
Midland,unknown,CIV,new_construction,1,1,1,0,0,55000.0,55000.0,2017-10-13,2017-10-13
Midland,industrial,IND,commercial_addition,1,1,1,0,0,55000.0,55000.0,2025-05-05,2025-05-05
Harrisburg,commercial,GC,commercial_addition,1,1,1,0,0,50000.0,50000.0,2016-01-13,2016-01-13
Cabarrus County / Unincorporated,office,OI-SU,remodel,1,1,1,0,0,45000.0,45000.0,2022-10-25,2022-10-25
Cabarrus County / Unincorporated,office,OI-SU,upfit,1,1,1,0,0,45000.0,45000.0,2023-03-02,2023-03-02
Concord,unknown,O-I-CD,extra_feature,1,1,1,0,0,43350.0,43350.0,2022-01-14,2022-01-14
Locust,unknown,CBI,upfit,1,1,1,0,0,40000.0,40000.0,2021-03-24,2021-03-24
Midland,unknown,SFR,comm_extra_features,1,1,1,0,0,35981.6,35981.6,2025-03-20,2025-03-20
Concord,unknown,RC,personal_property,1,1,1,0,0,35000.0,35000.0,2021-01-28,2021-01-28
Mt. Pleasant,office,OI,commercial_addition,1,1,1,0,0,35000.0,35000.0,2025-11-13,2025-11-13
Harrisburg,industrial,EC,out_building,1,1,1,0,0,34187.0,34187.0,2020-10-07,2020-10-07
Harrisburg,commercial,GC,demolition,1,1,1,0,0,30000.0,30000.0,2016-06-27,2016-06-27
Kannapolis,residential,R1,moved_structure,1,1,1,0,0,30000.0,30000.0,2025-04-07,2025-04-07
Mt. Pleasant,unknown,C-1,commercial_addition,1,1,1,0,0,30000.0,30000.0,2016-07-08,2016-07-08
Kannapolis,unknown,O-I,upfit,1,1,1,0,0,29000.0,29000.0,2015-05-07,2015-05-07
Kannapolis,unknown,CD-R,upfit,1,1,1,0,0,28693.0,28693.0,2016-08-15,2016-08-15
Cabarrus County / Unincorporated,office,OI,residential_manufactored_home,1,1,1,0,0,28000.0,28000.0,2016-09-19,2016-09-19
Cabarrus County / Unincorporated,residential,MDR-SU,extra_feature,1,1,1,0,0,27000.0,27000.0,2017-03-14,2017-03-14
Mt. Pleasant,agricultural,AG,commercial_new_construction,1,1,1,0,0,27000.0,27000.0,2022-06-15,2022-06-15
Cabarrus County / Unincorporated,agricultural,AO,comm_extra_features,1,1,1,0,1,25000.0,25000.0,2020-07-17,2020-07-17
