official_parcel_id,objectid_1,pin14,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,governance_warning_categories,permit_count,first_permit_date,latest_permit_date,permit_type_count,total_permit_amount,co_date_future_outlier_count
CFS-PARCEL-0149734312,149734312,46805332680000,review,ultra_high,commercial_large,Concord,RL,residential,high,"['review_multi_jurisdiction', 'review_sliver_overlap']",12,2008-01-01,2024-07-02,3,493439.35,0
CFS-PARCEL-0149804453,149804453,56205758410000,trusted,luxury,estate,Concord,C-2-CD,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2010-07-08,2024-05-02,4,1638750.0,0
CFS-PARCEL-0149820886,149820886,56230408030000,review,luxury,estate,Kannapolis,GC,commercial,high,['review_sliver_overlap'],12,2006-10-01,2024-03-21,3,352772.0,0
CFS-PARCEL-0149741092,149741092,46907973010000,trusted,ultra_high,commercial_large,Kannapolis,CD,unknown,high,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2014-05-02,2024-02-08,4,10267330.0,0
CFS-PARCEL-0149784354,149784354,56015640740000,trusted,ultra_high,commercial_large,Concord,I-1,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2014-11-21,2023-09-19,3,2389354.0,0
CFS-PARCEL-0149740820,149740820,46834621220000,trusted,luxury,estate,Cabarrus County / Unincorporated,AO,agricultural,high,['safe_for_dashboard'],12,2014-11-03,2023-07-20,4,505750.0,0
CFS-PARCEL-0149734339,149734339,46724076740000,trusted,luxury,residential_standard,Kannapolis,GC,commercial,medium,['safe_for_dashboard'],12,2007-10-01,2023-04-06,3,319700.0,0
CFS-PARCEL-0149767429,149767429,55349823130000,review,high,commercial_large,Midland,SFR,unknown,medium,"['review_multi_jurisdiction', 'jurisdiction_code_semantics_review']",12,2014-05-08,2023-03-02,3,137478.0,0
CFS-PARCEL-0149735896,149735896,46806495590000,trusted,ultra_high,commercial_large,Concord,I-2-CD,unknown,high,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2017-08-02,2023-01-24,3,12222843.73,0
CFS-PARCEL-0149776844,149776844,55555161510000,trusted,ultra_high,commercial_large,Midland,C24/27,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2016-09-22,2022-10-12,4,3728900.0,0
CFS-PARCEL-0149735746,149735746,46806049020000,trusted,luxury,estate,Concord,I-2-CU,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2008-04-01,2022-09-16,3,1894533.0,0
CFS-PARCEL-0149726514,149726514,45894593980000,trusted,ultra_high,estate,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],12,2008-04-01,2022-07-07,5,305100.0,0
CFS-PARCEL-0149796352,149796352,56129682520000,trusted,ultra_high,commercial_large,Kannapolis,R18,residential,medium,['safe_for_dashboard'],12,2019-06-24,2021-05-24,2,8317486.0,0
CFS-PARCEL-0149807133,149807133,56211853700000,trusted,luxury,residential_standard,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],12,2014-01-13,2016-04-14,3,2172985.0,0
CFS-PARCEL-0149790287,149790287,56109294590000,review,ultra_high,estate,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",12,2004-02-01,2016-01-15,4,161840.0,0
CFS-PARCEL-0149731066,149731066,46718136990000,review,luxury,commercial_large,Cabarrus County / Unincorporated,LDR,residential,medium,"['review_multi_jurisdiction', 'review_sliver_overlap']",11,2015-11-24,2025-11-19,2,140500.0,0
CFS-PARCEL-0149734624,149734624,46803324860000,review,low,residential_standard,Concord,O-I,unknown,high,['jurisdiction_code_semantics_review'],11,2025-08-15,2025-10-15,3,2685751.83,0
CFS-PARCEL-0149775786,149775786,55484416580000,review,luxury,commercial_large,Cabarrus County / Unincorporated,LDR,residential,high,['safe_for_dashboard'],11,2018-04-18,2025-10-13,2,307211.0,0
CFS-PARCEL-0149733296,149733296,46733930650000,trusted,medium,estate,Cabarrus County / Unincorporated,AO,agricultural,high,['safe_for_dashboard'],11,2017-03-24,2025-07-25,2,189508.0,0
CFS-PARCEL-0149811553,149811553,56223393280000,review,luxury,estate,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",11,2008-01-01,2025-07-11,3,1205419.0,0
CFS-PARCEL-0149808295,149808295,56211827970000,review,luxury,residential_standard,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],11,2008-02-01,2025-05-29,4,560883.0,0
CFS-PARCEL-0149791320,149791320,56108217340000,trusted,luxury,residential_standard,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],11,2016-04-07,2025-05-22,3,1252047.0,0
CFS-PARCEL-0149813847,149813847,56209703770000,review,ultra_high,residential_standard,Concord,CC,commercial,high,['safe_for_dashboard'],11,2018-01-02,2025-03-11,4,17957322.0,0
CFS-PARCEL-0149813848,149813848,56209703770000,review,ultra_high,residential_standard,Concord,CC,commercial,high,['safe_for_dashboard'],11,2018-01-02,2025-03-11,4,17957322.0,0
CFS-PARCEL-0149821457,149821457,56345033580000,trusted,luxury,commercial_large,Cabarrus County / Unincorporated,LC,commercial,high,['review_sliver_overlap'],11,2005-06-01,2025-01-31,2,447000.0,0
CFS-PARCEL-0149803148,149803148,56146088720001,trusted,ultra_high,residential_standard,Kannapolis,CC,commercial,high,['safe_for_dashboard'],11,2013-12-13,2025-01-21,2,7736515.0,0
CFS-PARCEL-0149749222,149749222,55078667140000,trusted,ultra_high,estate,Harrisburg,GC,commercial,high,['safe_for_dashboard'],11,2011-06-17,2024-12-12,3,4427115.0,0
CFS-PARCEL-0149811694,149811694,56224251290000,trusted,ultra_high,commercial_large,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",11,2008-03-01,2024-12-03,3,36177458.0,0
CFS-PARCEL-0149727236,149727236,45990322710000,trusted,luxury,residential_standard,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],11,2006-01-01,2024-09-03,2,235054.0,0
CFS-PARCEL-0149782442,149782442,55441611820000,trusted,luxury,commercial_large,Midland,CIV,unknown,medium,['jurisdiction_code_semantics_review'],11,2014-05-21,2024-07-29,4,284529.73,0
CFS-PARCEL-0149783059,149783059,56008278680000,review,ultra_high,commercial_large,Concord,O-I,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",11,2007-01-01,2024-07-02,4,1600280.0,0
CFS-PARCEL-0149801986,149801986,56138924070000,review,ultra_high,estate,Kannapolis,R8,residential,high,['safe_for_dashboard'],11,2005-10-01,2024-04-24,3,269000.0,0
CFS-PARCEL-0149786549,149786549,56026051100000,review,ultra_high,commercial_large,Kannapolis,R18,residential,high,['review_sliver_overlap'],11,2009-01-01,2023-11-07,2,60999.98,0
CFS-PARCEL-0149790275,149790275,56108888920000,trusted,ultra_high,commercial_large,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],11,2010-07-14,2023-10-20,5,2175418.0,0
CFS-PARCEL-0149788068,149788068,55685723050000,review,luxury,commercial_large,Cabarrus County / Unincorporated,CR,residential,high,['safe_for_dashboard'],11,2014-09-12,2023-07-03,3,60000.0,0
CFS-PARCEL-0149784187,149784187,56012731800000,review,luxury,estate,Kannapolis,LI,industrial,high,['review_sliver_overlap'],11,2014-06-13,2023-06-26,3,513010.0,0
CFS-PARCEL-0149726700,149726700,45899165350000,trusted,ultra_high,estate,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],11,2007-09-01,2023-06-01,4,113129.0,0
CFS-PARCEL-0149741759,149741759,46919079970000,review,ultra_high,commercial_large,Kannapolis,CD,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",11,2002-05-14,2022-07-18,3,5584300.0,0
CFS-PARCEL-0149741760,149741760,46919079970000,review,ultra_high,commercial_large,Kannapolis,CD,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",11,2002-05-14,2022-07-18,3,5584300.0,0
CFS-PARCEL-0149741761,149741761,46919079970000,review,ultra_high,commercial_large,Kannapolis,CD,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",11,2002-05-14,2022-07-18,3,5584300.0,0
CFS-PARCEL-0149776457,149776457,55498074420000,review,ultra_high,commercial_large,Cabarrus County / Unincorporated,OI,office,high,['safe_for_dashboard'],11,2009-07-01,2022-03-14,5,60015.0,0
CFS-PARCEL-0149764413,149764413,55292044970000,trusted,ultra_high,extreme_large,Cabarrus County / Unincorporated,LI,industrial,high,"['review_multi_jurisdiction', 'review_sliver_overlap']",11,2010-02-09,2021-08-27,3,784300.4,0
CFS-PARCEL-0149815459,149815459,56240049960000,trusted,ultra_high,estate,Kannapolis,GC,commercial,high,['review_sliver_overlap'],11,2012-12-06,2021-07-26,3,204850.0,0
CFS-PARCEL-0149741907,149741907,46919871380000,trusted,luxury,residential_standard,Kannapolis,CD,unknown,medium,['jurisdiction_code_semantics_review'],11,2006-11-01,2021-07-06,2,40550.0,0
CFS-PARCEL-0149828568,149828568,56802257450000,review,medium,commercial_large,Cabarrus County / Unincorporated,AO,agricultural,high,['safe_for_dashboard'],10,2008-09-01,2025-12-31,3,174500.0,0
