subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
WELLINGTON CHASE PH 2B MAP 1,26,10.64,0,0.4092
WILDWOOD ESTATES,26,15.83,0,0.6088
WINDING WALK PH 4 MAP 3,26,6.23,0,0.2397
WINDING WALK PHASE 2 MAP 4,26,15.87,0,0.6104
YATES MEADOW SUBDIVISION P/O PHASE III,26,8.1,0,0.3117
ABBINGTON PH 4 MAP 2,25,9.1,0,0.3641
BLUME PH5,25,8.36,0,0.3345
BRIDGE POINTE PHASE 4 MAP 1,25,12.45,0,0.4979
BROOKEDALE COMMONS PH 2 MAP 6,25,5.38,0,0.2152
CANNON HOLDING CORP,25,9.39,0,0.3755
FOREST GLEN,25,9.96,0,0.3985
HOLCOMB WOODS PH1 MP2,25,10.38,0,0.4151
HOLCOMB WOODS PH1 MP4,25,30.39,0,1.2157
HOLCOMB WOODS PH1 MP5 REV,25,4.42,0,0.1769
OAKDALE PARK,25,6.93,0,0.2772
OAKLEAF CONDOS SEC 2,25,1.48,0,0.0591
"OXFORD COMMONS MAP 2 BUILDINGS 102, 103, 208 & 232",25,2.83,0,0.1133
"OXFORD COMMONS MAP 3 BUILDINGS 206, 209-211 & 230",25,3.32,0,0.1328
PINE CREEK,25,39.13,0,1.5653
POPLAR COVE,25,5.9,0,0.2361
WELLINGTON CHASE PH 4 MAP 2,25,5.57,0,0.2228
WINDING WALK PH 4 MAP 2,25,6.02,0,0.2409
ABBINGTON PH 6 MAP 2,24,8.68,0,0.3618
ABBINGTON PH 6 MP 8,24,9.28,0,0.3867
CAMBROOK,24,5.72,0,0.2382
"CHRISTENBURY LAND INVESTMENTS, LLC",24,5.26,0,0.219
COURTYARDS AT HARRISBURG PH II,24,4.79,0,0.1998
DOMINION CREST AT HIGHLAND CREEK PH 1 MAP 2,24,4.45,0,0.1855
GARDEN TOWNHOMES,24,1.05,0,0.0439
LAKE HAVEN ESTATES,24,32.1,0,1.3374
OAKLEAF CONDOS SEC 1,24,1.51,0,0.0629
SADDLEBROOK PH 1 MAP 8,24,6.21,0,0.2589
SIDNEYS GROVE,24,10.32,0,0.4299
STONEHAVEN,24,8.4,0,0.35
THE VILLAGES AT SKYBROOK NORTH PH 1 MAP 8,24,5.1,0,0.2123
TRINITY WOODS,24,59.96,0,2.4984
WESLEY PARK,24,17.5,0,0.7291
WOODSDALE PL SE,24,4.75,0,0.198
ABBINGTON PH 6 MAP 6,23,8.6,0,0.3738
BEAVERS COVE,23,5.93,0,0.2578
BROOKEDALE COMMONS PH 1 M1,23,6.06,0,0.2635
CHRISTENBURY GLEN MAP 1,23,10.93,0,0.4754
Dominion Hills at Highland Creek,23,5.63,0,0.2447
FARMINGTON PH1 REVISED,23,1.38,0,0.0598
HILLSIDE ST TOWNHOMES,23,2.24,0,0.0974
LITCHFIELD VILLAGE S/D PH2 MAP1,23,7.08,0,0.308
OXFORD COMMONS MAP 5 BLDGS 203-205 & 233,23,3.0,0,0.1305
ROYAL OAKS,23,15.45,0,0.6718
WATERFORD ON THE ROCKY RIVER PH 3 MAP 4,23,6.12,0,0.2659
BETHEL GLEN PH II-M-3,22,5.7,0,0.2591
BETHEL GLEN PH III MAP 2,22,9.42,0,0.4281
BRANCHVIEW SQUARE,22,1.96,0,0.0891
BROOKEDALE COMMONS PH 2 MAP 5,22,7.06,0,0.3207
DEER RUN,22,41.59,0,1.8907
FOREST PARK,22,4.04,0,0.1835
KENSINGTON FOREST PH 2 M 3,22,9.24,0,0.4198
OVERBROOK MANOR,22,17.41,0,0.7916
PELHEM POINTE PH 2 MAP 1,22,3.9,0,0.1774
REALTICORP,22,109.86,0,4.9934
SADDLEBROOK PH 1 M 4,22,5.14,0,0.2336
THE FARM AT RIVERPOINTE PH 4B MAP 1,22,3.36,0,0.1525
TRIECES HEIGHTS,22,7.35,0,0.3339
WATERFORD ON THE ROCKY RIVER PH 2A MAP 3,22,7.44,0,0.3383
CANTERFIELD ESTATES EAST PH 2 M 4,21,4.07,0,0.1938
CASTLEBROOKE PH 2 MAP 1,21,4.47,0,0.2129
CITY VIEW,21,4.75,0,0.2264
CLIFFDWELLERS CONDOS,21,1.08,0,0.0515
CMS INDUSTRIAL PARK,21,33.14,0,1.578
FULLERTON PLACE PH 3 MAP 2,21,3.1,0,0.1475
GLENGROVE PH 2 PH 12 MAP 1,21,4.86,0,0.2313
HADDINGTON ESTATES,21,11.27,0,0.5365
HANNAH'S MEADOW PH1,21,7.33,0,0.3489
HOLCOMB WOODS PH2 MP4,21,8.94,0,0.4257
HUGH HILL,21,6.32,0,0.3007
ODELL BUSINESS CENTER CONDOMINIUM,21,1.03,0,0.049
PELHEM POINTE PH 3 MAP 1,21,6.53,0,0.3109
SADDLEBROOK SUBDIVISION PH1 MP9,21,5.54,0,0.264
TARLTON DOWNS,21,2.53,0,0.1204
TRINITY CREST PH 2 MP 2,21,7.4,0,0.3524
TURNER PLANTATION,21,103.58,0,4.9323
WATERFORD ON THE ROCKY RIVER PH 3 MAP 3,21,4.93,0,0.2346
ALLYTIN HEIGHTS,20,4.11,0,0.2053
BEDFORD FARMS PH 2 MAP 1,20,7.44,0,0.372
BROOKEDALE COMMONS PH 1 M 2,20,5.34,0,0.2672
CANDLEBERRY,20,5.24,0,0.2618
CHRISTENBURY CHASE PH 4 MAP 1,20,5.33,0,0.2663
F W GLASS ESTATE,20,10.3,0,0.5148
FARMINGTON RIDGE MAP 11,20,0.81,0,0.0406
HAMPDEN VILLAGE PH2 MP1,20,5.35,0,0.2677
HEARTHWOOD PH 2 MAP 1,20,14.06,0,0.7031
LAUREL PARK PH 4,20,7.01,0,0.3504
LAUREL PARK PHASE 4 MAP 2 SHEET 2,20,6.17,0,0.3087
MCMANUS MEADOWS,20,34.41,0,1.7203
MEADOWBROOK CONDOS,20,2.85,0,0.1424
PARK VIEW ESTATES PH3 MP2,20,4.22,0,0.2108
PARKSIDE AT SKYBROOK NORTH PH 3 MAP 3,20,5.41,0,0.2707
RIVERBEND CONDOS SEC 1,20,14.49,0,0.7246
SADDLEBROOK S/D PH 1 MAP 11,20,3.8,0,0.1901
SHAMROCK CREEK,20,7.99,0,0.3994
SHERWOOD HILLS,20,6.07,0,0.3036
THE HAVEN AT ROCKY RIVER MP2,20,3.59,0,0.1794
THE MILLS PH 5 MP1,20,2.8,0,0.14
TREE TOP,20,5.96,0,0.298
TRINITY CREST S/D MAP 2,20,7.6,0,0.3801
TUCKER CHASE MAP 5,20,5.8,0,0.29
WELLINGTON CHASE PH 3A MAP 2,20,4.77,0,0.2386
WHITEFIELD MANOR,20,13.0,0,0.6498
WOODCREST PARK,20,5.2,0,0.2602
WOODMORE,20,11.64,0,0.5818
BRIDGE POINTE PH I MAP 1,19,7.66,0,0.403
BROOKEDALE COMMONS PH 1 M 3,19,5.21,0,0.2743
CENTRAL HEIGHTS,19,11.43,0,0.6017
DOMINION GLEN AT HIGHLAND CREEK PH 5 MAP 5,19,5.34,0,0.281
DOVE FIELD,19,143.36,0,7.5451
FARMINGTON RIDGE M-6,19,3.97,0,0.2089
FARMINGTON RIDGE MAP 10,19,2.26,0,0.1191
GLENGROVE SUBDIVISION PH4 MAP2,19,5.5,0,0.2894
HAWTHORNE PH 3 MAP 1,19,6.93,0,0.3647
HOLCOMB WOODS PH2 MP6,19,8.96,0,0.4717
IDLEWILDE ACRES,19,39.78,0,2.0938
LONGFIELD (CALDWELL) TOWNHOMES,19,1.99,0,0.1045
MAGNOLIA SPRINGS PH1 MAP6,19,14.13,0,0.7436
OAK RIDGE (GLENMORE),19,4.37,0,0.2301
PARK VIEW ESTATES PH1 MP6,19,4.19,0,0.2206
PARK VIEW ESTATES PH2 MP1,19,4.04,0,0.2128
RIDGEVIEW CONDOS PH 1,19,0.36,0,0.0189
Settlers Ridge Ph 2,19,3.37,0,0.1775
SETTLERS RIDGE PH 3 MAP 1,19,4.62,0,0.243
SETTLERS RIDGE PH I,19,3.63,0,0.1908
TUCKER CHASE MAP 1,19,6.23,0,0.328
TUCKER CHASE MAP 3,19,7.61,0,0.4007
WILLOW WOODS,19,2.1,0,0.1105
ABBINGTON PH 1- MAP 3,18,10.15,0,0.5638
BRIDGE POINTE PH5 MP2,18,6.8,0,0.3781
CARPENTER INDUSTRIAL,18,34.08,0,1.8932
CASTLEBROOKE MANOR S/D PH 1 MAP 2,18,4.35,0,0.2414
CONDOS @ HARRISBURG TOWN CENTER BLDG #1 LT 78,18,0.24,0,0.0131
CONDOS @ HARRISBURG TOWN CENTER BLDG 2 LT 79,18,0.24,0,0.0131
DOMINION RIDGE,18,4.91,0,0.273
EDISON SQUARE TOWNHOMES PH 1 MAP 1,18,1.3,0,0.0724
EDISON SQUARE TOWNHOMES PH 1 MAP 3,18,1.11,0,0.0619
GLENGROVE SUBDIVISION PHASE 2 PHASE 3,18,4.01,0,0.223
HACKBERRY PLACE,18,5.73,0,0.3182
INTERNATIONAL BUS PK,18,164.86,0,9.1588
JACKSON PARK,18,7.46,0,0.4145
KEENELAND PLACE,18,7.17,0,0.3984
Manchester Place Ph2 Map5,18,4.28,0,0.2378
R V CALDWELL,18,11.93,0,0.6627
RIDGEVIEW CONDOS PH 2,18,0.44,0,0.0246
RIDGEVIEW CONDOS PH 3,18,0.48,0,0.0266
ROSEWOOD TRAIL,18,21.41,0,1.1894
SADDLEBROOK SUBDIVISION PH1 MP10,18,3.84,0,0.2131
WELLINGTON CHASE PH 2A MAP 2,18,8.9,0,0.4945
AFTON VILLAGE,17,10.24,0,0.6021
"AFTON VILLAGE SAVANNAH ROW HOUSES UNITS 4, 5 & 6",17,0.77,0,0.0455
BRAMBLEWOODS,17,13.58,0,0.799
EDGEWOOD TERRACE CONDOS,17,0.91,0,0.0536
EXCHANGE BLDG CONDOMINIUM,17,0.38,0,0.0225
FARMINGTON RIDGE,17,9.22,0,0.5423
FARMINGTON RIDGE M- 9,17,1.69,0,0.0995
FINGERLAKE,17,33.36,0,1.9625
FOUNDERS RESERVE PH 2,17,7.34,0,0.4318
GLENGROVE S/D PH 2 PH 5,17,3.14,0,0.1845
GRAND SABANA,17,53.47,0,3.1454
HEARTHWOOD PH3 MP2,17,10.8,0,0.6356
KANNAPOLIS SUBD SW SEC 5,17,3.3,0,0.1942
LYNNHAVEN ESTATES,17,6.47,0,0.3808
MERIDIAN SUBDIVISION MAP 1,17,8.1,0,0.4763
PROVIDENCE MANOR PHASE 3 MAP 1,17,2.89,0,0.1702
QUADRANGLE COMME,17,55.56,0,3.2685
ROCKLAND,17,6.14,0,0.3612
SADDLEBROOK PH 1 MAP 7,17,3.95,0,0.2323
SETTLERS RIDGE PH 3 MAP 2,17,4.5,0,0.2647
THE FARM AT RIVERPOINTE PH 3C MAP 5,17,3.14,0,0.1846
The Mills Ph 2 Map 1,17,3.81,0,0.2241
THE MILLS PH1 MAP8,17,6.21,0,0.3652
THE MILLS PH2 M2,17,3.99,0,0.2348
THE VILLAGE AT KELLSWATER BRIDGE OF PH 1B MAP6,17,5.35,0,0.3147
W H BLUME ESTATE,17,5.36,0,0.3154
WATERFORD ON THE ROCKY RIVER PH 3 MAP 5,17,4.51,0,0.2652
WESTWOOD HEIGHTS,17,21.68,0,1.2755
WILSHIRE INDUSTRIAL,17,29.67,0,1.7455
ALLEN SUBDIVISION,16,51.09,0,3.1933
Bergerburg,16,3.42,0,0.2138
BEVERLY HILLS,16,12.51,0,0.7817
CANNON CROSSING MAP 6,16,5.93,0,0.3708
CANTERFIELD ESTATES EAST,16,3.06,0,0.1909
CEDAR FIELDS,16,5.86,0,0.3662
CHRISTENBURY GLEN MAP 2,16,5.21,0,0.3256
DOMINION GLEN AT HIGHLAND CREEK PH 5 MAP 7,16,8.07,0,0.5045
EDISON SQUARE TOWNHOMES PH 1 MAP 1 REVISED,16,1.16,0,0.0726
FISHER STREET DEVELOPMENT,16,6.87,0,0.4297
GLENGROVE PH 1 PH 3,16,4.49,0,0.2808
GLENGROVE SUBDIVISION PHASE 2 PHASE 4,16,3.08,0,0.1923
GRANTHAM PH4 MP1,16,7.73,0,0.4831
HAMPDEN VILLAGE RECOMB & CONSERV EASE,16,2.54,0,0.159
HAMPDEN VILLAGE RECOMB & CONSERVATION EASE,16,2.36,0,0.1475
HAWTHORNE PH 2 MAP 2,16,5.38,0,0.336
KELLSWATER PHASE 2A,16,4.93,0,0.308
KENSINGTON FOREST PH-1 M-3,16,6.66,0,0.4165
KENSLEY EAST,16,5.07,0,0.3171
KENTON GLENN TOWNHOMES,16,1.72,0,0.1075
LAUREL PARK PHASE 3,16,6.4,0,0.4
NAPA VALLEY @ MOSS CREEK,16,2.74,0,0.1711
NORTHEAST QUADRANT,16,22.97,0,1.4355
PARK VIEW ESTATES PH2 MP2,16,4.43,0,0.2767
ROBINSON CHURCH (CHARLOTTE),16,11.5,0,0.7186
SLOOP ESTATE AT ROCKY RIVER CROSSING,16,6.11,0,0.3821
THEVLG@KELLSWATER BRIDGE OF PH 1B MAP 4,16,2.9,0,0.1814
WELLINGTON CHASE PH 2A MAP 1,16,6.54,0,0.4088
WIL-MAR PARK,16,17.75,0,1.1093
YATES MEADOW SUBDIVISION PHASE II MAP III,16,4.06,0,0.2536
ABBINGTON PH 6 M 3,15,5.52,0,0.368
AZALEA ESTATES MP 3,15,4.32,0,0.2882
BETHEL GLEN PH II M-4,15,3.8,0,0.2531
BRIDGE POINTE PH5 MP1,15,5.85,0,0.39
BROOKEDALE COMMONS PH 2 MAP 4,15,3.65,0,0.2437
CASTLEBROOKE MANOR S/D PH 1 MAP 1 (REV),15,8.32,0,0.5544
CHRISTENBURY VILLAGE C PH 1,15,11.33,0,0.7556
"CK LAKE POINTE CORP CENTER, LLC",15,130.6,0,8.7067
COUNTRY ROAD,15,14.4,0,0.9597
CRISTIANNA,15,4.12,0,0.2744
DOMINION GLEN AT HIGHLAND CREEK PHASE 5 MAP 6,15,5.26,0,0.3506
EDISON SQUARE TOWNHOMES PH 1 MAP 2,15,1.67,0,0.1113
GLENGROVE SUBDIVISION PH-4 MAP 1,15,3.66,0,0.2439
HALLSTEAD PH2 REVISION,15,2.09,0,0.139
HAWTHORNE SUBDIVISION PH4 MP1,15,5.14,0,0.343
HEARTHWOOD PH 1 MAP 2,15,13.23,0,0.8819
MCLAIN ROAD,15,1.36,0,0.0907
PARK VIEW ESTATES PH 1 MAP 5,15,3.44,0,0.2296
ROCKWOOD,15,4.81,0,0.3207
THE COMMONS AT FARMINGTON-PH2,15,0.81,0,0.0537
THE FARM AT RIVERPOINTE PH 4A MAP1,15,2.22,0,0.148
THE FARM AT RIVERPOINTE PH 4B MAP 4,15,2.35,0,0.1567
THE MILLS PH 1 MAP 2,15,6.18,0,0.4123
THE MILLS PH2 MP7,15,4.7,0,0.3132
TREYBURN,15,31.56,0,2.1043
TRINITY CREST,15,12.48,0,0.8317
WATERFORD ON THE ROCKY RIVER PH 2A MAP 2,15,4.24,0,0.2828
WATERFORD ON THE ROCKY RIVER PH III MAP 1,15,4.13,0,0.2753
WILKINSON COURT SE,15,5.78,0,0.3854
WILLS RUN,15,6.59,0,0.439
WINDSOR PH II-A,15,8.54,0,0.5693
YATES MEADOW PH 4 MAP 1,15,4.0,0,0.2664
"AFTON VILLAGE SOUTHEND UNITS 9, 10 & 11",14,0.77,0,0.0549
BISCAYNE INDUSTRIAL PARK MAP 2,14,18.45,0,1.3175
BLUFFTON PARK,14,10.48,0,0.7489
CHURCHVIEW CONDOS,14,1.02,0,0.0729
EARNHARDT AND NANCE SUB,14,49.25,0,3.5179
FULLERTON PLACE S/D PH 2 MAP 1,14,2.58,0,0.1841
FULLERTON PLACE S/D PH 2 MAP 2,14,2.54,0,0.1813
GLENGROVE PH 2 PH 11,14,2.59,0,0.1852
GLENGROVE PH 2 PH 6 MAP 1,14,6.84,0,0.4885
HALLSTEAD PH2 MP1,14,1.84,0,0.1314
HAWTHORNE PH 2 MAP 1,14,5.12,0,0.3656
HAWTHORNE SUBDIVISION PH4 MP2,14,4.5,0,0.3214
HILLCREST,14,6.38,0,0.4557
LAUREL PARK SUBDIVISION PHASE 5 MAP 3,14,4.66,0,0.3326
MAREBA HEIGHTS,14,13.88,0,0.9916
PROSPERITY PLACE,14,4.48,0,0.3203
SAVANNA ROW TOWNHOMES,14,0.69,0,0.0491
SUNCREST,14,2.65,0,0.1892
THE FARM AT RIVERPOINTE PH 4A MAP 2,14,1.84,0,0.1313
THE VILLAGES AT SKYBROOK NORTH PH 1 MAP 9,14,2.75,0,0.1967
WEDDINGTON ROAD BUSINESS PARK CONDO UNITS,14,0.65,0,0.0464
WYNDHAM PLACE TOWNHOMES PH 1,14,2.68,0,0.1912
BETHPAGE ESTATES,13,9.33,0,0.7181
BROOKDALE VILLAGE SEC 1,13,0.66,0,0.0509
CABARRUS COUNTY HOME,13,11.77,0,0.9057
CAROLINA RIDGE,13,3.91,0,0.301
CHARING PLACE,13,4.43,0,0.3411
CONDOS @ HARRISBURG TOWN CENTER BLDG 3 LT 80,13,0.44,0,0.0338
CONDOS @ HARRISBURG TOWN CENTER BLDG 5 LT 82,13,0.17,0,0.013
FIRST TURN CONDOS,13,0.12,0,0.0094
GLENGROVE SUBDIVISION PH 1 PH5 MAP 2,13,4.75,0,0.3656
HARRISBURG INDUSTRIES,13,28.0,0,2.1537
HARRISBURG TOWN CENTER BLDG II,13,0.39,0,0.03
HAWTHORNE PH 1 MAP 2,13,4.83,0,0.3714
HEARTHWOOD PH 2 MAP2,13,12.17,0,0.9363
HOLCOMB WOODS PH1 MP1,13,4.92,0,0.3786
LAURINGOOD PARK,13,4.05,0,0.3113
NORTH WOOD,13,7.8,0,0.6001
NORTHWIND,13,2.87,0,0.2206
OAKLEAF CONDOS SEC 6,13,1.35,0,0.1038
OXFORD COMMONS MAP 1 BUILDINGS 101 & 201,13,1.29,0,0.0996
OXFORD COMMONS MAP 4 BLDGS 202& 207,13,1.63,0,0.1257
PARK VIEW ESTATES PH 1 MAP 2,13,5.0,0,0.3846
PINE CREEK PH 3,13,14.89,0,1.1453
PINE CREEK PH V,13,13.45,0,1.0345
REV BETHEL GLEN LTS 115 & 152-164,13,5.86,0,0.4505
REV LOT 164,13,0.8,0,0.0615
ROYAL OAKS II,13,6.56,0,0.505
SADDLEBROOK PH 1 M2,13,4.22,0,0.3244
SUNDERLAND VIEW,13,3.4,0,0.2618
SUTHERLAND PLACE,13,5.15,0,0.3958
THE MILLS PH 2 M2,13,3.06,0,0.2356
The Village At Kellswater Bridge Ph 1A,13,2.7,0,0.2078
THE VILLAGE AT KELLSWATER BRIDGE PH 1B MAP1,13,3.0,0,0.2304
THE VILLAGES AT SKYBROOK NORTH PH 1 MAP 6,13,2.22,0,0.1706
W F ST TOWNHOMES,13,0.92,0,0.0709
WATERFORD ON THE ROCKY RIVER PH 4 MAP 2,13,3.37,0,0.2593
ABBINGTON PH6-M7,12,4.25,0,0.3542
BROOK VALLEY,12,4.35,0,0.3628
BROOKDALE,12,7.38,0,0.6154
CARRIAGE HOUSE CONDOMINIUMS,12,0.18,0,0.0148
CMS INDUSTRIAL PK,12,64.07,0,5.3391
EVERGREEN HEIGHTS,12,4.28,0,0.357
FRANCES HAVEN,12,3.34,0,0.2782
FRANCES HAVEN PH1 M4,12,4.2,0,0.3497
GLENGROVE SUBDIVISION PHASE 2 PHASE 9,12,2.26,0,0.1885
HARRISBURG TOWN CNTR CONDOS,12,0.11,0,0.0094
HAWK HILL,12,22.84,0,1.903
HEARTHWOOD PH 1 MAP 1,12,9.44,0,0.7864
HEATHERSTONE PH2-M1,12,3.51,0,0.2925
HOLLINGSWORTH,12,33.14,0,2.7621
JACOB'S RIDGE,12,22.53,0,1.8779
KING'S CREEK,12,6.45,0,0.5374
KINGS GRANT NE,12,52.51,0,4.3758
LOMAX COURT,12,2.67,0,0.2224
NEW EAST VILLAGE,12,1.73,0,0.1438
OAKLEAF CONDOS SEC 5,12,1.09,0,0.0911
OAKLEAF CONDOS SEC 9,12,1.04,0,0.0871
PROVIDENCE MANOR PHASE 3 MAP 3,12,2.16,0,0.1801
QUIET CORNERS MINOR,12,3.61,0,0.3012
RECOMB MPV KELLSWATER,12,35.94,0,2.9946
SHERWOOD FOREST EXT,12,3.39,0,0.2823
STERLING WOOD,12,4.02,0,0.3346
THE VILLAGES AT SKYBROOK NORTH PH 1 MAP 5,12,2.28,0,0.1899
THE VLG@KELLSWATER BRIDGE OF PH 1B MAP T,12,1.73,0,0.1438
TRANQUILLITY MAP 2,12,23.99,0,1.9991
VILLAGE OF KELLSWATER BRIDGE PH 2A,12,3.59,0,0.299
WATERFORD ON THE ROCKY RIVER PH 2A MAP 1,12,3.75,0,0.3125
WELLINGTON CHASE PH 3A MAP 3,12,2.92,0,0.2433
WIGHTMAN OAKS PH 1,12,1.61,0,0.134
AYERS COMMON,11,1.58,0,0.1437
BELLWOOD PLACE,11,0.97,0,0.0882
BILL ROSE PROPERTY,11,1.56,0,0.142
BRIDGE POINTE PH 5 MP 3,11,4.45,0,0.4041
BRIDGE POINTE PH I MAP 2,11,5.33,0,0.4841
BROOKDALE VILLAGE SEC 2,11,0.49,0,0.0445
BROOKDALE VILLAGE TOWNHOMES SEC3 PH1,11,0.64,0,0.0585
BROOKWOOD,11,6.17,0,0.5605
CALDWELL COMMONS SUBDIVISION PH1 MP4,11,1.64,0,0.1495
CITY OF CONCORD,11,28.99,0,2.635
EDISON SQUARE TOWNHOME,11,0.71,0,0.0646
GADDIS BROS PROPERTY HOLDINGS LLC,11,9.4,0,0.8549
GLENGROVE PH 2 PH 8 MAP 1,11,2.03,0,0.1848
GLENGROVE SUBDIVISION PHASE 1 PHASE 5 MAP 1,11,9.53,0,0.8663
GRANTHAM PH4 MP2,11,4.23,0,0.3843
HARRISBURG HEIGHTS,11,9.35,0,0.8498
KENSINGTON FOREST PH 2 M4,11,5.34,0,0.4852
KRBLOCK2 LLC LOT 5,11,0.2,0,0.0185
LEE'S FARM,11,10.57,0,0.9613
LITCHFIELD VILLAGE S/D PH 2 M3,11,2.86,0,0.2603
MATTHEWS HILLS,11,32.4,0,2.9451
MOSS ACRES,11,2.52,0,0.2293
PARK VIEW ESTATES FUTURE DEV,11,2.22,0,0.2017
PEBBLEBROOK ACRES,11,8.3,0,0.755
PINE CREEK PHII,11,13.46,0,1.2232
RIVERBIRCH,11,3.88,0,0.3529
S.L.F. PROPERTY,11,2.61,0,0.2375
SADDLEBROOK PH 1 MAP 1,11,2.66,0,0.2416
SADDLEBROOK PH 1 MAP 5,11,2.86,0,0.2604
SADDLEBROOK S/D PH 1 MAP 6,11,2.62,0,0.2386
SOLEN PARK,11,9.8,0,0.891
THE POINT @ ST ANDREWS PH 3 M1,11,2.8,0,0.2546
WELLINGTON CHASE PH 3A MAP 1,11,2.76,0,0.2508
WEST CONCORD,11,5.29,0,0.4814
WILLOW WOOD,11,18.17,0,1.6519
WINDING WALK PHASE 2 MAP 5,11,14.15,0,1.2865
832 & 836 KATHRYN DR SE TOWNHOMES,10,0.94,0,0.0935
ABBINGTON PH 6 MAP 5,10,8.56,0,0.8556
BRIDGE POINTE  PH 6 M1,10,3.84,0,0.3838
BROWN FARM,10,2.62,0,0.2619
CANNON HOLDING CORPORATION,10,3.35,0,0.3354
CANTERFIELD ESTATES RECOMB LTS 214-220 & 222-224,10,2.06,0,0.2056
CENTRAL DRIVE INDUSTRIAL PARK,10,19.13,0,1.9133
CHRISTENBURY VILLAGE C PH 3A MAP 1,10,0.9,0,0.0897
CHRISTENBURY VILLAGE D PH2 MAP 1,10,1.91,0,0.1911
FENTON- DELL,10,7.93,0,0.7927
GLENGROVE PH2 PH2 MAP 2,10,2.2,0,0.2203
GLENGROVE SUBDIVISION,10,1.89,0,0.1887
HARRIS SQUARE,10,26.44,0,2.6443
HARRISBURG CENTER CONDOS,10,0.95,0,0.0954
Highland Creek Ph 5,10,2.65,0,0.2647
HOLCOMB WOODS PH1 MP7,10,1.93,0,0.1932
KENSINGTON FOREST PH 1-M 1,10,3.83,0,0.3833
KENSINGTON FOREST PH2 MAP2,10,4.18,0,0.4182
LUCAS COURT,10,9.2,0,0.9201
MAGNOLIA CROSSING PH 2-MP1,10,1.44,0,0.1439
Mallard Pointe Estates,10,3.2,0,0.3198
MOSS CREEK VILLAGE MASTER ASSOCIATION INC,10,2.53,0,0.2531
NEUENBURG,10,3.64,0,0.3639
NEW LIFE DEVELOPERS LLC,10,20.37,0,2.0368
OAKLEAF CONDOS SEC 3,10,1.04,0,0.1035
PROVIDENCE MANOR PH2,10,1.72,0,0.172
ROGERS LAKE RD TH,10,1.55,0,0.155
SAPPHIRE HILLS TOWNHOMES PH I MAP V,10,2.07,0,0.2067
SEMINOLE MHP,10,1.92,0,0.1923
THE FARM AT RIVER POINTE PH 4B MAP 2,10,1.83,0,0.1829
THE POINTE AT RIVERWALK PHASE 1,10,1.87,0,0.1865
UPPER ROOM OUTREACH INTERNATIONAL,10,2.07,0,0.207
VILLAGES AT REDBRIDGE FOR LOCUST RETAIL INV,10,37.5,0,3.7503
W F EDDLEMAN PROPERTY,10,8.68,0,0.8682
CABARRUS EXECUTIVE PARK,9,12.84,0,1.427
CANNON & SPENCER,9,6.32,0,0.7017
CHARLESTOWNE ON CABARRUS CONDO,9,0.52,0,0.0576
CHURCH STREET N TOWNHOMES,9,0.55,0,0.0613
CONCORD GREENWAY TOWNHOMES LLC,9,0.56,0,0.0626
CONCORD SHOPPING PARKADE,9,9.96,0,1.1062
DEB Commercial,9,14.43,0,1.6029
DOMINION GLEN HIGHLAND CREEK PHASE 5 MAP 6,9,2.63,0,0.2927
GARY W LATON LLC,9,3.55,0,0.3948
GAYLAN PLACE,9,1.73,0,0.1921
GOODWILL POPLAR CROSSING,9,9.62,0,1.0689
GRANTHAM PH3 MP1,9,3.18,0,0.3529
GREEN HILLS,9,11.67,0,1.2968
HERITAGE HILLS,9,7.99,0,0.8877
HIGHLAND STREET COMMONS,9,2.98,0,0.3316
JACKSON RUN,9,4.95,0,0.5498
KANNAPOLIS SUBDIVISION S W SEC II,9,2.67,0,0.2972
KELLSWATER BRIDGE PH 1B MP 2,9,1.37,0,0.1517
MAGNOLIA CROSSING PH 2 MP 2,9,1.38,0,0.1536
MILTON,9,1.55,0,0.1727
MOTORSPORTS INDUSTRIAL PARK,9,24.88,0,2.7649
NORTHGATE COMMONS CONDOMINIUM,9,0.15,0,0.0166
OAKLEAF CONDOS SEC 4,9,1.01,0,0.1123
PELHEM POINTE PH 3 MAP 2 (LTS 19-27 REVISED),9,1.52,0,0.1689
PLEASANT RUN,9,2.06,0,0.2286
PORTION OF WEST CONCORD,9,2.23,0,0.2482
RIDGEVIEW CONDOS PH 4,9,0.21,0,0.0231
SADDLEBROOK PH 1 MAP 3,9,3.04,0,0.3379
SHADYBROOK,9,2.95,0,0.3282
THE MILLS PH2 MAP5,9,3.49,0,0.3873
TMOW LLC,9,4.29,0,0.4765
TOWN OF HARRISBURG,9,9.04,0,1.0046
TRANQUILLITY ESTATES,9,21.67,0,2.4072
UNIT 12 HAMILTON ROWHOUSE AFTON VILLAGE,9,0.37,0,0.0415
VILLAGE CROSSING TOWNHOMES,9,0.61,0,0.0673
WATERFORD ON THE ROCKY RIVER PH 3 MAP 2,9,2.47,0,0.2747
WILMAR PARK,9,11.3,0,1.256
WYNDHAM ESTATES MAP 1 PH 1 REVISED,9,5.78,0,0.6425
YORKE STREET TOWNHOMES,9,0.47,0,0.0525
100 CROWELL DR SW,8,0.56,0,0.0705
ABBINGTON PH 3 MAP 1,8,3.23,0,0.4033
ABBINGTON PH2-M2,8,3.89,0,0.4858
AFTON VILLAGE PH 4B MAP 1,8,0.89,0,0.1111
B.L. Umberger,8,2.87,0,0.359
